,categoryName,cost,currPrice,productId,productName,serialNum,supplierName,unit
4,腊肉类,49.0,61.0,180104,贾永信酱香鸡600g,6916323180104,西安永信清真肉类食品有限公司,袋
5,腊肉类,53.5,64.0,180111,贾永信辣子鸡700g,6916323180111,西安永信清真肉类食品有限公司,袋
6,腊肉类,53.5,64.0,180128,贾永信孜然鸡700g,6916323180128,西安永信清真肉类食品有限公司,袋
7,腊肉类,11.5,15.0,200222,五仁油茶400g,6916323200222,西安永信清真肉类食品有限公司,袋
8,腊肉类,36.0,48.0,200413,贾永信五连包泡馍825g,6916323200413,西安永信清真肉类食品有限公司,袋
9,腊肉类,47.0,57.0,200611,五香烧鸡600g,6916323200611,西安永信清真肉类食品有限公司,袋
10,腊肉类,47.0,57.0,200628,葫芦鸡600g,6916323200628,西安永信清真肉类食品有限公司,袋
11,腊肉类,42.0,52.0,200635,腱子肉(腊牛肉)200g,6916323200635,西安永信清真肉类食品有限公司,袋
12,腊肉类,42.0,52.0,200659,腱子肉(酱牛肉)200g,6916323200659,西安永信清真肉类食品有限公司,袋
13,腊肉类,76.0,93.0,935018,腊牛肉400g,6916323935018,西安永信清真肉类食品有限公司,盒
14,腊肉类,94.0,118.0,935025,腊羊肉400g,6916323935025,西安永信清真肉类食品有限公司,盒
15,腊肉类,38.5,47.0,936039,腊牛肉200g,6916323936039,西安永信清真肉类食品有限公司,袋
16,腊肉类,45.0,56.0,937043,腊羊肉200g,6916323937043,西安永信清真肉类食品有限公司,袋
17,腊肉类,75.0,93.0,942313,十香酱牛肉400g,6916323942313,西安永信清真肉类食品有限公司,盒
18,腊肉类,38.5,47.0,943525,十香酱牛肉200g,6916323943525,西安永信清真肉类食品有限公司,袋
19,腊肉类,11.5,15.0,963226,牛骨髓油茶,6916323963226,西安永信清真肉类食品有限公司,袋
20,蛋糕类,36.3,43.8,018543,流心小芒150g,2302129018543,西安一生一客食品有限公司,盒
21,蛋糕类,29.7,35.8,031598,黑糖红枣吐司5片装,2010314031598,西安一生一客食品有限公司,袋
22,蛋糕类,36.3,43.8,180537,招牌榴莲110g,2302126180537,西安一生一客食品有限公司,盒
23,蛋糕类,35.5,42.8,181708,榛子巧克力吐司5片装,2010305181708,西安一生一客食品有限公司,袋
24,蛋糕类,28.9,34.8,181711,肉松牛角330g,2010305181711,西安一生一客食品有限公司,袋
25,蛋糕类,28.9,34.8,181712,红豆牛角330g,2010305181712,西安一生一客食品有限公司,袋
26,蛋糕类,15.6,18.8,181713,岩烧三明治166g,2010305181713,西安一生一客食品有限公司,盒
27,蛋糕类,14.8,17.8,181714,鸡排三明治154g,2010305181714,西安一生一客食品有限公司,盒
28,蛋糕类,15.6,18.8,181715,黑椒热狗190g,2010305181715,西安一生一客食品有限公司,盒
29,蛋糕类,21.4,25.8,194674,全麦果仁吐司5片装,2010317194674,西安一生一客食品有限公司,袋
30,蛋糕类,27.2,32.8,235607,南瓜芝士吐司5片装,2010312235607,西安一生一客食品有限公司,袋
31,蛋糕类,18.9,22.8,242255,原味吐司5片装,2010319242255,西安一生一客食品有限公司,袋
32,蛋糕类,36.3,43.8,568167,G0g0Iemon(柠檬)150g,2302124568167,西安一生一客食品有限公司,盒
33,蛋糕类,33.8,40.8,712597,生椰拿铁135g,2302128712597,西安一生一客食品有限公司,盒
38,蛋糕类,16.4,19.8,871234,榛子巧克力曲奇120g,2301229871234,西安一生一客食品有限公司,盒
40,蛋糕类,35.5,42.8,951431,奇亚籽蓝莓果仁吐司5片装,2010311951431,西安一生一客食品有限公司,袋
