,importAmount,importPrice,postSaleAmount,postSalePrice,preSaleAmount,preSaleCost,preSalePrice,saleAmount,salePrice,serialNum
4,0.0,0.0,61.0,793.0,63.0,13.0,819.0,2.0,26.0,6971654248015
5,0.0,0.0,435.0,7395.0,437.0,17.0,7429.0,2.0,34.0,6971654248091
7,-1.0,-10.0,3003.0,30030.0,3041.0,10.0,30410.0,37.0,370.0,6934230050129
8,0.0,0.0,769.0,5536.8,789.0,7.2,5680.8,20.0,144.0,6931299062605
9,-2.0,-23.0,2831.0,32556.5,2841.0,11.5,32671.5,8.0,92.0,6931299062681
10,0.0,0.0,1.0,72.0,1.0,72.0,72.0,0.0,0.0,6916168617322
11,-1.0,-98.0,951.0,93198.0,1001.0,98.0,98098.0,49.0,4802.0,6938749816122
12,0.0,0.0,4.0,48.0,6.0,12.0,72.0,2.0,24.0,6958104101861
13,0.0,0.0,1998.0,21978.0,2012.0,11.0,22132.0,14.0,154.0,6958104101021
14,0.0,0.0,332.0,3652.0,341.0,11.0,3751.0,9.0,99.0,6958104100796
15,0.0,0.0,92.0,552.0,110.0,6.0,660.0,18.0,108.0,6934126261899
16,0.0,0.0,230.0,2530.0,237.0,11.0,2607.0,7.0,77.0,6934126262346
17,0.0,0.0,645.0,4515.0,649.0,7.0,4543.0,4.0,28.0,6934126262933
18,-1.0,-39.0,0.0,0.0,1.0,39.0,39.0,0.0,0.0,6973141120088
19,0.0,0.0,7.0,455.0,9.0,65.0,585.0,2.0,130.0,6971114920017
20,0.0,0.0,2033.0,50825.0,2058.0,25.0,51450.0,25.0,625.0,6971114920178
21,0.0,0.0,139.0,1598.5,141.0,11.5,1621.5,2.0,23.0,6958104100321
22,0.0,0.0,67.0,4154.0,69.0,62.0,4278.0,2.0,124.0,6971938360006
23,0.0,0.0,4.0,448.0,7.0,112.0,784.0,3.0,336.0,6971938360075
24,0.0,0.0,4.0,248.0,4.0,62.0,248.0,0.0,0.0,6971938360150
25,0.0,0.0,24.0,1560.0,24.0,65.0,1560.0,0.0,0.0,6971938360044
26,0.0,0.0,6.0,900.0,41.0,150.0,6150.0,35.0,5250.0,6916168616554
28,0.0,0.0,650.0,20150.0,685.0,31.0,21235.0,35.0,1085.0,6932816000599
29,0.0,0.0,666.0,34632.0,693.0,52.0,36036.0,27.0,1404.0,6932816000742
31,22.0,165.0,3.0,22.5,25.0,7.5,187.5,44.0,330.0,6970618570162
32,36.0,270.0,4.0,30.0,24.0,7.5,180.0,56.0,420.0,6970618570582
44,-3.0,-91.5,0.0,0.0,8.0,30.5,244.0,5.0,152.5,6970618570056
45,-4.0,-30.0,0.0,0.0,4.0,7.5,30.0,0.0,0.0,6932365575111
46,45.0,337.5,2.0,15.0,1.0,7.5,7.5,44.0,330.0,6970618570070
47,-11.0,-82.5,0.0,0.0,11.0,7.5,82.5,0.0,0.0,6932365575104
48,-5.0,-37.5,10.0,75.0,25.0,7.5,187.5,10.0,75.0,6970618570179
49,32.0,240.0,32.0,240.0,34.0,7.5,255.0,34.0,255.0,6970618570599
51,-3.0,-66.0,0.0,0.0,6.0,22.0,132.0,3.0,66.0,6970618570414
53,9.0,83.7,0.0,0.0,3.0,9.3,27.9,12.0,111.6,6970618570384
54,-7.0,-70.0,6.0,60.0,18.0,10.0,180.0,5.0,50.0,6970618570001
55,89.0,311.5,0.0,0.0,51.0,3.5,178.5,140.0,490.0,6970339117097
56,-5.0,-29.0,0.0,0.0,5.0,5.8,29.0,0.0,0.0,6970339116588
57,-1.0,-16.5,0.0,0.0,7.0,16.5,115.5,6.0,99.0,6970339116557
58,53.0,159.0,0.0,0.0,35.0,3.0,105.0,88.0,264.0,6970339116373
