,amount,categoryName,currCost,productName,salePrice,serialNum,unit
3,41.00,食用油,150.00,鲁花5S压榨一级花生油5L,159.90,6916168616554,桶
4,1.00,食用油,72.00,鲁花特级初榨橄榄油750ml,96.00,6916168617322,瓶
5,"1,001.00",食用油,98.00,鲁花低芥酸菜籽油5L,108.90,6938749816122,桶
6,9.00,食用油,65.00,鲁花高油酸花生油750ml,75.00,6971114920017,瓶
7,"3,041.00",调料,10.00,鲁花芝麻香油180ML,13.90,6934230050129,瓶
8,789.00,调料,7.20,鲁花料酒500ml,8.50,6931299062605,瓶
9,"2,841.00",调料,11.50,自然鲜酱香酱油500ml,14.90,6931299062681,瓶
11,141.00,调料,11.50,自然鲜红烧酱油500ml,13.80,6958104100321,瓶
13,341.00,调料,11.00,鲁花炒菜香酱油500ml,12.50,6958104100796,瓶
15,"2,012.00",调料,11.00,鲁花生鲜蚝油518ml,14.90,6958104101021,瓶
17,6.00,调料,12.00,鲁花黑豆味极鲜500ml,16.80,6958104101861,瓶
21,110.00,调料,6.00,鲁花9度白醋500ml,7.50,6934126261899,瓶
22,237.00,调料,11.00,鲁花黑糯米醋500ml,16.90,6934126262346,瓶
23,649.00,调料,7.00,鲁花糯米香醋500ml,9.80,6934126262933,瓶
24,"2,058.00",调料,25.00,鲁花小磨香油260ml,32.90,6971114920178,瓶
25,1.00,副食,39.00,鲁花麦芯小麦粉5kg,49.90,6973141120088,袋
35,69.00,大米,62.00,鲁花生态粳米5kg,79.90,6971938360006,袋
36,24.00,大米,65.00,鲁花长粒香米5kg,79.90,6971938360044,袋
37,7.00,大米,112.00,鲁花五常大米5kg,139.90,6971938360075,袋
38,4.00,大米,62.00,鲁花松嫩源香大米,73.90,6971938360150,袋
388,685.00,面粉,31.00,小康之家5kg,37.00,6932816000599,袋
390,693.00,面粉,52.00,老牛麦芯粉10kg,64.00,6932816000742,袋
616,22.00,零食,26.52,获爱怡混装华夫饼干400g,32.80,4002652000717,包
617,35.00,零食,26.52,诺帕丽汉斯星期五曲奇饼干400g,32.80,4002652000748,包
626,5.00,零食,8.80,茱蒂丝花生三明治135g,11.50,9556121001859,袋
