,categoryName,grossProfit,grossProfitRate,saleAmount,saleIncome,supplierName,totalCost
1,鸡蛋,886.8,0.15799037947621597,217,5613.0,傲涵贸易有限公司,4726.2
2,鸡蛋,994.0,0.1794871794871795,284,5538.0,秦南农副产品贸易公司,4544.0
3,杂品类（购物袋）,35.16,0.12000000000000008,586,293.0,西华厨具,257.84
4,调料类,2346.5,0.22297714638665844,1434,10523.5,臻泽农业发展有限公司,8177.0
5,冻货类,5817.1,0.19334521016000475,551,30086.6,品优兴有限公司,24269.5
6,乳制品类,247.3,0.19890613689375047,165,1243.3,西安草滩金牛餐饮公司,996.0
7,零食,341.1,0.20080061223288403,223,1698.7,其林贸易有限公司,1357.6
9,调料,838.7,0.23431955969044233,228,3579.3,山东鲁花集团,2740.6
10,食用橄榄油,158.3,0.12183483414146076,15,1299.3,山东鲁花集团,1141.0
11,副食类,475.0,0.19387755102040816,50,2450.0,山东鲁花集团,1975.0
12,大米,204.8,0.18984056358917312,12,1078.8,山东鲁花集团,874.0
14,零食,152.0,0.35185185185185186,18,432.0,菲达食品公司,280.0
15,饮料,44.0,0.33587786259541985,4,131.0,菲达食品公司,87.0
17,零食类,8585.37,0.2140627025841005,1870,40106.8,丰泰永泽商贸有限公司,31521.43
18,副食类,922.6,0.18657229524772495,190,4945.0,丰泰永泽商贸有限公司,4022.4
19,冻货类,4788.6,0.177783552997958,395,26935.0,丰泰永泽商贸有限公司,22146.4
21,大米,2069.4,0.1753817990745292,128,11799.4,腾旺贸易有限公司,9730.0
22,乳制品类,4653.8,0.19595854965914222,674,23748.9,腾旺贸易有限公司,19095.1
23,副食类,349.3,0.195106965313076,131,1790.3,腾旺贸易有限公司,1441.0
24,面粉,560.1,0.1914806331407473,69,2925.1,腾旺贸易有限公司,2365.0
25,食用油,539.0,0.18002672010688042,23,2994.0,腾旺贸易有限公司,2455.0
27,乳制品酸奶类,2001.4,0.2137676902536715,1251,9362.5,小大贸易有限公司,7361.1
28,乳制品纯奶类,1681.5,0.16665014866204161,167,10090.0,小大贸易有限公司,8408.5
30,饮料类,4565.86,0.18546865784167335,4268,24617.96,海和景商贸有限公司,20052.1
31,副食类,1067.8,0.2614145469679535,268,4084.7,海和景商贸有限公司,3016.9
33,鸡蛋,709.6,0.17050314767648622,139,4161.8,超乐惠有限公司,3452.2
34,乳制品类,213.3,0.17087238644556593,54,1248.3,超乐惠有限公司,1035.0
35,零食类,709.3,0.15213521223430498,305,4662.3,超乐惠有限公司,3953.0
37,干货类,3498.6,0.22572195411494492,446,15499.6,野森林现代农业公司,12001.0
38,调料类,2942.5,0.2671090494821216,884,11016.1,野森林现代农业公司,8073.6
39,杂粮类,1150.7,0.2289357977040766,274,5026.3,野森林现代农业公司,3875.6
41,零食类,6963.1,0.21444123815477864,1739,32470.9,和天熙商贸有限公司,25507.8
42,副食类,1256.6,0.2679946256051525,228,4688.9,和天熙商贸有限公司,3432.3
43,乳制品类,1443.0,0.18936510852733524,363,7620.2,和天熙商贸有限公司,6177.2
44,饮料类,575.2,0.18985378090239952,435,3029.7,和天熙商贸有限公司,2454.5
46,食用油类,417.0,0.19305555555555556,13,2160.0,西安阜隆商贸公司,1743.0
47,面粉类,114.0,0.16216216216216217,19,703.0,西安阜隆商贸公司,589.0
49,食用油,283.7,0.18108125359034916,22,1566.7,禾采商贸有限公司,1283.0
50,面粉,33.2,0.18241758241758235,4,182.0,禾采商贸有限公司,148.8
51,零食类,260.0,0.19198109724580964,35,1354.3,禾采商贸有限公司,1094.3
54,肉类,5141.97,0.09999999999999988,968,51419.7,安朗瑞商贸公司（肉）,46277.73
55,蔬菜,2147.03,0.08000022356526984,3133,26837.8,祥坤蔬菜,24690.77
56,水果,5094.01,0.09999998036910407,2497,50940.11,水和贸易（水果）,45846.1
62,食用油,2214.0,0.0403,369,54981.0,山东鲁花集团,52767.0
63,食用油菜籽,1483.5,0.1291,115,11488.5,山东鲁花集团,10005.0
