,categoryName,grossProfit,grossProfitRate,saleAmount,saleTotal,serialNum,supplierName,totalCost
1,食用油类,528.00,4.03%,88.00,"13,112.00",6916168616554,山东鲁花集团,"12,584.00"
3,调料类,31.20,28.06%,8.00,111.20,6934230050129,山东鲁花集团,80.00
4,调料类,9.00,17.65%,6.00,51.00,6931299062605,山东鲁花集团,42.00
5,调料类,27.20,22.82%,8.00,119.20,6931299062681,山东鲁花集团,92.00
6,调料类,12.00,20.00%,4.00,60.00,6958104100321,山东鲁花集团,48.00
7,调料类,2.00,29.41%,1.00,6.80,6958104101007,山东鲁花集团,4.80
8,调料类,8.70,19.46%,3.00,44.70,6958104101021,山东鲁花集团,36.00
9,调料类,4.60,20.35%,2.00,22.60,6973141130179,山东鲁花集团,18.00
10,调料类,5.40,20.45%,3.00,26.40,6934126261844,山东鲁花集团,21.00
11,调料类,18.00,20.00%,12.00,90.00,6934126261899,山东鲁花集团,72.00
12,调料类,5.60,28.57%,2.00,19.60,6934126262933,山东鲁花集团,14.00
13,调料类,94.80,24.01%,12.00,394.80,6971114920178,山东鲁花集团,300.00
15,食用橄榄油,43.60,10.91%,4.00,399.60,6916168620773,山东鲁花集团,356.00
16,食用橄榄油,10.00,13.33%,1.00,75.00,6971114920017,山东鲁花集团,65.00
18,副食类,228.00,19.39%,24.00,"1,176.00",6973141120088,山东鲁花集团,948.00
20,食用油菜籽,309.60,12.91%,24.00,"2,397.60",6938749816122,山东鲁花集团,"2,088.00"
22,饮料,14.00,28.00%,1.00,50.00,4897031350015,菲达食品公司,36.00
132,鸡蛋,71.40,15.56%,17.00,459.00,6933276212058,傲涵贸易有限公司,387.60
133,鸡蛋,188.00,16.00%,47.00,"1,175.00",6933276212119,傲涵贸易有限公司,987.00
135,鸡蛋,266.00,17.95%,76.00,"1,482.00",6954113701504,秦南农副产品贸易公司,"1,216.00"
137,零食类,7.00,20.90%,1.00,33.50,6905014000081,丰泰永泽商贸有限公司,26.50
138,零食类,6.00,10.71%,2.00,56.00,6905014000890,丰泰永泽商贸有限公司,50.00
139,零食类,33.00,18.33%,6.00,180.00,6974856040081,丰泰永泽商贸有限公司,147.00
140,零食类,11.00,18.33%,2.00,60.00,6974856040098,丰泰永泽商贸有限公司,49.00
141,零食类,11.70,21.79%,3.00,53.70,6970631040109,丰泰永泽商贸有限公司,42.00
142,零食类,7.80,21.79%,2.00,35.80,6970631040123,丰泰永泽商贸有限公司,28.00
143,零食类,11.70,21.79%,3.00,53.70,6970631040130,丰泰永泽商贸有限公司,42.00
144,零食类,1.70,22.67%,1.00,7.50,4897082059974,丰泰永泽商贸有限公司,5.80
145,零食类,3.40,22.67%,2.00,15.00,4897082059998,丰泰永泽商贸有限公司,11.60
146,零食类,15.50,22.30%,5.00,69.50,4897076061181,丰泰永泽商贸有限公司,54.00
147,零食类,2.80,20.29%,1.00,13.80,4897076062379,丰泰永泽商贸有限公司,11.00
148,零食类,5.60,20.29%,2.00,27.60,4897076062393,丰泰永泽商贸有限公司,22.00
149,零食类,6.30,22.66%,1.00,27.80,6973768111179,丰泰永泽商贸有限公司,21.50
150,零食类,4.80,16.11%,1.00,29.80,4979365122718,丰泰永泽商贸有限公司,25.00
151,零食类,4.80,16.11%,1.00,29.80,4979365122725,丰泰永泽商贸有限公司,25.00
152,零食类,3.00,6.12%,1.00,49.00,6971062128855,丰泰永泽商贸有限公司,46.00
153,零食类,11.60,14.95%,2.00,77.60,6971062129289,丰泰永泽商贸有限公司,66.00
154,零食类,3.60,18.46%,3.00,19.50,6922621132783,丰泰永泽商贸有限公司,15.90
155,零食类,30.40,22.62%,8.00,134.40,6975287200020,丰泰永泽商贸有限公司,104.00
156,零食类,50.00,21.37%,4.00,234.00,8809022200885,丰泰永泽商贸有限公司,184.00
157,零食类,4.93,20.98%,1.00,23.50,6926507201143,丰泰永泽商贸有限公司,18.57
158,零食类,10.50,21.88%,1.00,48.00,6926507201594,丰泰永泽商贸有限公司,37.50
159,零食类,48.00,20.51%,3.00,234.00,6926507201884,丰泰永泽商贸有限公司,186.00
160,零食类,28.00,20.00%,4.00,140.00,6926507202300,丰泰永泽商贸有限公司,112.00
161,零食类,5.50,20.00%,1.00,27.50,6926507202379,丰泰永泽商贸有限公司,22.00
162,零食类,7.20,23.08%,2.00,31.20,6926507202430,丰泰永泽商贸有限公司,24.00
163,零食类,18.00,20.69%,3.00,87.00,6926507202591,丰泰永泽商贸有限公司,69.00
