,amount,categoryName,cost,currPrice,productName,serialNum
3,28.0,大米,112.0,139.9,鲁花福花五常大米5kg,6971938360075
4,25.0,大米,65.0,79.9,鲁花福花长粒香米5kg,6971938360044
6,120.0,调料,10.0,13.9,鲁花芝麻香油180ML,6934230050129
7,78.0,调料,7.0,8.5,鲁花料酒500ml,6931299062605
8,27.0,调料,7.0,8.8,鲁花凉拌香醋500ml,6934126261844
9,96.0,调料,25.0,32.9,鲁花小磨香油260ml,6971114920178
10,27.0,调料,6.0,7.5,鲁花9度白醋500ml,6934126261899
11,15.0,调料,12.0,15.0,鲁花红烧酱油500ml,6958104100321
12,1467.0,调料,11.5,14.9,鲁花酱香酱油500ml,6931299062681
13,18.0,调料,4.8,6.8,鲁花生鲜蚝油218ml,6958104101007
14,3.0,调料,11.0,16.9,鲁花黑糯米醋500ml,6934126262346
15,82.0,调料,12.0,14.9,鲁花生鲜蚝油518ml,6958104101021
16,19.0,调料,7.0,9.8,鲁花糯米香醋500ml,6934126262933
17,18.0,调料,9.0,11.3,鲁花熊猫系列活性麦芯2.0椭圆面条600g,6973141130179
19,12.0,副食类,39.5,49.0,鲁花多用途麦芯小麦粉(0添加)5kg,6973141120088
20,1.0,副食类,9.0,11.3,鲁花熊猫系列活性麦芯2.0精细面条600g,6973141130155
22,5.0,食用橄榄油,65.0,75.0,鲁花高油酸花生油750ml,6971114920017
23,8.0,食用橄榄油,89.0,99.9,鲁花压榨特香玉米胚芽油5L,6916168620773
24,3.0,食用橄榄油,88.0,99.9,鲁花压榨葵花仁油5L,6941871150002
26,4891.0,食用油,143.0,149.0,鲁花压榨一级花生油5L,6916168616554
28,3881.0,食用油菜籽,87.0,99.9,鲁花低芥酸特香菜籽油5L,6938749816122
31,8.0,乳制品纯奶类,55.0,68.0,蒙牛特仑苏有机纯奶提装,6923644299804
32,29.0,乳制品纯奶类,60.5,76.0,特仑苏有机奶3.8蛋白,6923644295844
41,36.0,乳制品纯奶类,58.0,68.0,蒙牛特仑苏梦幻盖牛奶提装,6923644297251
42,17.0,乳制品纯奶类,52.0,65.0,蒙牛特仑苏低脂250ml*12,6923644232658
43,62.0,乳制品纯奶类,50.0,59.0,特仑苏纯牛奶,6923644266318
45,22.0,乳制品酸奶类,56.0,65.0,华山牧场纯奶250ml*12,6970339116151
46,30.0,乳制品酸奶类,2.8,4.5,华山牧优酪乳燕麦180g,6970339116144
47,12.0,乳制品酸奶类,4.0,5.5,来思尔海盐小酸奶180g,6927797622700
48,5.0,乳制品酸奶类,4.0,5.5,来思尔原味小酸奶180g,6927797623370
49,56.0,乳制品酸奶类,3.8,4.5,华山牧优酪乳混合180g,6970339116137
50,4.0,乳制品酸奶类,5.8,7.5,华山牧海盐西柚250ml,6970339117646
51,24.0,乳制品酸奶类,5.8,7.5,华山牧原味酸奶250ml,6970339117639
52,78.0,乳制品酸奶类,3.0,4.0,华山老酸奶120g,6970339116373
