,amount,avgCost,importPrice,serialNum
0,30,14.0,420.0,6970631040123
1,15,23.0,345.0,6901333110524
2,32,46.0,1472.0,6971062128855
3,20,22.0,440.0,6926507202379
4,30,12.0,360.0,6926507202430
5,24,9.0,216.0,6971791203618
6,20,32.0,640.0,6972251252245
7,20,35.0,700.0,6972251252856
8,20,17.5,350.0,6926507299881
9,60,6.5,390.0,6971426300477
10,12,19.8,237.6,9588552304506
11,24,10.0,240.0,9588552322692
12,24,10.0,240.0,9588552322708
13,30,19.0,570.0,6952675329921
14,23,12.8,294.4,6952675329938
15,20,11.31,226.2,9588552337450
16,40,31.0,1240.0,9588552337498
17,24,14.04,336.96,9588552337528
18,10,135.0,1350.0,6970525356309
19,60,56.0,3360.0,6948042400027
20,30,67.0,2010.0,6948042400034
21,12,9.4,112.8,6935036401306
22,20,17.5,350.0,6935036401580
23,20,18.8,376.0,6935036401597
24,20,16.5,330.0,6935036401603
25,32,99.0,3168.0,6975471520019
26,30,9.2,276.0,6972933565540
27,30,9.2,276.0,6972933565557
28,36,9.4,338.4,6972933566035
29,24,7.8,187.2,6972933566073
30,24,10.0,240.0,6972698570100
31,12,27.5,330.0,6947705608107
32,40,24.0,960.0,6975048660834
33,12,20.0,240.0,6913405663517
34,12,20.0,240.0,6913405663524
35,30,7.0,210.0,4897038895809
36,24,14.5,348.0,4897038896264
37,24,14.5,348.0,4897038896271
38,24,14.5,348.0,4897038896288
39,30,12.0,360.0,6975840950089
40,20,24.0,480.0,6901333980196
