,amount,avgCost,importPrice,serialNum
0,4,13.2,52.8,6371251234
1,3,10.56,31.68,6371251236
2,5,11.26,56.3,6371251237
3,5,11.26,56.3,6371251239
4,3,12.14,36.42,6371251240
5,3,13.2,39.6,6371251241
6,5,11.26,56.3,6371251242
7,3,8.62,25.86,6371251243
8,2,7.04,14.08,6371251244
9,5,21.12,105.6,6371251245
10,5,16.54,82.7,6371251246
11,4,13.9,55.6,6371251247
12,3,12.14,36.42,6371251248
13,3,8.8,26.4,6371251249
14,5,7.74,38.7,6371251250
15,10,28.16,281.6,6371251252
16,10,17.6,176.0,6371251253
17,10,17.6,176.0,6371251254
18,5,15.84,79.2,6371251257
19,5,15.84,79.2,6371251258
20,3,15.84,47.52,6371251259
21,3,15.84,47.52,6371251260
22,5,15.84,79.2,6371251261
23,4,31.68,126.72,6371251269
24,4,25.52,102.08,6371251270
25,4,34.32,137.28,6371251271
26,4,28.16,112.64,6371251272
27,4,22.88,91.52,6371251273
28,4,10.56,42.24,6371251274
29,4,22.88,91.52,6371251275
