,amount,avgCost,importPrice,serialNum
0,48,3.8,182.4,6970339116120
1,48,2.8,134.4,6970339116144
2,12,16.5,198.0,6970339116557
3,30,5.8,174.0,6970339116588
4,24,11.0,264.0,6970339117523
5,20,5.8,116.0,6970339117639
6,24,20.0,480.0,6970339117677
7,48,3.7,177.6,6970339117844
8,12,11.2,134.4,6970339118186
9,18,50.0,900.0,6923644266318
10,18,60.5,1089.0,6923644295844
11,12,58.0,696.0,6923644297251
12,8,55.0,440.0,6923644299804
13,16,10.0,160.0,6970618570001
14,24,7.5,180.0,6970618570070
15,16,9.3,148.8,6970618570384
16,36,7.5,270.0,6970618570599
