,amount,avgCost,importPrice,serialNum
0,24,5.7,136.8,6941541002655
1,30,4.3,129.0,6902538004045
2,30,4.3,129.0,6902538004052
3,24,7.0,168.0,8855044004628
4,24,5.7,136.8,6941541005236
5,36,5.7,205.2,6941541006349
6,24,7.0,168.0,8855044006684
7,12,13.5,162.0,6973497200045
8,12,13.5,162.0,6973497200052
9,24,4.6,110.4,6973497200199
10,24,4.6,110.4,6973497200205
11,30,5.0,150.0,6973497200304
12,30,5.0,150.0,6973497200311
13,60,10.0,600.0,6971284201206
14,24,7.0,168.0,6971284201220
15,45,4.6,207.0,6973497202346
16,45,4.6,207.0,6973497202360
17,45,4.6,207.0,6973497202940
18,45,4.8,216.0,6974878230101
19,30,4.8,144.0,6972863230105
20,150,4.0,600.0,6935498308793
21,12,16.0,192.0,6971885311816
22,12,16.0,192.0,6971885311830
23,60,4.6,276.0,6926410321501
24,60,4.6,276.0,6926410330954
25,72,2.1,151.2,6954767430386
26,24,10.0,240.0,6901818460878
27,180,6.5,1170.0,6973852490005
28,120,2.2,264.0,6903004568511
29,48,15.5,744.0,6971807593764
30,45,3.8,171.0,6972549660134
31,45,4.2,189.0,6972549660677
32,45,4.2,189.0,6972549660905
33,45,4.2,189.0,6972549660929
34,120,5.7,684.0,8859015700168
35,24,8.0,192.0,4891028707899
36,50,8.5,425.0,6972779770016
37,50,8.5,425.0,6972779770023
38,72,4.0,288.0,6957735788861
39,40,3.5,140.0,6974800840330
40,24,12.3,295.2,6901347880390
41,120,2.1,252.0,6936571950052
42,48,8.1,388.8,6971836970444
