,amount,avgCost,importPrice,serialNum
0,12,6.0,72.0,6941704425000
1,12,14.5,174.0,6941704425017
2,15,12.0,180.0,6924810801807
3,15,12.0,180.0,6924810801838
4,12,9.8,117.6,6928494805250
5,12,9.8,117.6,6928494805267
6,8,15.8,126.4,6928494805717
7,12,31.0,372.0,6924810810014
8,8,19.0,152.0,6924810812216
9,24,6.5,156.0,6971550820001
10,12,11.5,138.0,6971550820599
11,12,11.6,139.2,6971550820643
12,12,11.6,139.2,6971550820650
13,24,5.0,120.0,6971550820698
14,24,5.0,120.0,6971550821046
15,12,10.0,120.0,6971550821107
16,8,15.2,121.6,6971550821114
17,8,15.2,121.6,6971550821121
18,12,28.7,344.4,6924810822222
19,9,26.7,240.3,6924810822376
20,9,27.0,243.0,6924810822406
21,18,7.0,126.0,6924810824608
22,30,70.0,2100.0,6935739919337
