,amount,avgCost,importPrice,serialNum
0,20,68.0,1360.0,6944910358360
12,6,10.0,60.0,1008861919350438
13,11,12.0,132.0,1008861919350616
14,6,10.0,60.0,1008861919350469
15,5,12.5,62.5,1008861919350452
16,8,9.8,78.4,1008862021070012
17,10,15.0,150.0,1008861919350377
18,4,16.9,67.6,1008861919350360
19,10,15.0,150.0,1008861919350322
20,19,13.5,256.5,1008861919350056
21,10,12.0,120.0,1008861919352081
22,3,19.5,58.5,1008861919353231
23,10,14.0,140.0,1008861919353361
24,6,14.0,84.0,1008861919353347
25,6,8.0,48.0,1008861919353323
26,4,13.9,55.6,1008861919353248
27,4,12.5,50.0,1008861919370120
28,10,11.0,110.0,1008862021070005
29,4,20.5,82.0,1008861919351329
30,4,16.5,66.0,1008861919353064
31,6,13.0,78.0,1008862021070008
32,6,11.6,69.6,1008861919353057
33,25,11.5,287.5,1008861919352159
34,6,13.8,82.8,1008861919352104
35,8,25.0,200.0,1008861919351350
36,8,12.5,100.0,1008862021070018
37,10,28.16,281.6,6371251252
38,4,31.68,126.72,6371251269
39,5,15.84,79.2,6371251261
40,3,15.84,47.52,6371251260
41,3,15.84,47.52,6371251259
51,5,15.84,79.2,6371251258
52,5,15.84,79.2,6371251257
53,10,17.6,176.0,6371251254
54,3,13.2,39.6,6371251241
55,10,17.6,176.0,6371251253
56,4,25.52,102.08,6371251270
57,5,7.74,38.7,6371251250
58,3,8.8,26.4,6371251249
59,3,12.14,36.42,6371251248
60,4,13.9,55.6,6371251247
61,5,16.54,82.7,6371251246
62,5,21.12,105.6,6371251245
63,2,7.04,14.08,6371251244
64,3,8.62,25.86,6371251243
65,5,11.26,56.3,6371251242
66,4,22.88,91.52,6371251275
67,5,11.26,56.3,6371251239
68,4,34.32,137.28,6371251271
69,3,12.14,36.42,6371251240
70,4,13.2,52.8,6371251234
71,5,11.26,56.3,6371251237
72,4,10.56,42.24,6371251274
73,4,22.88,91.52,6371251273
74,3,10.56,31.68,6371251236
75,4,28.16,112.64,6371251272
86,40,25.0,1000.0,6947773601901
87,18,32.0,576.0,6970079710763
88,6,63.0,378.0,6970567819022
89,16,43.0,688.0,6970525359997
90,18,32.0,576.0,6970079710336
91,20,10.0,200.0,6921665700194
92,10,135.0,1350.0,6970525356309
93,18,32.0,576.0,6970079710343
94,20,10.0,200.0,6921665732577
95,18,32.0,576.0,6970079710534
96,20,32.0,640.0,6972251252245
97,16,103.0,1648.0,6957890900336
98,20,35.0,700.0,6972251252856
99,20,70.0,1400.0,6943890900333
100,50,50.0,2500.0,6947689112454
101,20,18.0,360.0,6947689112102
102,20,26.0,520.0,6950327000518
103,10,230.0,2300.0,6974622050009
114,60,21.8,1308.0,6957335213015
