,amount,avgCost,importPrice,serialNum
0,10,11.0,110.0,1008862021070005
1,6,13.0,78.0,1008862021070008
2,8,9.8,78.4,1008862021070012
3,8,12.5,100.0,1008862021070018
4,19,13.5,256.5,1008861919350056
5,10,15.0,150.0,1008861919350322
6,4,16.9,67.6,1008861919350360
7,10,15.0,150.0,1008861919350377
8,6,10.0,60.0,1008861919350438
9,5,12.5,62.5,1008861919350452
10,6,10.0,60.0,1008861919350469
11,11,12.0,132.0,1008861919350616
12,4,20.5,82.0,1008861919351329
13,8,25.0,200.0,1008861919351350
14,10,12.0,120.0,1008861919352081
15,6,13.8,82.8,1008861919352104
16,25,11.5,287.5,1008861919352159
17,6,11.6,69.6,1008861919353057
18,4,16.5,66.0,1008861919353064
19,3,19.5,58.5,1008861919353231
20,4,13.9,55.6,1008861919353248
21,6,8.0,48.0,1008861919353323
22,6,14.0,84.0,1008861919353347
23,10,14.0,140.0,1008861919353361
24,4,12.5,50.0,1008861919370120
