,amount,avgCost,importPrice,serialNum
0,30,5.9,177.0,6907592001245
1,30,5.9,177.0,6907592001948
2,180,1.3,234.0,6926198012233
3,72,13.5,972.0,6902131110020
4,12,9.8,117.6,6902265114369
5,36,18.0,648.0,6902131130882
6,12,6.4,76.8,6902265240501
7,30,4.5,135.0,6974919370124
8,28,6.0,168.0,6974919371367
9,40,20.0,800.0,6928710600034
10,40,20.0,800.0,6928710600065
11,60,7.5,450.0,6928710600164
12,20,20.0,400.0,6924773600257
13,20,12.5,250.0,6928710600584
14,20,7.0,140.0,6928710600713
15,20,15.0,300.0,6928710600980
16,30,11.5,345.0,6928710601352
17,24,15.0,360.0,6928710602052
18,20,8.5,170.0,6928710609587
19,20,6.0,120.0,6928710609761
20,20,11.5,230.0,6928710660052
21,20,62.0,1240.0,6928710660090
22,20,9.0,180.0,6972786771242
23,24,8.5,204.0,6972786775387
24,36,12.0,432.0,6928312900204
25,12,9.0,108.0,6928312911668
