,amount,categoryName,cost,currPrice,productName,serialNum
3,1,粮油类,31.00,37.00,小康之家5公斤,6932816000599
6,4,乳制品类,50.00,59.00,特仑苏纯牛奶,6923644266318
7,12,乳制品类,58.00,68.00,{蒙牛}特仑苏梦幻盖纯牛奶250ml*10,6923644297251
10,15,粮油类,21.00,25.00,20枚B2盒装褐壳,6933276212119
11,10,粮油类,22.80,27.00,20枚B2盒装白壳,6933276212058
14,4,小零食类,12.00,16.50,五谷道场豚骨拉面,6936986801130
15,1,小零食类,10.80,14.50,代馋炸酱面,6974176260183
16,4,小零食类,11.00,14.50,代馋油泼面,6974176260060
17,16,小零食类,14.00,19.50,暴肌独角兽玉米须茶,6972933563706
18,1,小零食类,22.50,29.00,金语金枪鱼松130G,9588552302861
19,6,小零食类,13.50,17.50,五谷道场小鸡炖蘑菇面,693986842065
20,3,小零食类,15.20,18.50,五谷道场红烧牛肉面,6936986842010
21,14,小零食类,20.00,26.00,冬酿荆花蜜240g,6933116214297
22,14,小零食类,20.00,26.00,冬酿椴树蜜240g,6933116214280
23,13,小零食类,20.00,26.00,冬酿百花蜜240g,6933116214198
24,13,小零食类,20.00,26.00,冬酿党参蜜240g,6933116214181
25,12,小零食类,20.00,26.00,冬酿枣花蜜240g,6933116214167
26,14,小零食类,20.00,26.00,冬酿洋槐蜜240g,6933116214150
27,1,小零食类,14.62,18.50,逸生昌黑金锅巴肉松蟹黄味,4897119860511
28,7,小零食类,11.50,15.00,逸生昌五红沙琪玛,4897119860825
29,10,小零食类,11.50,15.00,逸生昌水果沙琪玛,4897119860863
30,16,小零食类,7.60,10.00,壹传食黑金酸辣粉188g,6976467350054
31,1,小零食类,11.50,15.00,老杨无糖咸蛋黄饼干,6972508380417
32,5,小零食类,19.80,24.80,五谷道场海带排骨面,6936986812105
41,6,小零食类,15.20,18.50,五谷道场番茄牛腩面,6936986812143
42,2,小零食类,67.00,84.00,中敖风干牛肉香辣味250G,6948042400034
43,18,小零食类,5.90,7.50,五谷道场原味热干面265g,6922507840597
44,18,小零食类,5.90,7.50,五谷道场香辣味热干面265g,6922507840603
45,18,小零食类,5.90,7.50,五谷道场卤牛肉味热干面265g,6922507840610
46,19,小零食类,7.60,10.00,壹传食经典酸辣粉188g,6976467350061
47,9,小零食类,13.00,16.20,久久丫甜辣鸭脖,6952675319915
48,21,小零食类,9.00,12.00,壹传食砂锅土豆粉225g,6976467350047
49,11,小零食类,16.00,20.60,永和减糖豆浆粉,6931500340706
50,18,小零食类,10.50,13.20,久久丫豆干（甜辣）,6952675337735
51,14,小零食类,11.31,14.50,金语冰淇淋形山楂棒（原味）,9588552337474
52,1,小零食类,14.04,18.00,金语华芙夹心棒代餐面包（肉松味）,9588552335135
53,3,小零食类,14.04,18.00,金语华芙夹心棒代餐面包（乳酪味）,9588552335128
54,7,小零食类,12.00,16.50,金语益生菌冷萃吸吸冻（混合味）,9588552332707
55,7,小零食类,67.00,84.00,中傲风干牛肉干原味250g,6948042403929
56,27,小零食类,19.00,23.50,久久丫麻辣鸭胗,6952675329921
57,7,小零食类,12.00,15.00,久久丫卤味鹌鹑蛋,6952675390211
58,4,小零食类,11.00,14.50,红谷林奇亚籽三色藜麦苏打饼干208g,6971581011928
59,8,小零食类,10.00,13.00,壹传食浓番茄米线210g,6971403591157
60,5,小零食类,11.00,13.80,惟度米果芝士味,4897076062850
61,5,小零食类,10.00,13.00,壹传食金汤米线210g,6971403591164
62,2,小零食类,10.80,15.00,鱼人文渔鱿鱼仔香辣,6975840950058
63,19,小零食类,64.00,79.00,越南金姑带皮腰果410g,6976783656236
64,24,小零食类,7.00,9.00,暴肌独角兽美式黑咖啡,6972933562051
65,17,小零食类,9.00,12.50,壹传食NFC原汤荞麦冷面545g,6976467350016
66,2,小零食类,11.00,14.50,红谷林黑全麦黑芝麻苏打饼干208g,6971581012109
67,6,小零食类,10.00,13.00,壹传食老火锅米线205g,6971403591140
68,8,小零食类,11.00,14.50,红谷林黑麦海盐苏打饼干208g,6971581011911
69,9,小零食类,5.70,7.50,红谷林花椒小石子饼(爆辣味)100g,6971581011546
70,1,小零食类,5.70,7.50,红谷林花椒小石头饼（麻辣味）100g,6971581011447
79,18,小零食类,19.00,25.00,颜外200mg椰奶黑米燕窝粥252g,6974903450108
80,1,小零食类,5.70,7.50,红谷林花椒小石头饼（藤椒味）100g,6971581010006
81,13,小零食类,26.00,31.80,莫小仙自热火锅（番茄牛腩）,6958770001946
82,18,小零食类,12.30,16.50,颜外青汁胶原啵啵252g,6974903450788
83,1,小零食类,25.00,28.00,西麦燕麦片1千克,6905014000890
84,8,小零食类,11.00,14.50,壹传食东北老式麻辣烫320g,6971403590921
85,9,小零食类,11.00,14.50,盛阳山山羊奶五黑粉500g,6973784911197
86,2,小零食类,8.50,11.50,赛味馆酵素山楂糕原味,4897038893362
87,19,小零食类,7.00,9.50,蹦乐乐奶龙跳挑棒糖草莓味,4897038895816
88,12,小零食类,14.50,19.00,蹦乐乐奶龙青梅膏软棒糖,4897038896288
89,7,小零食类,8.00,10.50,壹传食小龙虾拌面155g,6971403590976
90,10,小零食类,11.00,14.50,盛阳山奇亚籽桂花坚果莲子羹500g,6973784910428
91,9,小零食类,11.00,14.50,盛阳山木糖醇红枣银耳莲子羹400g,6973784910633
92,10,小零食类,11.00,14.50,盛阳山驼奶山药玉米糊500g,6973784911180
93,5,小零食类,9.00,12.00,迪趣黄桃罐头,6971791203618
94,9,小零食类,11.00,14.50,壹传食新疆炒米粉322g,6971403591133
95,9,小零食类,18.57,23.50,福财记纸皮南瓜子180g,6926507201143
96,15,小零食类,46.00,58.50,芭蜂蜂蜜黄油味扁桃仁250g,880902220885
97,7,小零食类,9.50,12.50,盛阳山燕麦片亚麻籽可可粉245g,6973784911258
98,17,小零食类,11.00,14.50,盛阳山黑养粉245g,6973784911296
99,25,小零食类,11.00,14.50,盛阳山红养粉245g,6973784911302
100,10,小零食类,10.00,12.80,脆升升黑胡椒薯条100G,6937439915121
101,19,小零食类,9.86,12.80,脆升升飘香川椒味香脆薯条100g,6937439916555
104,1,粮油类,80.00,96.00,乔府大院五常大米5kg,6937004409024
105,8,粮油类,66.00,78.00,多力低芥酸菜籽油5L,6909931703360
106,10,粮油类,84.00,98.00,多力葵花籽油5L,6909931010055
107,2,粮油类,64.00,78.00,红井源压榨一级纯香亚麻籽油1.8L,6926650331483
108,1,粮油类,70.00,86.00,红井源醇香胡麻油2.5L,6926650313151
117,11,粮油类,84.00,98.00,多力浓香菜籽油5L,6909931264151
118,12,粮油类,93.00,109.00,多力黄金3益葵花籽油5L,6909931247116
119,3,粮油类,100.00,126.00,贝蒂斯小贝厨房有机核桃油500ml,6972005151121
120,5,粮油类,174.00,219.00,贝蒂斯特级初榨橄榄油1L,8412253001437
123,3,饮料类,8.50,10.60,零零果凤梨蜜桃乌龙茶480ml,6972359682944
124,4,饮料类,8.50,10.60,零零果甜橙茉莉花茶480ml,6972359682937
125,15,饮料类,4.20,5.00,东方树叶青桔普洱,6921168596348
126,35,饮料类,2.30,2.80,农夫山泉茶兀青提乌龙250mL,6921168597772
127,24,饮料类,2.30,2.80,农夫山泉茶兀蜜桃乌龙茶250mL,6921168595167
128,25,饮料类,4.20,5.00,元气森林荔枝味气泡水,6970399922655
129,15,饮料类,2.50,3.00,康师傅茉莉蜜茶550ML,6944839993796
130,15,饮料类,4.40,5.40,茶小开烟雨龙井500ml,6974906990588
131,2,饮料类,8.10,9.60,好望水望梅好300ML,6971836970208
132,48,饮料类,2.10,2.50,听装百事可乐,6936571950052
133,25,饮料类,4.20,5.00,元气森林夏黑葡萄气泡水,6970399923096
134,3,饮料类,8.50,10.60,零零果葡萄茉莉花茶480ml,6972359682951
135,12,饮料类,4.20,5.00,元气森林白桃味苏打气泡水,6970399920415
136,29,饮料类,2.50,3.00,康师傅冰红茶550ML,6944839905010
137,4,饮料类,3.60,4.40,娃哈哈八宝粥木糖醇360ml,6902083881559
138,6,饮料类,3.50,4.50,大窑橙味,6974800840286
139,27,饮料类,4.20,5.00,元气森林维C柠檬味气泡水,6975176783733
140,9,饮料类,4.20,5.30,元气森林自在水红枣枸杞500ml,6975176783238
141,30,饮料类,2.50,3.00,康师傅茉莉清茶500ML,6944839998432
142,12,饮料类,4.00,4.80,EIYI艾壹苏打电解质水栀子茉莉味500ml,6976396200017
