,amount,categoryName,currCost,productName,salePrice,serialNum,unit
0,0.00,食用油,0.0,特价鲁花菜籽油5L,99.9,1010,桶
1,0.00,食用油,0.0,鲁花压榨葵花仁油捆绑5l,99.9,6941871150002,桶
2,41.00,食用油,150.0,鲁花5S压榨一级花生油5L,159.9,6916168616554,桶
3,1.00,食用油,72.0,鲁花特级初榨橄榄油750ml,96.0,6916168617322,瓶
4,"1,001.00",食用油,98.0,鲁花低芥酸菜籽油5L,108.9,6938749816122,桶
5,9.00,食用油,65.0,鲁花高油酸花生油750ml,75.0,6971114920017,瓶
6,"3,041.00",调料,10.0,鲁花芝麻香油180ML,13.9,6934230050129,瓶
7,789.00,调料,7.2,鲁花料酒500ml,8.5,6931299062605,瓶
8,"2,841.00",调料,11.5,自然鲜酱香酱油500ml,14.9,6931299062681,瓶
9,0.00,调料,0.0,鲁花酱香酱油1L,18.8,6958104100222,瓶
10,141.00,调料,11.5,自然鲜红烧酱油500ml,13.8,6958104100321,瓶
11,0.00,调料,0.0,鲁花黑豆原汁酱油500ml,17.8,6958104100680,瓶
12,341.00,调料,11.0,鲁花炒菜香酱油500ml,12.5,6958104100796,瓶
13,0.00,调料,0.0,鲁花生鲜蚝油218ml,6.8,6958104101007,瓶
14,"2,012.00",调料,11.0,鲁花生鲜蚝油518ml,14.9,6958104101021,瓶
15,0.00,调料,0.0,鲁花黑豆老抽酱油500ml,16.8,6958104101847,瓶
16,6.00,调料,12.0,鲁花黑豆味极鲜500ml,16.8,6958104101861,瓶
17,0.00,调料,0.0,鲁花中麦鸡蛋椭圆挂面600g,9.9,6973141130148,袋
18,0.00,调料,0.0,鲁花中麦芯椭圆挂面600g,9.5,6973141130179,袋
19,0.00,调料,0.0,鲁花凉拌香醋500ml,8.8,6934126261844,瓶
20,110.00,调料,6.0,鲁花9度白醋500ml,7.5,6934126261899,瓶
21,237.00,调料,11.0,鲁花黑糯米醋500ml,16.9,6934126262346,瓶
22,649.00,调料,7.0,鲁花糯米香醋500ml,9.8,6934126262933,瓶
23,"2,058.00",调料,25.0,鲁花小磨香油260ml,32.9,6971114920178,瓶
24,1.00,副食,39.0,鲁花麦芯小麦粉5kg,49.9,6973141120088,袋
25,0.00,副食,0.0,鲁花鸡蛋挂面600g,17.9,6973141130070,袋
26,0.00,副食,0.0,鲁花玉带挂面600g,16.9,6973141130087,袋
27,0.00,副食,0.0,鲁花椭圆挂面600g,16.9,6973141130094,袋
28,0.00,副食,0.0,鲁花中麦鸡蛋精细挂面600g,9.9,6973141130124,袋
29,0.00,副食,0.0,鲁花中麦芯精细挂面600g,9.5,6973141130155,袋
30,0.00,副食,0.0,鲁花中麦碱水面800g,11.9,6973141130186,袋
31,0.00,副食,0.0,鲁花中麦阳春面800g.,11.9,6973141130193,袋
32,0.00,副食,0.0,鲁花中麦龙须面800g,11.9,6973141130209,袋
33,0.00,副食,0.0,鲁花中麦鸡蛋面800g,11.9,6973141130216,袋
34,69.00,大米,62.0,鲁花生态粳米5kg,79.9,6971938360006,袋
35,24.00,大米,65.0,鲁花长粒香米5kg,79.9,6971938360044,袋
36,7.00,大米,112.0,鲁花五常大米5kg,139.9,6971938360075,袋
37,4.00,大米,62.0,鲁花松嫩源香大米,73.9,6971938360150,袋
38,0.00,乳制品酸奶,0.0,银桥冰爽酸牛奶(天然味)100g*8,11.0,6904007601755,排
39,0.00,乳制品酸奶,0.0,银桥益生菌发酵乳200g,3.5,6904007604992,杯
40,0.00,乳制品酸奶,0.0,银桥原点牧场新鲜杯酸牛奶180g,3.6,6904007605746,杯
41,0.00,乳制品酸奶,0.0,银桥普通利乐砖牛奶250g*10,34.5,6904007606255,箱
42,0.00,乳制品酸奶,0.0,银桥优养原味乳酸菌饮品340g,4.2,6904007606354,瓶
43,0.00,乳制品酸奶,0.0,冰天原味酸奶,11.8,6904007607511,盒
44,0.00,乳制品酸奶,0.0,原点无添加酸奶180ml,4.0,6904007607566,杯
45,0.00,乳制品酸奶,0.0,原点牧场无添加（百香果+燕麦）160g,4.0,6904007607573,杯
46,0.00,乳制品酸奶,0.0,原点牧场无添加（树莓+蔓越莓）160g,4.0,6904007607580,杯
47,0.00,乳制品酸奶,0.0,银桥冰淇淋酸奶草莓160g,3.0,6904007607603,盒
48,0.00,乳制品酸奶,0.0,银桥奶昔酸奶,45.0,6904007607627,提
49,0.00,乳制品酸奶,0.0,骨力元无糖酸奶,14.0,6904007608488,袋
50,0.00,乳制品酸奶,0.0,银桥活的酸奶饮品280g,6.5,6904007608754,瓶
51,0.00,乳制品酸奶,0.0,银桥益舒益生菌酸牛奶90g*8,13.8,6904007608792,排
52,0.00,乳制品酸奶,0.0,银桥益生菌猕猴桃燕麦280ml,6.8,6904007609737,盒
53,0.00,乳制品纯奶,0.0,银桥黑谷牛奶250g*12,43.9,6904007603445,提
54,0.00,乳制品纯奶,0.0,利乐峰银桥阳光冠+生榨核桃牛奶250g*12,68.0,6904007607030,提
55,0.00,乳制品纯奶,0.0,银桥原点牧场有机奶,67.0,6904007607382,提
56,0.00,乳制品纯奶,0.0,银桥秦俑营养甜牛奶190g*12,45.0,6904007608815,提
57,0.00,乳制品酸奶,0.0,华山牧鲜牛奶250ml,5.9,6970339116038,盒
59,0.00,乳制品酸奶,0.0,华山牧轻air海盐西柚250g,7.5,6970339116274,盒
60,0.00,乳制品酸奶,0.0,卡卡原装进口牛奶1L,20.0,7730901250947,盒
61,0.00,乳制品酸奶,0.0,光明益生菌原味酸奶180g,16.8,6921098302019,盒
62,0.00,乳制品酸奶,0.0,东方欧力多S227G,40.0,6921098313381,提
63,0.00,乳制品酸奶,0.0,光明200g酸奶（原味）,3.5,6932833530574,盒
64,0.00,乳制品酸奶,0.0,口口香（原味酸奶）,3.5,6933154500048,杯
65,0.00,乳制品酸奶,0.0,午牛原味酸奶200g,4.0,6936667800063,盒
66,0.00,乳制品酸奶,0.0,午牛小牛杯原味酸奶160g,3.5,6936667800087,盒
67,0.00,乳制品酸奶,0.0,雀巢脱脂牛奶1L,23.5,9026,盒
68,0.00,乳制品酸奶,0.0,雀巢全脂牛奶1L,19.0,9504,盒
69,0.00,零食,0.0,维多麦早餐饼干原味430g,44.0,5010029000023,盒
70,0.00,零食,0.0,小奶花草莓优脆乳90g,16.0,6958354000075,盒
71,0.00,零食,0.0,益昌即溶咖啡三合一600g,67.9,9556771000097,盒
72,0.00,零食,0.0,益昌老街白咖啡三合一600g,67.9,9556771000189,盒
73,0.00,零食,0.0,imp黑加仑15g,11.9,4005292000277,袋
74,0.00,零食,0.0,益昌老街即溶咖啡200g,26.8,9556771000875,盒
75,0.00,零食,0.0,益昌老街香滑巧克力200g,26.8,9556771000929,盒
76,0.00,零食,0.0,牛奶味甜饼干350g,12.8,4870066001510,袋
77,0.00,零食,0.0,牛奶味甜饼干300g,12.8,4870066001541,袋
78,0.00,零食,0.0,欧倍早餐麦片原味375g,44.0,5010029001808,盒
79,0.00,零食,0.0,牛头牌牛肉脯特味43g,14.8,6903155001851,袋
80,0.00,零食,0.0,牛肉干五香48g,16.4,6903155001950,袋
81,0.00,零食,0.0,牛肉干62g醇香,16.9,6903155002001,袋
82,0.00,零食,0.0,牛肉干卤汁62g,16.9,6903155002049,袋
83,0.00,零食,0.0,imp草莓味15g,11.9,4005292002059,袋
84,0.00,零食,0.0,草莓无糖含片15g,14.5,4005292002523,袋
85,0.00,零食,0.0,青苹果无糖含片15g,14.5,4005292002554,袋
86,0.00,零食,0.0,黑加仑无糖含片15g,14.5,4005292002585,袋
87,0.00,零食,0.0,可可威化饼干300g,19.8,4870066002777,袋
88,0.00,零食,0.0,imp香橙15g,11.9,4005292002998,袋
89,0.00,零食,0.0,imp哈密瓜味14g,11.9,4005292003049,盒
90,0.00,零食,0.0,百香果无糖含片15g,14.5,4005292003162,袋
91,0.00,零食,0.0,牛肉干麻辣48g,16.4,6903155003213,袋
92,0.00,零食,0.0,卤汁牛肉香辣62g,16.9,6903155003268,袋
93,0.00,零食,0.0,牛肉干卤汁62香辣,18.0,6903155003275,
94,0.00,零食,0.0,可可酱夹心威化饼干200g,11.9,4870066003569,袋
95,0.00,零食,0.0,奶油夹心威化饼干200g,11.9,4870066003576,袋
96,0.00,零食,0.0,牛肉丝五香味55g,13.5,6903155003817,袋
97,0.00,零食,0.0,牛头牌灯影牛肉丝五香56g,13.5,6903155003985,袋
98,0.00,零食,0.0,可可威化饼干350g,19.8,4870066004221,袋
99,0.00,零食,0.0,牛头牌牛肉脯烧烤43g,14.8,6903155004258,袋
100,0.00,零食,0.0,棍型咸饼干200g,9.9,4870066004269,袋
101,0.00,零食,0.0,牛头牌手撕牛肉醇香40g,14.8,6903155004777,袋
102,0.00,零食,0.0,手撕牛肉香辣40g,14.8,6903155004784,袋
103,0.00,零食,0.0,费罗列8粒装巧克力,46.5,8000500005026,盒
104,0.00,零食,0.0,维多滋脆麦圈巧克力375g,37.0,5010029005554,盒
105,0.00,零食,0.0,达利可比克60g烧烤,4.0,6911988006448,袋
106,0.00,零食,0.0,达利可比克60g番茄,4.0,6911988006455,袋
107,0.00,零食,0.0,达利可比克60g香辣,4.0,6911988006462,袋
108,0.00,零食,0.0,蛋奶星星150g,14.8,6917878006604,包
109,0.00,零食,0.0,达利园蛋黄派500g,17.9,6911988006790,袋
110,0.00,零食,0.0,可可味滋滋100g,14.8,6917878006918,包
111,0.00,零食,0.0,达利园巧克力派600g,17.9,6911988007193,袋
112,0.00,零食,0.0,雀巢脆谷乐150g,14.8,6917878009193,包
113,0.00,零食,0.0,费列罗巧克力24粒钻石装,115.0,8000500009673,支
114,0.00,零食,0.0,健达缤纷乐榛果巧克力6条,22.6,8000500016787,条
115,0.00,零食,0.0,达利园草莓派500g,17.9,6911988017147,袋
116,0.00,零食,0.0,雀巢麦脆片150g,10.0,6917878018324,包
117,0.00,零食,0.0,萨尔茨堡牛奶1L,18.0,9004584021896,盒
118,0.00,零食,0.0,雀巢美极碎牛肉土豆泥45g,6.5,6917878024929,盒
119,0.00,零食,0.0,雀巢美极咖喱牛肉土豆泥45g,6.5,6917878024943,盒
120,0.00,零食,0.0,雀巢美极鸡茸玉米土豆泥45g,6.5,6917878024967,盒
121,0.00,零食,0.0,雀巢鸡茸烤洋葱土豆泥46g,6.5,6917878024981,盒
122,0.00,零食,0.0,益达无糖清爽西瓜味5片装,3.0,69027086,条
123,0.00,零食,0.0,雀巢咖啡特浓即饮罐装180ml,3.8,6917878028606,罐
124,0.00,零食,0.0,益达无糖口香糖沁凉薄荷味12片装,5.0,69029097,条
125,0.00,零食,0.0,益达无糖口香糖热带水果味12片装,5.0,69029110,条
126,0.00,零食,0.0,脆脆鲨巧三角,24.0,6917878037103,盒
127,0.00,零食,0.0,脆脆鲨巧三角巧克力味,24.0,6917878037127,盒
128,0.00,零食,0.0,雀巢花生夹心威化24*20g,23.5,6917878037141,盒
129,0.00,零食,0.0,雀巢抹茶味威化24*20g,23.5,6917878037189,盒
130,0.00,零食,0.0,雀巢脆脆鲨巧克力味夹心膨化谷物片42g,6.9,6917878043456,盒
131,0.00,零食,0.0,健达夹心牛奶巧克力倍多 1条装,3.2,80050094,条
132,0.00,零食,0.0,拉斐尔椰蓉杏仁糖果酥球  3粒装,8.5,80052487,粒
133,0.00,零食,0.0,106g奥利奥甜橙+芒果,6.0,6901668054012,袋
134,0.00,零食,0.0,106g奥利奥蓝莓+树莓,6.0,6901668054029,袋
135,0.00,零食,0.0,318g奥利奥甜橙+芒果,16.5,6901668054043,袋
136,0.00,零食,0.0,130g奥利奥原味,6.0,6901668054050,袋
137,0.00,零食,0.0,130g奥利奥巧克力,6.0,6901668054074,袋
138,0.00,零食,0.0,390g奥利奥原味,16.5,6901668054081,袋
139,0.00,零食,0.0,390g奥利奥草莓,16.5,6901668054098,袋
140,0.00,零食,0.0,390g奥利奥巧克力,16.5,6901668054104,袋
141,0.00,零食,0.0,65g奥利奥原味,3.0,6901668054159,袋
142,0.00,零食,0.0,65g奥利奥巧克力,3.0,6901668054166,袋
143,0.00,零食,0.0,106g奥利奥葡萄+蜜桃,6.0,6901668054302,袋
144,0.00,零食,0.0,106g奥利奥生日蛋糕,6.0,6901668054357,袋
145,0.00,零食,0.0,健达缤纷乐榛果巧克力 2条装,8.0,8000500066027,条
146,0.00,零食,0.0,好食多韩式烤饼180g,8.5,6958036100666,盒
147,0.00,零食,0.0,好食多牛轧糖巧克力味150g,17.0,6958036102066,盒
148,0.00,零食,0.0,好食多陈皮老梅干16g,6.0,6958036103025,盒
149,0.00,零食,0.0,imp水蜜桃15g,11.9,4005292123501,袋
150,0.00,零食,0.0,健达奇趣蛋女孩版3只装,25.0,8000500126325,盒
151,0.00,零食,0.0,健达奇趣蛋男孩版3只装,25.0,8000500126356,盒
152,0.00,零食,0.0,费列罗榛果威化巧克力 5粒装,18.5,80135906,盒
153,0.00,零食,0.0,健达巧克力康脆麦牛奶谷物夹心巧克力1条装,4.0,80177180,条
154,0.00,零食,0.0,健达牛奶巧克力4条装,7.0,80177609,条
155,0.00,零食,0.0,健达8条装夹心牛奶巧克力,12.9,80177616,条
156,0.00,零食,0.0,费列罗臻品巧克力礼盒32粒装,158.0,8000500180730,盒
157,0.00,零食,0.0,100g太平梳打奶盐味,2.9,6901668200013,袋
158,0.00,零食,0.0,100g太平梳打海苔味,2.9,6901668200303,袋
159,0.00,零食,0.0,200g太平梳打奶盐味,5.8,6901668200600,袋
160,0.00,零食,0.0,200g太平梳打香葱味,5.8,6901668200624,袋
161,0.00,零食,0.0,欧倍早餐麦片无糖560g,64.0,5010029201246,盒
162,0.00,零食,0.0,维多麦早餐饼干水果坚果450g,49.0,5010029204704,盒
163,0.00,零食,0.0,维多麦早餐饼干巧克力450g,49.0,5010029204735,盒
164,0.00,零食,0.0,拉斐尔7粒装,23.0,8000500217511,袋
165,0.00,零食,0.0,欧倍水果谷物棒140g,28.0,5010029218954,袋
166,0.00,零食,0.0,欧倍巧克力谷物棒137.5g,28.0,5010029218985,盒
167,0.00,零食,0.0,欧倍椰香谷物棒137.5g,28.0,5010029219012,盒
168,0.00,零食,0.0,欧倍绿茶黑巧克力谷物棒137.5g,28.0,5010029219043,盒
169,0.00,零食,0.0,欧倍草莓谷物棒137.5g,28.0,5010029219074,袋
170,0.00,零食,0.0,欧倍蔓越莓谷物棒137.5g,28.0,5010029219104,袋
171,0.00,零食,0.0,脆乐脆饼干咖啡216g,8.8,8996001301890,袋
172,0.00,零食,0.0,丹麦皇冠曲奇163g（盒装）,16.8,8996001303634,罐
173,0.00,零食,0.0,丹麦皇冠曲奇(葡萄干)90g盒装,10.0,8996001303733,盒
174,0.00,零食,0.0,钙质奶酪威化饼干648g,23.0,8996001353011,袋
175,0.00,零食,0.0,果然是西梅128g,23.5,6954287500316,袋
176,0.00,零食,0.0,果然是蔓越莓108g,20.8,6954287500323,袋
177,0.00,零食,0.0,果然是芒果108g,22.8,6954287500361,袋
178,0.00,零食,0.0,混合坚果166g,29.8,6954287500538,袋
179,0.00,零食,0.0,美洲提子干238g,22.0,6954287500668,袋
180,0.00,零食,0.0,巧妈妈水果两连杯草莓味150g,9.9,6948839503207,盒
181,0.00,零食,0.0,巧妈妈水果味混装布丁礼盒360g,18.0,6948839503283,
182,0.00,零食,0.0,巧妈妈果町新语奇异果果冻125g单杯,5.8,6948839503788,杯
183,0.00,零食,0.0,巧妈妈奇异果果冻360g饭盒装,16.8,6948839503832,盒
184,0.00,零食,0.0,巧妈妈果町新语鸡蛋布丁（盒装）,12.8,6948839503948,盒
185,0.00,零食,0.0,巧妈妈果町新语香蕉牛奶果冻165g单杯,6.0,6948839504389,杯
186,0.00,零食,0.0,巧妈妈鸡蛋甸优酪果冻85g,10.8,6948839504402,包
187,0.00,零食,0.0,巧妈妈鸡蛋味布甸果冻125g单杯,5.9,6948839504426,盒
188,0.00,零食,0.0,巧妈妈紫薯、荔枝味布丁264g,14.0,6948839504747,盒
189,0.00,零食,0.0,巧妈妈益生菌吸吸果冻香橙味、苹果味225g,12.5,6948839504778,
190,0.00,零食,0.0,巧妈妈益生菌吸吸果冻菠萝味270g,12.5,6948839504808,
191,0.00,零食,0.0,德芙丝滑牛奶巧克力43g,7.5,6914973600010,条
192,0.00,零食,0.0,德芙香浓黑巧克力43g,7.5,6914973600041,条
193,0.00,零食,0.0,德芙榛仁巧克力43g,7.5,6914973600072,条
194,0.00,零食,0.0,德芙奶香巧克力43g,7.5,6914973600164,条
