productId,amount,salePrice
000026,2,17.6
000028,4,132.0
000040,1,8.8
000080,1,16.0
000081,1,33.5
000111,1,19.5
000115,3,251.70000000000002
000172,3,61.3
000548,1,33.5
000599,8,296.0
000643,4,46.0
000667,2,33.0
000681,1,16.5
000742,4,256.0
000802,1,10.9
000819,1,10.9
000826,1,10.9
000876,6,111.0
000890,4,112.0
001041,1,25.8
001245,5,35.0
001329,3,34.5
001360,1,9.9
001403,7,66.5
001429,1,2.8
001859,3,34.5
001878,1,13.9
001922,1,21.6
002013,4,51.2
002028,1,13.9
002221,1,16.5
002450,1,16.5
002655,1,7.5
003972,10,160.0
004045,6,31.2
004052,4,20.8
004469,1,4.0
004476,1,5.5
004612,12,66.0
004628,2,19.8
005141,18,93.60000000000001
005236,3,22.5
006349,1,7.5
007089,1,13.6
007096,2,31.2
008035,2,258.0
008337,1,13.5
008425,30,156.0
008595,1,8.5
009320,1,19.8
009337,2,39.6
010310,1,17.5
010591,4,35.2
010995,8,116.79999999999998
011008,5,73.0
011528,1,10.5
011535,3,31.5
012233,9,16.200000000000003
012684,2,59.2
014145,1,13.2
019128,2,21.0
019135,1,10.5
022004,2,44.0
022496,1,18.0
022547,1,18.8
028105,1,24.5
031598,1,35.8
039375,2,32.0
040081,2,60.0
040098,1,30.0
040692,8,63.2
040968,1,7.9
041712,1,7.9
044366,12,82.8
044380,6,41.4
050009,1,258.0
050054,4,380.0
050129,8,111.20000000000002
050238,1,118.0
050278,48,470.40000000000003
054766,20,130.0
055063,4,30.4
060320,5,29.5
060344,3,17.700000000000003
062605,6,51.0
062681,2,29.8
062850,2,27.6
070005,3,42.0
070008,1,16.5
070012,1,14.0
070018,5,84.0
080566,4,35.2
085509,2,17.6
085707,3,26.400000000000002
086506,2,17.6
087701,2,17.6
094241,1,13.0
099651,24,165.6
1,120,60.0
100321,1,13.8
100796,1,12.5
100871,1,34.9
101021,2,29.8
101485,2,19.0
101861,1,16.8
107274,1,21.4
110326,2,51.0
110524,1,26.8
111179,2,55.6
112102,4,92.0
112161,1,12.9
112454,9,531.0
112596,1,109.0
113103,3,54.0
113165,1,18.0
114321,2,22.0
114456,6,173.4
115180,4,34.0
