,importPrice,refundAmount,refundPrice,saleAmount,salePrice,saleTotal,serialNum
4,6.00,0,0.00,12,7.50,90.00,6934126261899
5,12.00,0,0.00,4,15.00,60.00,6958104100321
6,11.50,0,0.00,8,14.90,119.20,6931299062681
7,7.00,0,0.00,3,8.80,26.40,6934126261844
8,7.00,0,0.00,6,8.50,51.00,6931299062605
9,7.00,0,0.00,2,9.80,19.60,6934126262933
10,4.80,0,0.00,1,6.80,6.80,6958104101007
11,12.00,0,0.00,3,14.90,44.70,6958104101021
12,25.00,0,0.00,12,32.90,394.80,6971114920178
13,9.00,0,0.00,2,11.30,22.60,6973141130179
14,10.00,0,0.00,8,13.90,111.20,6934230050129
16,39.50,0,0.00,24,49.00,1176.00,6973141120088
18,65.00,0,0.00,1,75.00,75.00,6971114920017
19,89.00,0,0.00,4,99.90,399.60,6916168620773
21,143.00,0,0.00,88,149.00,13112.00,6916168616554
23,87.00,0,0.00,24,99.90,2397.60,6938749816122
26,16.50,0,0.00,6,19.50,117.00,6970339116557
27,52.00,0,0.00,9,65.00,585.00,6923644232658
28,58.00,0,0.00,7,68.00,476.00,6923644297251
29,55.00,0,0.00,2,68.00,136.00,6923644299804
30,50.00,0,0.00,18,59.00,1062.00,6923644266318
31,60.50,0,0.00,2,76.00,152.00,6923644295844
41,11.00,0,0.00,4,14.50,58.00,6970339117554
42,11.00,0,0.00,5,14.50,72.50,6970339117523
43,3.00,0,0.00,44,4.00,176.00,6970339116373
44,56.00,0,0.00,9,65.00,585.00,6970339116151
45,5.80,0,0.00,1,7.50,7.50,6970339117646
46,10.50,0,0.00,2,12.90,25.80,6970339117998
47,8.50,0,0.00,2,10.50,21.00,6970339116915
48,3.50,0,0.00,16,4.50,72.00,6970339117097
49,3.70,0,0.00,24,4.40,105.60,6970339117844
50,3.80,0,0.00,4,4.50,18.00,6970339116137
51,11.20,0,0.00,4,13.90,55.60,6970339118186
52,2.80,0,0.00,32,4.50,144.00,6970339116144
53,3.80,0,0.00,48,4.50,216.00,6970339116120
54,3.00,0,0.00,30,4.00,120.00,6970339117233
55,5.80,0,0.00,18,6.90,124.20,6970339116588
56,20.00,0,0.00,8,26.00,208.00,6970339117677
57,7.50,0,0.00,20,9.50,190.00,6970618570070
58,22.00,0,0.00,5,30.00,150.00,6970618570414
59,30.50,0,0.00,1,38.00,38.00,6970618570056
60,9.50,0,0.00,3,11.80,35.40,6970618570209
61,7.50,0,0.00,20,9.50,190.00,6970618570599
62,10.00,0,0.00,3,12.50,37.50,6970618570001
63,9.30,0,0.00,5,10.80,54.00,6970618570384
64,4.00,0,0.00,24,5.50,132.00,6927797622700
65,4.00,0,0.00,48,5.50,264.00,6927797623530
66,5.50,0,0.00,2,6.50,13.00,6927797622304
67,4.00,0,0.00,30,5.50,165.00,6927797622724
68,4.00,0,0.00,42,5.50,231.00,6927797623370
79,6.00,0,0.00,2,7.70,15.40,6926213559019
80,9.00,0,0.00,1,13.00,13.00,6926213560831
81,7.00,0,0.00,1,8.80,8.80,6926213558272
82,4.60,0,0.00,8,6.40,51.20,6902265610014
83,7.50,0,0.00,2,12.00,24.00,6902265440291
84,8.00,0,0.00,2,10.50,21.00,6902265107057
85,5.50,0,0.00,5,6.50,32.50,6902265470236
86,6.50,0,0.00,9,7.90,71.10,6902265360018
87,9.80,0,0.00,1,14.20,14.20,6902265114369
88,8.30,0,0.00,2,11.00,22.00,6902265114321
89,8.00,0,0.00,4,9.90,39.60,6902265114888
90,9.90,0,0.00,6,11.50,69.00,6902265150015
91,6.40,0,0.00,8,8.50,68.00,6902265170501
92,5.50,0,0.00,3,6.80,20.40,6902265115496
93,1.30,0,0.00,45,1.80,81.00,6926198012233
94,10.50,0,0.00,1,12.50,12.50,6921956645586
95,7.00,0,0.00,7,11.50,80.50,6972786771389
96,9.00,0,0.00,4,11.50,46.00,6972786771242
97,8.50,0,0.00,5,13.40,67.00,6972786775387
98,23.00,-1,-32.00,3,32.00,96.00,6972786773505
99,18.50,0,0.00,1,25.00,25.00,6972786771433
100,19.00,0,0.00,1,26.00,26.00,6972786772775
101,7.00,0,0.00,3,8.50,25.50,6925316299556
102,12.00,0,0.00,3,18.90,56.70,6971851560026
103,8.00,0,0.00,5,12.00,60.00,6902131130011
104,18.00,0,0.00,11,23.20,255.20,6902131130882
105,13.50,0,0.00,9,16.50,148.50,6902131110020
106,9.00,0,0.00,7,11.70,81.90,6928312911668
115,24.00,0,0.00,8,37.40,299.20,6928312900525
116,11.50,0,0.00,2,19.20,38.40,6928312961090
117,8.50,0,0.00,1,10.20,10.20,6928312918001
118,11.50,0,0.00,4,19.20,76.80,6928312900709
119,16.50,0,0.00,1,21.00,21.00,6928312984228
120,12.00,0,0.00,5,17.50,87.50,6928312900204
121,9.00,0,0.00,8,12.80,102.40,6907592002013
122,5.90,0,0.00,8,7.50,60.00,6907592001948
123,7.00,0,0.00,1,8.80,8.80,6907592000026
124,5.90,0,0.00,3,7.00,21.00,6907592001245
125,6.00,0,0.00,1,7.90,7.90,6907592007025
126,11.00,0,0.00,2,13.90,27.80,6924115086107
127,26.00,0,0.00,1,38.00,38.00,6928710609549
128,19.00,0,0.00,4,28.00,112.00,6928710609600
129,22.00,0,0.00,7,32.00,224.00,6928710609594
130,8.50,0,0.00,4,13.00,52.00,6928710609587
131,27.00,0,0.00,1,39.00,39.00,6928710609570
132,4.50,0,0.00,1,8.00,8.00,6974919370124
133,5.70,0,0.00,2,8.00,16.00,6928710605176
134,23.00,0,0.00,13,33.80,439.40,6974919370025
135,6.00,0,0.00,3,8.50,25.50,6928710609761
136,11.50,0,0.00,4,15.70,62.80,6928710609778
137,43.00,0,0.00,1,63.00,63.00,6928710609532
138,8.50,0,0.00,2,13.00,26.00,6928710609556
139,11.90,0,0.00,1,15.00,15.00,6942806983511
140,12.90,0,0.00,3,17.00,51.00,6942806983429
141,10.50,0,0.00,1,13.50,13.50,6942806981999
143,13.00,0,0.00,1,17.60,17.60,6926213557985
152,20.00,0,0.00,8,25.00,200.00,6924773600257
153,50.00,0,0.00,1,62.50,62.50,6928710602212
154,33.00,0,0.00,1,45.00,45.00,6928710601611
155,45.00,0,0.00,3,57.90,173.70,6928710602304
156,5.50,0,0.00,1,7.60,7.60,6974919371374
157,6.00,0,0.00,4,7.80,31.20,6974919371367
158,20.00,0,0.00,7,26.00,182.00,6928710600034
159,29.00,0,0.00,2,39.00,78.00,6928710609075
160,7.50,0,0.00,7,8.90,62.30,6928710600164
161,22.00,0,0.00,11,28.50,313.50,6928710600485
162,15.00,0,0.00,1,18.50,18.50,6928710600980
163,18.00,0,0.00,7,23.80,166.60,6928710600089
164,48.00,0,0.00,1,64.90,64.90,6928710660069
165,11.50,0,0.00,3,15.70,47.10,6928710660052
166,22.50,0,0.00,6,29.00,174.00,6974919371923
167,20.00,0,0.00,5,24.80,124.00,6928710600065
168,65.00,0,0.00,5,79.90,399.50,6928710601765
169,65.00,0,0.00,1,79.90,79.90,6928710601772
170,26.00,0,0.00,8,34.80,278.40,6928710600096
171,6.50,0,0.00,2,8.50,17.00,6974919372210
172,14.00,0,0.00,2,19.90,39.80,6928710609228
173,37.00,0,0.00,6,49.50,297.00,6928710600362
174,31.50,0,0.00,1,41.30,41.30,6974919370476
175,4.00,0,0.00,3,7.60,22.80,6974919370087
176,16.00,0,0.00,2,21.30,42.60,6974919370254
177,6.00,0,0.00,5,7.50,37.50,6928710601215
178,45.00,0,0.00,1,54.80,54.80,6928710600058
179,52.00,0,0.00,4,67.50,270.00,6928710601512
180,15.00,0,0.00,1,19.50,19.50,6928710601178
189,18.00,0,0.00,4,23.00,92.00,6928710600072
191,11.00,0,0.00,8,13.50,108.00,6928710600331
192,9.00,0,0.00,1,12.50,12.50,6928710660175
193,6.20,0,0.00,1,7.50,7.50,6928710601284
194,18.00,0,0.00,4,23.50,94.00,6928710600621
195,20.00,0,0.00,6,25.90,155.40,6928710600560
196,20.00,0,0.00,16,26.00,416.00,6928710600614
197,12.00,0,0.00,3,15.80,47.40,6928710601147
198,12.50,0,0.00,2,16.30,32.60,6928710600584
199,17.50,0,0.00,5,22.80,114.00,6928710600577
200,18.00,0,0.00,17,22.50,382.50,6928710600553
201,5.50,0,0.00,2,8.00,16.00,6928710601406
204,1.50,0,0.00,46,1.90,87.40,6917790975323
205,4.50,0,0.00,4,5.70,22.80,6935616500016
206,3.50,0,0.00,3,4.50,13.50,6915993301895
207,1.20,0,0.00,24,1.50,36.00,6915993303363
208,1.20,0,0.00,11,1.50,16.50,6915993302229
209,1.20,0,0.00,19,1.50,28.50,6915993303028
210,11.00,0,0.00,3,14.60,43.80,6915993304650
211,4.30,0,0.00,2,5.90,11.80,6925714800569
212,5.00,0,0.00,1,6.40,6.40,6911567886096
213,8.90,0,0.00,1,13.00,13.00,6902534238338
214,5.50,0,0.00,2,6.90,13.80,6920319827799
215,18.00,0,0.00,3,21.80,65.40,6930305500049
216,11.50,0,0.00,8,13.00,104.00,6942032700050
217,4.50,0,0.00,6,6.50,39.00,6955381400700
226,4.50,0,0.00,5,6.50,32.50,6955381400601
227,12.70,0,0.00,5,15.90,79.50,6942032700098
228,12.70,0,0.00,12,15.90,190.80,6942032700029
229,11.50,0,0.00,7,13.00,91.00,6942032700067
230,3.50,0,0.00,11,4.70,51.70,6920143500509
231,8.50,0,0.00,3,11.80,35.40,6936749501116
232,8.50,0,0.00,9,11.80,106.20,6936749501109
233,9.00,0,0.00,7,11.60,81.20,6947769900766
234,8.80,0,0.00,5,10.80,54.00,6947769901008
235,13.00,0,0.00,6,17.00,102.00,6933453800078
236,4.00,0,0.00,7,5.90,41.30,6970470758319
237,5.30,0,0.00,1,6.30,6.30,6922848608870
238,9.00,0,0.00,3,11.50,34.50,6921804700757
239,8.50,0,0.00,3,11.00,33.00,6921804700184
240,9.00,0,0.00,12,11.50,138.00,6922824000643
241,8.50,0,0.00,2,10.50,21.00,6918678310014
242,6.50,0,0.00,3,8.50,25.50,4893888001575
243,6.00,0,0.00,11,7.60,83.60,6922824055063
244,10.00,0,0.00,2,12.50,25.00,6922824075016
245,7.50,0,0.00,2,10.00,20.00,6922824055018
246,9.00,0,0.00,2,11.50,23.00,6922824001329
247,11.00,0,0.00,2,14.50,29.00,6918678423035
248,5.00,0,0.00,4,7.00,28.00,6901377002502
249,11.20,0,0.00,9,13.50,121.50,6909689901483
250,4.70,0,0.00,2,5.90,11.80,6924116188879
251,4.70,0,0.00,2,5.90,11.80,6924116170010
252,6.50,0,0.00,1,8.80,8.80,6936072100154
253,5.80,0,0.00,3,7.00,21.00,6936072100468
254,24.00,0,0.00,1,34.90,34.90,6936072100871
263,7.50,0,0.00,1,9.50,9.50,6936072100369
264,10.50,0,0.00,1,12.50,12.50,6939044610002
265,22.50,0,0.00,5,33.00,165.00,6922877745508
266,8.80,0,0.00,21,10.50,220.50,6922130101485
267,13.00,0,0.00,6,16.50,99.00,6922130118483
268,5.50,0,0.00,3,6.80,20.40,6972559820108
269,2.20,0,0.00,4,2.80,11.20,6944296500049
270,6.50,0,0.00,1,8.50,8.50,6906303002441
271,5.00,0,0.00,20,6.50,130.00,6906303004612
272,3.30,0,0.00,4,4.50,18.00,6906303004469
273,3.80,0,0.00,11,5.50,60.50,6906303004476
274,3.40,0,0.00,3,4.50,13.50,6906303888908
275,3.80,0,0.00,2,5.50,11.00,6906303004605
276,3.00,0,0.00,1,4.00,4.00,6906303004643
277,3.40,0,0.00,28,4.50,126.00,6906303888885
278,11.00,0,0.00,2,16.50,33.00,6906303002434
279,2.20,0,0.00,1,2.80,2.80,6907592001429
280,3.50,0,0.00,14,4.50,63.00,6901754040936
281,1.70,0,0.00,16,2.20,35.20,6901754150505
282,6.50,0,0.00,7,8.50,59.50,6928454900087
283,10.00,0,0.00,3,12.80,38.40,6972011732017
