,serialNum,sumAmount,sumTotal
4,6934126261899,12,90.00
5,6958104100321,4,60.00
6,6931299062681,8,119.20
7,6934126261844,3,26.40
8,6931299062605,6,51.00
9,6934126262933,2,19.60
10,6958104101007,1,6.80
11,6958104101021,3,44.70
12,6971114920178,12,394.80
13,6973141130179,2,22.60
14,6934230050129,8,111.20
16,6973141120088,24,1176.00
18,6971114920017,1,75.00
19,6916168620773,4,399.60
21,6916168616554,88,13112.00
23,6938749816122,24,2397.60
26,6970339116557,6,117.00
27,6923644232658,9,585.00
28,6923644297251,7,476.00
29,6923644299804,2,136.00
30,6923644266318,18,1062.00
31,6923644295844,2,152.00
41,6970339117554,4,58.00
42,6970339117523,5,72.50
43,6970339116373,44,176.00
44,6970339116151,9,585.00
45,6970339117646,1,7.50
46,6970339117998,2,25.80
47,6970339116915,2,21.00
48,6970339117097,16,72.00
49,6970339117844,24,105.60
50,6970339116137,4,18.00
51,6970339118186,4,55.60
52,6970339116144,32,144.00
53,6970339116120,48,216.00
54,6970339117233,30,120.00
55,6970339116588,18,124.20
56,6970339117677,8,208.00
57,6970618570070,20,190.00
58,6970618570414,5,150.00
59,6970618570056,1,38.00
60,6970618570209,3,35.40
61,6970618570599,20,190.00
62,6970618570001,3,37.50
63,6970618570384,5,54.00
64,6927797622700,24,132.00
65,6927797623530,48,264.00
66,6927797622304,2,13.00
67,6927797622724,30,165.00
68,6927797623370,42,231.00
79,6926213559019,2,15.40
80,6926213560831,1,13.00
81,6926213558272,1,8.80
82,6902265610014,8,51.20
83,6902265440291,2,24.00
84,6902265107057,2,21.00
85,6902265470236,5,32.50
86,6902265360018,9,71.10
87,6902265114369,1,14.20
88,6902265114321,2,22.00
89,6902265114888,4,39.60
90,6902265150015,6,69.00
91,6902265170501,8,68.00
92,6902265115496,3,20.40
93,6926198012233,45,81.00
94,6921956645586,1,12.50
95,6972786771389,7,80.50
96,6972786771242,4,46.00
97,6972786775387,5,67.00
98,6972786773505,2,64.00
99,6972786771433,1,25.00
100,6972786772775,1,26.00
101,6925316299556,3,25.50
102,6971851560026,3,56.70
103,6902131130011,5,60.00
104,6902131130882,11,255.20
105,6902131110020,9,148.50
106,6928312911668,7,81.90
115,6928312900525,8,299.20
116,6928312961090,2,38.40
117,6928312918001,1,10.20
118,6928312900709,4,76.80
119,6928312984228,1,21.00
120,6928312900204,5,87.50
121,6907592002013,8,102.40
122,6907592001948,8,60.00
123,6907592000026,1,8.80
124,6907592001245,3,21.00
125,6907592007025,1,7.90
126,6924115086107,2,27.80
127,6928710609549,1,38.00
128,6928710609600,4,112.00
129,6928710609594,7,224.00
130,6928710609587,4,52.00
131,6928710609570,1,39.00
132,6974919370124,1,8.00
133,6928710605176,2,16.00
134,6974919370025,13,439.40
135,6928710609761,3,25.50
136,6928710609778,4,62.80
137,6928710609532,1,63.00
138,6928710609556,2,26.00
139,6942806983511,1,15.00
140,6942806983429,3,51.00
141,6942806981999,1,13.50
143,6926213557985,1,17.60
152,6924773600257,8,200.00
153,6928710602212,1,62.50
154,6928710601611,1,45.00
155,6928710602304,3,173.70
156,6974919371374,1,7.60
157,6974919371367,4,31.20
158,6928710600034,7,182.00
159,6928710609075,2,78.00
160,6928710600164,7,62.30
161,6928710600485,11,313.50
162,6928710600980,1,18.50
163,6928710600089,7,166.60
164,6928710660069,1,64.90
165,6928710660052,3,47.10
166,6974919371923,6,174.00
167,6928710600065,5,124.00
168,6928710601765,5,399.50
169,6928710601772,1,79.90
170,6928710600096,8,278.40
171,6974919372210,2,17.00
172,6928710609228,2,39.80
173,6928710600362,6,297.00
174,6974919370476,1,41.30
175,6974919370087,3,22.80
176,6974919370254,2,42.60
177,6928710601215,5,37.50
178,6928710600058,1,54.80
179,6928710601512,4,270.00
180,6928710601178,1,19.50
189,6928710600072,4,92.00
191,6928710600331,8,108.00
192,6928710660175,1,12.50
193,6928710601284,1,7.50
194,6928710600621,4,94.00
195,6928710600560,6,155.40
196,6928710600614,16,416.00
197,6928710601147,3,47.40
198,6928710600584,2,32.60
199,6928710600577,5,114.00
200,6928710600553,17,382.50
201,6928710601406,2,16.00
204,6917790975323,46,87.40
205,6935616500016,4,22.80
206,6915993301895,3,13.50
207,6915993303363,24,36.00
208,6915993302229,11,16.50
209,6915993303028,19,28.50
210,6915993304650,3,43.80
211,6925714800569,2,11.80
212,6911567886096,1,6.40
213,6902534238338,1,13.00
214,6920319827799,2,13.80
215,6930305500049,3,65.40
216,6942032700050,8,104.00
217,6955381400700,6,39.00
226,6955381400601,5,32.50
227,6942032700098,5,79.50
228,6942032700029,12,190.80
229,6942032700067,7,91.00
230,6920143500509,11,51.70
231,6936749501116,3,35.40
232,6936749501109,9,106.20
233,6947769900766,7,81.20
234,6947769901008,5,54.00
235,6933453800078,6,102.00
236,6970470758319,7,41.30
237,6922848608870,1,6.30
238,6921804700757,3,34.50
239,6921804700184,3,33.00
240,6922824000643,12,138.00
241,6918678310014,2,21.00
242,4893888001575,3,25.50
243,6922824055063,11,83.60
244,6922824075016,2,25.00
245,6922824055018,2,20.00
246,6922824001329,2,23.00
247,6918678423035,2,29.00
248,6901377002502,4,28.00
249,6909689901483,9,121.50
250,6924116188879,2,11.80
251,6924116170010,2,11.80
252,6936072100154,1,8.80
253,6936072100468,3,21.00
254,6936072100871,1,34.90
263,6936072100369,1,9.50
264,6939044610002,1,12.50
265,6922877745508,5,165.00
266,6922130101485,21,220.50
267,6922130118483,6,99.00
268,6972559820108,3,20.40
269,6944296500049,4,11.20
270,6906303002441,1,8.50
271,6906303004612,20,130.00
272,6906303004469,4,18.00
273,6906303004476,11,60.50
274,6906303888908,3,13.50
275,6906303004605,2,11.00
276,6906303004643,1,4.00
277,6906303888885,28,126.00
278,6906303002434,2,33.00
279,6907592001429,1,2.80
280,6901754040936,14,63.00
281,6901754150505,16,35.20
282,6928454900087,7,59.50
283,6972011732017,3,38.40
284,6935953399991,5,74.50
285,6935953399984,3,43.50
286,6920633801048,3,4.50
287,6942046300017,1,2.00
288,6942046300055,9,18.00
289,6922165900770,1,10.90
300,6933276212058,17,459.00
301,6933276212119,47,1175.00
304,6975915740027,2,79.60
305,6975915740010,4,66.80
306,6975915740058,6,60.00
307,6975915740065,33,82.50
308,6975915740034,5,50.00
309,6975915740041,11,110.00
312,6943036809015,6,88.80
313,6957335216023,8,214.40
314,6957335213015,7,180.60
315,6943036808032,20,718.00
316,6943036812046,1,79.00
317,6957335215026,2,91.20
319,6901715291247,8,74.40
320,6901715292527,3,42.00
321,6954434300851,3,324.00
322,6931051900893,2,76.00
323,6921774200639,4,55.20
324,6921774286305,2,27.60
325,6921774271561,2,27.60
326,6921774271622,4,55.20
327,6921774271547,6,82.80
328,6919892634603,2,32.60
337,6921774214070,2,8.80
338,6920731700106,3,48.00
339,6919892634108,1,16.30
340,6921774242714,4,17.60
341,6921774241540,2,8.80
342,6923250611281,1,19.50
343,6923250611267,2,39.00
344,6923250642193,2,39.00
345,3800014288381,1,28.50
346,6970870270671,6,59.40
347,6970870270664,1,9.90
348,6970870272231,1,14.90
349,6970870270152,1,17.60
351,6974613130086,1,9.90
352,6974613130079,1,9.90
353,6974613130345,2,110.00
356,4000417932006,5,135.00
357,8003477500013,2,27.00
359,4897031350015,1,50.00
360,4000417933003,2,54.00
363,6971893820010,12,444.00
364,6943890900477,1,39.00
365,6973669041100,4,70.00
374,6974739650178,1,160.00
375,6954808610302,3,127.80
376,6954808610319,1,42.60
377,6954808612139,1,42.60
378,6954808612351,3,142.50
379,6974622050009,2,516.00
380,6972251252245,7,273.00
381,6974622051433,4,396.00
382,6949884200547,2,37.60
383,6970010925010,3,89.70
384,6970525359362,4,552.00
385,6970525359997,5,249.00
386,6970525356309,2,316.00
387,6970525358211,4,279.20
388,6975235721362,2,106.00
389,6975471520019,11,1419.00
390,6971680630297,2,50.00
391,6970599913842,5,147.50
392,6959540361321,3,149.70
393,6975849950004,5,217.50
394,6943890900408,1,69.50
395,6948431109968,11,429.00
396,6940747415115,1,19.00
397,6940747414910,3,67.50
398,6940747410912,8,312.00
399,6940747410813,6,234.00
400,0101020211012,6,288.00
402,6970228680121,5,99.00
411,6901333110524,3,80.40
412,6905014301263,1,43.20
413,6905014301287,5,216.00
414,6905014301270,4,172.80
415,6905014081288,3,84.00
416,6905014000876,6,111.00
417,6904555694292,2,38.00
418,6931500340706,1,20.50
419,6931500340904,5,102.50
420,6931500341000,2,41.00
421,6945309351917,2,39.60
423,6913405670317,1,33.80
424,6913405660530,1,15.50
425,6913405760681,1,15.60
426,6913405663524,4,100.00
427,6913405663517,1,25.80
428,8996001356500,2,39.80
429,6976488300267,4,79.20
430,6939730799967,1,28.20
431,6972933566080,3,31.50
432,6972933562761,9,103.50
433,6972933565557,1,12.50
434,6972933565540,1,12.50
435,6972933562051,10,90.00
436,6972933562884,4,43.20
437,6972933566226,3,57.00
