,importPrice,serialNum,sumAmount,sumTotal,supplier,unit
1,143.00,6916168616554,88.00,"13,112.00",山东鲁花集团商贸有限公司西安分公司,桶
3,10.00,6934230050129,8.00,111.20,山东鲁花集团商贸有限公司西安分公司,瓶
4,7.00,6931299062605,6.00,51.00,山东鲁花集团商贸有限公司西安分公司,瓶
5,11.50,6931299062681,8.00,119.20,山东鲁花集团商贸有限公司西安分公司,瓶
6,12.00,6958104100321,4.00,60.00,山东鲁花集团商贸有限公司西安分公司,瓶
7,4.80,6958104101007,1.00,6.80,山东鲁花集团商贸有限公司西安分公司,瓶
8,12.00,6958104101021,3.00,44.70,山东鲁花集团商贸有限公司西安分公司,瓶
9,9.00,6973141130179,2.00,22.60,山东鲁花集团商贸有限公司西安分公司,袋
10,7.00,6934126261844,3.00,26.40,山东鲁花集团商贸有限公司西安分公司,瓶
11,6.00,6934126261899,12.00,90.00,山东鲁花集团商贸有限公司西安分公司,瓶
12,7.00,6934126262933,2.00,19.60,山东鲁花集团商贸有限公司西安分公司,瓶
13,25.00,6971114920178,12.00,394.80,山东鲁花集团商贸有限公司西安分公司,瓶
15,89.00,6916168620773,4.00,399.60,山东鲁花集团商贸有限公司西安分公司,桶
16,65.00,6971114920017,1.00,75.00,山东鲁花集团商贸有限公司西安分公司,瓶
18,39.50,6973141120088,24.00,"1,176.00",山东鲁花集团商贸有限公司西安分公司,袋
20,87.00,6938749816122,24.00,"2,397.60",山东鲁花集团商贸有限公司西安分公司,桶
23,10.50,8003477500013,2.00,27.00,西安菲达食品商贸有限公司,袋
24,17.00,4000417932006,5.00,135.00,西安菲达食品商贸有限公司,盒
26,36.00,4897031350015,1.00,50.00,西安菲达食品商贸有限公司,袋
27,17.00,4000417933003,2.00,54.00,西安菲达食品商贸有限公司,盒
95,0.00,6933190910566,20.00,80.00,西安市碑林区祥坤蔬菜店,盒
96,0.00,6933190900031,20.00,60.00,西安市碑林区祥坤蔬菜店,盒
97,0.00,6933190900048,12.00,54.00,西安市碑林区祥坤蔬菜店,盒
98,0.00,6933190900062,5.00,20.00,西安市碑林区祥坤蔬菜店,盒
99,0.00,6933190900116,9.00,36.00,西安市碑林区祥坤蔬菜店,盒
100,0.00,6933190900147,22.00,99.00,西安市碑林区祥坤蔬菜店,盒
101,0.00,6933190900185,20.00,80.00,西安市碑林区祥坤蔬菜店,盒
102,0.00,6933190900208,16.00,56.00,西安市碑林区祥坤蔬菜店,盒
140,22.80,6933276212058,17.00,459.00,西安傲涵贸易有限公司,盒
141,21.00,6933276212119,47.00,"1,175.00",西安傲涵贸易有限公司,盒
144,16.00,6954113701504,76.00,"1,482.00",西安秦南农副产品贸易有限公司,盒
147,26.50,6905014000081,1.00,33.50,西安丰泰永泽商贸有限公司,袋
148,25.00,6905014000890,2.00,56.00,西安丰泰永泽商贸有限公司,桶
149,24.50,6974856040081,6.00,180.00,西安丰泰永泽商贸有限公司,袋
150,24.50,6974856040098,2.00,60.00,西安丰泰永泽商贸有限公司,袋
151,14.00,6970631040109,3.00,53.70,西安丰泰永泽商贸有限公司,盒
152,14.00,6970631040123,2.00,35.80,西安丰泰永泽商贸有限公司,袋
153,14.00,6970631040130,3.00,53.70,西安丰泰永泽商贸有限公司,袋
154,5.80,4897082059974,1.00,7.50,西安丰泰永泽商贸有限公司,盒
155,5.80,4897082059998,2.00,15.00,西安丰泰永泽商贸有限公司,盒
156,10.80,4897076061181,5.00,69.50,西安丰泰永泽商贸有限公司,袋
157,11.00,4897076062379,1.00,13.80,西安丰泰永泽商贸有限公司,袋
158,11.00,4897076062393,2.00,27.60,西安丰泰永泽商贸有限公司,袋
159,21.50,6973768111179,1.00,27.80,西安丰泰永泽商贸有限公司,袋
160,25.00,4979365122718,1.00,29.80,西安丰泰永泽商贸有限公司,盒
161,25.00,4979365122725,1.00,29.80,西安丰泰永泽商贸有限公司,盒
162,46.00,6971062128855,1.00,49.00,西安丰泰永泽商贸有限公司,盒
163,33.00,6971062129289,2.00,77.60,西安丰泰永泽商贸有限公司,袋
164,5.30,6922621132783,3.00,19.50,西安丰泰永泽商贸有限公司,包
165,13.00,6975287200020,8.00,134.40,西安丰泰永泽商贸有限公司,袋
166,46.00,8809022200885,4.00,234.00,西安丰泰永泽商贸有限公司,袋
167,18.57,6926507201143,1.00,23.50,西安丰泰永泽商贸有限公司,袋
168,37.50,6926507201594,1.00,48.00,西安丰泰永泽商贸有限公司,袋
169,62.00,6926507201884,3.00,234.00,西安丰泰永泽商贸有限公司,袋
170,28.00,6926507202300,4.00,140.00,西安丰泰永泽商贸有限公司,袋
171,22.00,6926507202379,1.00,27.50,西安丰泰永泽商贸有限公司,袋
172,12.00,6926507202430,2.00,31.20,西安丰泰永泽商贸有限公司,袋
173,23.00,6926507202591,3.00,87.00,西安丰泰永泽商贸有限公司,袋
174,4.50,6926507202836,14.00,75.60,西安丰泰永泽商贸有限公司,袋
175,6.50,6971791203571,2.00,18.00,西安丰泰永泽商贸有限公司,盒
176,6.50,6971791203588,2.00,18.00,西安丰泰永泽商贸有限公司,盒
177,6.50,6971791203595,1.00,9.00,西安丰泰永泽商贸有限公司,盒
178,9.00,6971791203618,3.00,36.00,西安丰泰永泽商贸有限公司,盒
179,23.00,6926507204182,1.00,29.90,西安丰泰永泽商贸有限公司,袋
180,23.00,6926507204342,1.00,29.90,西安丰泰永泽商贸有限公司,袋
181,47.00,6926507204991,1.00,58.80,西安丰泰永泽商贸有限公司,袋
182,10.50,6974176260176,1.00,13.50,西安丰泰永泽商贸有限公司,袋
183,10.80,6974176260183,3.00,43.50,西安丰泰永泽商贸有限公司,袋
184,14.00,6974176260367,5.00,90.00,西安丰泰永泽商贸有限公司,袋
185,10.50,6974176260541,1.00,13.50,西安丰泰永泽商贸有限公司,袋
186,15.50,6976488300267,4.00,79.20,西安丰泰永泽商贸有限公司,袋
187,6.50,6971426300477,7.00,58.10,西安丰泰永泽商贸有限公司,袋
188,6.50,6971426300491,1.00,8.30,西安丰泰永泽商贸有限公司,袋
189,22.50,9588552302854,1.00,29.00,西安丰泰永泽商贸有限公司,盒
190,19.80,9588552304506,7.00,180.60,西安丰泰永泽商贸有限公司,袋
191,19.00,9588552305312,3.00,74.70,西安丰泰永泽商贸有限公司,袋
192,16.00,9588552305725,1.00,20.00,西安丰泰永泽商贸有限公司,盒
193,19.00,9588552312259,1.00,24.50,西安丰泰永泽商贸有限公司,袋
194,19.00,9588552312266,1.00,24.50,西安丰泰永泽商贸有限公司,袋
195,12.00,9588552314123,1.00,15.90,西安丰泰永泽商贸有限公司,袋
196,12.00,9588552314338,1.00,15.90,西安丰泰永泽商贸有限公司,袋
197,13.00,6952675319915,8.00,129.60,西安丰泰永泽商贸有限公司,袋
198,64.00,6970480320292,5.00,395.00,西安丰泰永泽商贸有限公司,盒
199,26.00,6952675321123,15.00,477.00,西安丰泰永泽商贸有限公司,袋
