,importAmount,importPrice,postSaleAmount,postSalePrice,preSaleAmount,preSaleCost,preSalePrice,saleAmount,salePrice,serialNum
5,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,901200
6,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,6974382570328
7,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,108800
8,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,901000
9,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,6924537600028
10,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,6973551940443
11,0.0,0.0,0.0,0.0,0.0,37.9,0.0,0.0,0.0,901100
12,0.0,0.0,0.0,0.0,0.0,31.75,0.0,0.0,0.0,901300
13,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,6971639780868
14,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,6973550780040
15,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,6971639780004
16,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,6954290601413
17,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6954290601406
20,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6971654248046
21,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,2480460
22,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,6971654248053
23,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,2480530
24,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,6971654248084
25,0.0,0.0,0.0,0.0,0.0,6.24,0.0,0.0,0.0,2480840
26,0.0,0.0,501.0,8517.0,514.0,17.0,8738.0,13.0,221.0,6971654248091
27,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,2400260
28,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,2480150
29,0.0,0.0,0.0,0.0,0.0,7.82,0.0,0.0,0.0,2400400
30,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6971654248039
31,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6971654240040
32,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,6971654240033
33,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,6971654240057
34,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6971654240026
44,0.0,0.0,0.0,0.0,0.0,4.32,0.0,0.0,0.0,2400190
45,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6971654240019
46,0.0,0.0,0.0,0.0,0.0,4.68,0.0,0.0,0.0,2480390
47,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,6971654240101
48,0.0,0.0,84.0,1092.0,84.0,13.0,1092.0,0.0,0.0,6971654248015
49,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,6971654248107
51,0.0,0.0,283.0,3113.0,285.0,11.0,3135.0,2.0,22.0,6934126262346
52,0.0,0.0,72.0,10800.0,261.0,150.0,39150.0,189.0,28350.0,6916168616554
53,0.0,0.0,21.0,1512.0,22.0,72.0,1584.0,1.0,72.0,6916168617322
54,0.0,0.0,37.0,2405.0,37.0,65.0,2405.0,0.0,0.0,6971114920017
55,0.0,0.0,2197.0,215306.0,2228.0,98.0,218344.0,31.0,3038.0,6938749816122
56,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,6934126261844
57,0.0,0.0,233.0,1398.0,236.0,6.0,1416.0,3.0,18.0,6934126261899
58,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6958104100222
59,0.0,0.0,174.0,2001.0,174.0,11.5,2001.0,0.0,0.0,6958104100321
60,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,6971938360150
61,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,6958104100680
62,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6958104101847
63,0.0,0.0,755.0,5285.0,762.0,7.0,5334.0,7.0,49.0,6934126262933
64,0.0,0.0,431.0,4741.0,435.0,11.0,4785.0,4.0,44.0,6958104100796
65,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6973141130087
66,0.0,0.0,43.0,516.0,47.0,12.0,564.0,4.0,48.0,6958104101861
67,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,6958104101007
68,0.0,0.0,33.0,1287.0,47.0,39.0,1833.0,14.0,546.0,6973141120088
69,0.0,0.0,2194.0,24134.0,2205.0,11.0,24255.0,11.0,121.0,6958104101021
70,0.0,0.0,98.0,6076.0,99.0,62.0,6138.0,1.0,62.0,6971938360006
