,importAmount,importPrice,postSaleAmount,postSalePrice,preSaleAmount,preSaleCost,preSalePrice,saleAmount,salePrice,serialNum
0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,1010
1,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6941871150002
2,0.00,0.00,72.00,10800.00,261.00,150.0,39150.00,189.00,28350.00,6916168616554
3,0.00,0.00,21.00,1512.00,22.00,72.0,1584.00,1.00,72.00,6916168617322
4,0.00,0.00,"2,197.00",215306.00,"2,228.00",98.0,218344.00,31.00,3038.00,6938749816122
5,0.00,0.00,37.00,2405.00,37.00,65.0,2405.00,0.00,0.00,6971114920017
6,0.00,0.00,"3,628.00",36280.00,"3,653.00",10.0,36530.00,25.00,250.00,6934230050129
7,0.00,0.00,"1,204.00",8668.80,"1,221.00",7.2,8791.20,17.00,122.40,6931299062605
8,0.00,0.00,"3,038.00",34937.00,"3,043.00",11.5,34994.50,5.00,57.50,6931299062681
9,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6958104100222
10,0.00,0.00,174.00,2001.00,174.00,11.5,2001.00,0.00,0.00,6958104100321
11,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6958104100680
12,0.00,0.00,431.00,4741.00,435.00,11.0,4785.00,4.00,44.00,6958104100796
13,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6958104101007
14,0.00,0.00,"2,194.00",24134.00,"2,205.00",11.0,24255.00,11.00,121.00,6958104101021
15,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6958104101847
16,0.00,0.00,43.00,516.00,47.00,12.0,564.00,4.00,48.00,6958104101861
17,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6973141130148
18,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6973141130179
19,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6934126261844
20,0.00,0.00,233.00,1398.00,236.00,6.0,1416.00,3.00,18.00,6934126261899
21,0.00,0.00,283.00,3113.00,285.00,11.0,3135.00,2.00,22.00,6934126262346
22,0.00,0.00,755.00,5285.00,762.00,7.0,5334.00,7.00,49.00,6934126262933
23,0.00,0.00,"2,493.00",62325.00,"2,516.00",25.0,62900.00,23.00,575.00,6971114920178
24,0.00,0.00,33.00,1287.00,47.00,39.0,1833.00,14.00,546.00,6973141120088
25,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6973141130070
26,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6973141130087
27,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6973141130094
28,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6973141130124
29,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6973141130155
30,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6973141130186
31,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6973141130193
32,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6973141130209
33,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6973141130216
34,0.00,0.00,98.00,6076.00,99.00,62.0,6138.00,1.00,62.00,6971938360006
35,0.00,0.00,30.00,1950.00,32.00,65.0,2080.00,2.00,130.00,6971938360044
36,0.00,0.00,21.00,2352.00,29.00,112.0,3248.00,8.00,896.00,6971938360075
37,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6971938360150
39,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007601755
40,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007604992
41,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007605746
42,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007606255
43,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007606354
44,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007607511
45,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007607566
46,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007607573
47,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007607580
48,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007607603
49,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007607627
50,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007607917
51,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007607924
52,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007608488
53,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007608563
54,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007608754
55,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007608792
56,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007609737
57,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007603445
58,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007607030
59,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007607382
60,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007607900
61,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6904007608815
63,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6970339116038
65,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6970339116274
66,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,7730901250947
67,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6921098302019
68,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6921098313381
69,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6932833530574
70,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6933154500048
71,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6936667800063
72,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6936667800087
73,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,9026
74,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,9504
75,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,5010029000023
76,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6958354000075
77,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,9556771000097
78,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,9556771000189
79,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4005292000277
80,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,9556771000875
81,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,9556771000929
82,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4870066001510
83,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4870066001541
84,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,5010029001808
85,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6903155001851
86,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6903155001950
87,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6903155002001
88,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6903155002049
89,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4005292002059
90,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4005292002523
91,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4005292002554
92,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4005292002585
93,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4870066002777
94,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4005292002998
95,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4005292003049
96,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4005292003162
97,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6903155003213
98,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6903155003268
99,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6903155003275
100,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4870066003569
101,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4870066003576
102,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6903155003817
103,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6903155003985
104,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4870066004221
105,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6903155004258
106,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,4870066004269
107,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6903155004777
108,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6903155004784
109,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,8000500005026
110,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,5010029005554
111,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6911988006448
112,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6911988006455
113,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6911988006462
114,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6917878006604
115,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6911988006790
116,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,6917878006918
