,importPrice,refundAmount,refundPrice,saleAmount,salePrice,saleTotal,serialNum
4,1.50,0,0.00,20.00,袋,38.00,6917790975323
5,8.50,0,0.00,11.00,盒,129.80,6936749501109
6,4.50,0,0.00,3.00,袋,17.10,6935616500016
7,1.00,0,0.00,28.00,袋,33.60,6915993302229
8,23.68,0,0.00,3.00,袋,96.00,6970373120695
9,13.32,0,0.00,2.00,袋,36.00,6970373125041
10,17.68,0,0.00,1.00,袋,26.00,6970373127564
11,9.00,0,0.00,8.00,盒,104.00,6902534238499
12,8.90,0,0.00,4.00,盒,52.00,6902534238338
13,4.50,0,0.00,6.00,瓶,35.40,6920319827799
14,18.00,0,0.00,2.00,瓶,43.60,6930305500049
15,11.50,0,0.00,5.00,袋,65.00,6942032700050
16,4.50,0,0.00,27.00,盒,175.50,6955381400700
17,4.50,0,0.00,12.00,盒,78.00,6955381400601
18,12.70,0,0.00,5.00,袋,79.50,6942032700098
19,12.70,0,0.00,2.00,袋,31.80,6942032700029
20,11.50,0,0.00,13.00,袋,169.00,6942032700067
21,3.50,0,0.00,26.00,袋,122.20,6920143500509
22,8.50,0,0.00,9.00,盒,106.20,6936749501116
23,9.00,0,0.00,7.00,瓶,81.20,6947769900766
24,8.80,0,0.00,6.00,瓶,64.80,6947769901008
25,5.80,0,0.00,4.00,瓶,34.00,6902007115180
26,10.80,0,0.00,6.00,袋,84.00,6933453800078
27,4.00,0,0.00,3.00,袋,17.70,6970470758319
28,5.30,0,0.00,13.00,盒,81.90,6922848608894
29,6.80,0,0.00,3.00,瓶,28.50,6930628801304
30,8.50,0,0.00,8.00,瓶,84.00,6921804700757
31,8.50,0,0.00,5.00,瓶,55.00,6921804700184
32,9.00,0,0.00,9.00,瓶,103.50,6922824000643
33,8.50,0,0.00,3.00,瓶,31.50,6918678310014
42,6.00,0,0.00,6.00,瓶,47.40,4893888001575
43,6.00,0,0.00,7.00,瓶,53.20,6922824055063
44,7.00,0,0.00,7.00,瓶,69.30,6922824055018
45,7.80,0,0.00,9.00,瓶,89.10,4893888001360
46,9.00,0,0.00,4.00,瓶,46.00,6922824001329
47,10.00,0,0.00,1.00,瓶,12.50,6918678423035
48,11.20,0,0.00,3.00,瓶,40.50,6909689901483
49,4.70,0,0.00,6.00,瓶,35.40,6924116170089
50,4.70,0,0.00,2.00,瓶,11.80,6924116188879
51,4.70,0,0.00,7.00,瓶,41.30,6924116170010
52,6.50,0,0.00,3.00,袋,26.40,6936072100154
53,24.00,0,0.00,5.00,袋,174.50,6936072100871
54,7.50,0,0.00,1.00,袋,9.50,6936072100369
55,9.00,0,0.00,1.00,瓶,12.00,6910160312377
56,8.50,0,0.00,3.00,袋,32.40,6939044610002
57,8.50,0,0.00,20.00,袋,190.00,6922130101485
58,13.00,0,0.00,10.00,瓶,165.00,6922130118483
59,5.50,0,0.00,1.00,瓶,6.80,6972559820108
60,2.20,0,0.00,10.00,袋,28.00,6944296500049
61,4.50,0,0.00,27.00,包,148.50,6906303004612
62,3.00,0,0.00,5.00,袋,20.00,6906303004469
63,3.80,0,0.00,10.00,袋,55.00,6906303004476
64,3.00,0,0.00,4.00,袋,15.60,6906303888908
65,3.00,0,0.00,5.00,袋,20.00,6906303004643
66,2.80,0,0.00,28.00,盒,109.20,6906303888885
67,11.00,0,0.00,6.00,瓶,99.00,6906303002434
68,2.20,0,0.00,5.00,袋,14.00,6907592001429
69,6.50,0,0.00,10.00,瓶,85.00,6928454900087
70,11.00,0,0.00,3.00,袋,45.60,6972011730051
71,12.50,0,0.00,1.00,袋,14.90,6935953399991
80,14.00,0,0.00,3.00,袋,57.00,6971013100237
81,14.00,0,0.00,2.00,袋,38.00,6970695160089
82,5.80,0,0.00,4.00,盒,31.20,6921204802204
83,1.30,0,0.00,9.00,袋,13.50,6920633801048
84,1.50,0,0.00,7.00,袋,12.60,6942046300017
85,1.40,0,0.00,4.00,袋,7.20,6942046300055
86,6.50,0,0.00,3.00,瓶,28.50,6922165900787
87,8.00,0,0.00,1.00,瓶,10.90,6922165900770
