,importPrice,refundAmount,refundPrice,saleAmount,saleTotal,serialNum,unit
1,150.00,0.00,0.00,35.00,"5,596.50",6916168616554,桶
2,98.00,0.00,0.00,49.00,"5,336.10",6938749816122,桶
3,65.00,0.00,0.00,2.00,150.00,6971114920017,瓶
5,10.00,0.00,0.00,37.00,514.30,6934230050129,瓶
6,7.20,0.00,0.00,20.00,170.00,6931299062605,瓶
7,11.50,0.00,0.00,8.00,119.20,6931299062681,瓶
8,11.50,0.00,0.00,2.00,27.60,6958104100321,瓶
9,11.00,0.00,0.00,9.00,112.50,6958104100796,瓶
10,11.00,0.00,0.00,14.00,208.60,6958104101021,瓶
11,12.00,0.00,0.00,2.00,33.60,6958104101861,瓶
12,6.00,0.00,0.00,18.00,135.00,6934126261899,瓶
13,11.00,0.00,0.00,7.00,118.30,6934126262346,瓶
14,7.00,0.00,0.00,4.00,39.20,6934126262933,瓶
15,25.00,0.00,0.00,25.00,822.50,6971114920178,瓶
17,62.00,0.00,0.00,2.00,159.80,6971938360006,袋
18,112.00,0.00,0.00,3.00,419.70,6971938360075,袋
21,31.00,0.00,0.00,35.00,"1,295.00",6932816000599,袋
22,52.00,0.00,0.00,27.00,"1,728.00",6932816000742,袋
25,26.52,0.00,0.00,1.00,32.80,4002652000717,包
26,26.52,0.00,0.00,1.00,32.80,4002652000748,包
27,8.80,0.00,0.00,4.00,46.00,9556121001859,袋
28,34.00,0.00,0.00,3.00,144.00,8002650002177,袋
29,11.00,0.00,0.00,3.00,49.50,5290074002221,瓶
30,9.50,0.00,0.00,3.00,36.00,9556121003884,袋
31,9.50,0.00,0.00,1.00,12.00,9556121003976,袋
32,40.00,0.00,0.00,1.00,54.00,9556854006039,袋
33,10.00,0.00,0.00,7.00,94.50,4713507008337,盒
34,10.00,0.00,0.00,5.00,67.50,4713507008344,盒
35,12.80,0.00,0.00,2.00,39.60,8008620009320,盒
36,12.80,0.00,0.00,4.00,79.20,8008620009337,袋
37,13.50,0.00,0.00,2.00,35.00,7614500010310,盒
38,13.50,0.00,0.00,1.00,17.50,7614500010617,盒
39,11.00,0.00,0.00,18.00,262.80,4894375010995,袋
40,11.00,0.00,0.00,12.00,175.20,4894375011008,袋
41,8.30,0.00,0.00,8.00,84.00,4713507011528,包
42,8.30,0.00,0.00,6.00,63.00,4713507011535,包
43,8.30,0.00,0.00,6.00,63.00,4713507019128,包
44,8.30,0.00,0.00,2.00,21.00,4713507019135,包
45,14.50,0.00,0.00,4.00,88.00,4000417022004,盒
46,14.50,0.00,0.00,3.00,54.00,9556121022496,袋
47,13.50,0.00,0.00,2.00,37.60,4894375022530,袋
48,13.50,0.00,0.00,4.00,75.20,4894375022547,袋
