,serialNum,sumAmount,sumTotal
4,6971938360075,2,279.80
5,6971938360044,10,799.00
7,6934126261899,27,202.50
8,6934126262346,4,67.60
9,6958104100321,6,90.00
10,6931299062681,34,506.60
11,6934126261844,14,123.20
12,6931299062605,36,306.00
13,6934126262933,4,39.20
14,6958104101007,7,47.60
15,6958104101021,9,134.10
16,6971114920178,46,1513.40
17,6973141130179,8,90.40
18,6934230050129,33,458.70
20,6973141120088,50,2450.00
22,6971114920017,8,600.00
23,6941871150002,2,199.80
24,6916168620773,5,499.50
26,6916168616554,369,54981.00
28,6938749816122,115,11488.50
31,270091402684225509,23.194,1948.60
32,270091601304104303,89.196,7135.10
41,270091701300109200,60.896,5115.30
42,270091800424035607,33.744,2834.00
43,270091201256025109,38.36,767.60
44,270090101628048808,39.448,1183.30
45,270091101268045600,6.34,228.00
46,270090402268081607,14.218,511.50
47,270090701836095504,102.062,5307.50
48,270091002842085305,14.21,426.50
49,270090201206036200,74.53,2236.10
50,270090301546049509,47.562,1521.80
51,270090602480114101,34.686,1596.30
54,6970339116557,12,234.00
55,6923644232658,17,1105.00
56,6923644297251,22,1496.00
57,6923644299804,6,408.00
58,6923644266318,89,5251.00
59,6923644295844,21,1596.00
61,6970339117554,5,72.50
62,6970339117523,16,232.00
63,6970339116373,148,592.00
64,6970339116151,25,1625.00
65,6970339117646,6,45.00
66,6970339117998,2,25.80
67,6970339116915,6,63.00
68,6970339117097,36,162.00
69,6970339117653,13,97.50
78,6970339117844,68,299.20
79,6970339116137,44,198.00
80,6970339118186,18,250.20
81,6970339116144,108,486.00
82,6970339116120,160,720.00
83,6970339117639,7,52.50
84,6970339117233,102,408.00
85,6970339116588,39,269.10
86,6970339117677,24,624.00
87,6970618570070,32,304.00
88,6970618570414,8,240.00
89,6970618570056,1,38.00
90,6970618570209,3,35.40
91,6970618570599,58,551.00
92,6970618570001,17,212.50
93,6970618570384,11,118.80
94,6927797622700,60,330.00
95,6927797623530,72,396.00
96,6927797622304,24,156.00
97,6927797622724,66,363.00
98,6927797623370,72,396.00
101,6926213559019,6,46.20
102,6926213560831,15,195.00
103,6926213558302,3,26.40
104,6926213558272,3,26.40
105,6920267909844,1,14.00
106,6920267907420,1,16.00
115,6902265610014,25,160.00
116,6902265210504,2,21.80
117,6902265440291,2,24.00
118,6902265107057,3,31.50
119,6902265470236,18,117.00
120,6902265240501,2,17.00
121,6902265360018,26,205.40
122,6902265114369,4,56.80
123,6902265114321,19,209.00
124,6902265114888,18,178.20
125,6902265150015,27,310.50
126,6902265170501,17,144.50
127,6902265115496,12,81.60
128,6902265111719,4,42.00
129,6926198012233,151,271.80
130,6921956645586,5,62.50
131,6921956645593,1,12.50
132,6972786771389,13,149.50
133,6972786771242,19,218.50
134,6972786771396,6,83.40
135,6972786775387,18,241.20
136,6972786773505,5,160.00
137,6925316204246,4,57.60
138,6972786771433,4,100.00
139,6972786772775,2,52.00
140,6925316299556,5,42.50
141,6907661938854,1,10.80
142,6971851560026,10,189.00
143,6902131130011,11,132.00
152,6902131130882,30,696.00
153,6902131110020,65,1072.50
154,6928312911668,16,187.20
155,6928312900525,19,710.60
156,6928312961090,7,134.40
157,6928312918001,2,20.40
158,6928312900709,7,134.40
159,6928312984228,3,63.00
160,6928312900204,19,332.50
161,6907592007056,8,63.20
162,6907592002013,20,256.00
163,6907592001948,23,172.50
164,6907592000026,8,70.40
165,6907592007414,5,52.50
166,6907592001245,15,105.00
167,6907592000033,5,44.00
168,6907592007025,12,94.80
169,6924115086107,7,97.30
170,6928710609549,3,114.00
171,6928710609525,4,60.00
172,6928710609600,10,280.00
173,6928710609563,3,78.00
174,6928710609518,3,45.00
175,6928710609594,12,384.00
176,6928710609587,11,143.00
177,6928710609570,3,117.00
178,6974919370124,7,56.00
179,6928710605176,12,96.00
180,6974919370032,2,166.00
189,6974919370025,13,439.40
190,6928710609761,13,110.50
191,6928710609778,16,251.20
192,6928710609532,3,189.00
193,6974919371343,8,44.00
194,6928710609556,2,26.00
195,6971947498080,3,59.70
196,6942806982972,2,36.00
197,6942806983511,2,30.00
198,6942806983429,10,170.00
199,6942806981999,8,108.00
201,6926213557985,3,52.80
202,6924773600257,22,550.00
203,6924773600165,13,325.00
204,6928710602212,3,187.50
205,6928710601611,7,315.00
206,6928710602304,8,463.20
207,6974919371374,5,38.00
208,6974919371367,7,54.60
209,6928710601758,3,159.00
210,6928710600034,15,390.00
211,6928710660076,1,51.00
212,6928710601741,1,73.00
213,6928710609075,3,117.00
214,6928710600164,18,160.20
215,6928710600485,27,769.50
216,6928710609235,2,25.80
217,6928710600980,2,37.00
226,6928710600089,17,404.60
227,6928710660069,4,259.60
228,6928710660090,5,405.00
229,6928710600300,13,244.40
230,6928710609204,10,665.00
231,6928710660052,12,188.40
232,6974919371923,11,319.00
233,6928710600065,19,471.20
234,6928710601222,4,52.00
235,6928710601765,18,1438.20
236,6928710601772,14,1118.60
237,6928710600096,20,696.00
238,6974919372210,17,144.50
239,6928710609228,2,39.80
240,6928710601703,1,73.00
241,6928710600362,28,1386.00
242,6928710660113,1,28.00
243,6974919370476,8,330.40
244,6974919370087,10,76.00
245,6974919370254,10,213.00
246,6928710601215,13,97.50
247,6928710600058,5,274.00
248,6928710601512,20,1350.00
249,6928710601178,12,234.00
250,6928710600195,7,420.00
251,6928710600072,10,230.00
252,6928710602052,4,78.00
253,6974919372234,1,4.80
254,6928710609082,10,490.00
264,6928710600331,25,337.50
265,6928710660175,4,50.00
266,6928710600317,7,72.10
267,6928710660182,3,40.50
268,6928710660045,4,54.00
269,6928710601284,6,45.00
270,6928710600621,16,376.00
271,6928710600805,6,51.00
272,6928710600560,21,543.90
273,6928710600614,34,884.00
274,6928710601147,14,221.20
275,6928710600584,14,228.20
276,6928710600546,11,179.30
277,6928710601734,5,67.50
278,6928710600577,17,387.60
279,6928710602151,3,104.40
280,6928710601352,8,120.00
281,6928710600553,40,900.00
282,6928710600591,3,44.10
283,6928710660496,1,24.00
284,6928710600713,20,200.00
285,6928710601406,12,96.00
288,6917790975323,144,273.60
289,6935616500016,5,28.50
290,6915993301895,8,36.00
291,6915993303363,55,82.50
300,6915993302229,35,52.50
301,6915993303028,52,78.00
302,6915993304650,10,146.00
303,6925714800569,6,35.40
304,6911567886096,8,51.20
305,6902534238338,15,195.00
