,importPrice,serialNum,sumAmount,sumTotal,supplier,unit
1,143.00,6916168616554,369.00,"54,981.00",山东鲁花集团商贸有限公司西安分公司,桶
3,10.00,6934230050129,33.00,458.70,山东鲁花集团商贸有限公司西安分公司,瓶
4,7.00,6931299062605,36.00,306.00,山东鲁花集团商贸有限公司西安分公司,瓶
5,11.50,6931299062681,34.00,506.60,山东鲁花集团商贸有限公司西安分公司,瓶
6,12.00,6958104100321,6.00,90.00,山东鲁花集团商贸有限公司西安分公司,瓶
7,4.80,6958104101007,7.00,47.60,山东鲁花集团商贸有限公司西安分公司,瓶
8,12.00,6958104101021,9.00,134.10,山东鲁花集团商贸有限公司西安分公司,瓶
9,9.00,6973141130179,8.00,90.40,山东鲁花集团商贸有限公司西安分公司,袋
10,7.00,6934126261844,14.00,123.20,山东鲁花集团商贸有限公司西安分公司,瓶
11,6.00,6934126261899,27.00,202.50,山东鲁花集团商贸有限公司西安分公司,瓶
12,11.00,6934126262346,4.00,67.60,山东鲁花集团商贸有限公司西安分公司,瓶
13,7.00,6934126262933,4.00,39.20,山东鲁花集团商贸有限公司西安分公司,瓶
14,25.00,6971114920178,46.00,"1,513.40",山东鲁花集团商贸有限公司西安分公司,瓶
16,88.00,6941871150002,2.00,199.80,山东鲁花集团商贸有限公司西安分公司,桶
17,89.00,6916168620773,5.00,499.50,山东鲁花集团商贸有限公司西安分公司,桶
18,65.00,6971114920017,8.00,600.00,山东鲁花集团商贸有限公司西安分公司,瓶
20,39.50,6973141120088,50.00,"2,450.00",山东鲁花集团商贸有限公司西安分公司,袋
22,65.00,6971938360044,10.00,799.00,山东鲁花集团商贸有限公司西安分公司,袋
23,112.00,6971938360075,2.00,279.80,山东鲁花集团商贸有限公司西安分公司,袋
25,87.00,6938749816122,115.00,"11,488.50",山东鲁花集团商贸有限公司西安分公司,桶
28,10.50,8003477500013,3.00,40.50,西安菲达食品商贸有限公司,袋
29,10.50,8003477500037,1.00,13.50,西安菲达食品商贸有限公司,袋
30,17.00,4000417932006,14.00,378.00,西安菲达食品商贸有限公司,盒
32,36.00,4897031350015,1.00,50.00,西安菲达食品商贸有限公司,袋
33,17.00,4000417933003,3.00,81.00,西安菲达食品商贸有限公司,盒
102,0.00,6933190910566,61.00,244.00,西安市碑林区祥坤蔬菜店,盒
103,0.00,6933190900031,60.00,180.00,西安市碑林区祥坤蔬菜店,盒
104,0.00,6933190900048,50.00,225.00,西安市碑林区祥坤蔬菜店,盒
105,0.00,6933190900062,18.00,72.00,西安市碑林区祥坤蔬菜店,盒
106,0.00,6933190900116,44.00,176.00,西安市碑林区祥坤蔬菜店,盒
107,0.00,6933190900147,55.00,247.50,西安市碑林区祥坤蔬菜店,盒
108,0.00,6933190900185,54.00,216.00,西安市碑林区祥坤蔬菜店,盒
109,0.00,6933190900208,45.00,157.50,西安市碑林区祥坤蔬菜店,盒
152,22.80,6933276212058,94.00,"2,538.00",西安傲涵贸易有限公司,盒
153,21.00,6933276212119,123.00,"3,075.00",西安傲涵贸易有限公司,盒
156,16.00,6954113701504,284.00,"5,538.00",西安秦南农副产品贸易有限公司,盒
159,26.50,6905014000081,2.00,67.00,西安丰泰永泽商贸有限公司,袋
160,25.00,6905014000890,9.00,252.00,西安丰泰永泽商贸有限公司,桶
161,19.00,8000380005918,2.00,48.00,西安丰泰永泽商贸有限公司,袋
162,19.00,8000380005963,6.00,144.00,西安丰泰永泽商贸有限公司,袋
163,24.50,6974856040081,22.00,660.00,西安丰泰永泽商贸有限公司,袋
164,24.50,6974856040098,22.00,660.00,西安丰泰永泽商贸有限公司,袋
165,14.00,6970631040109,10.00,179.00,西安丰泰永泽商贸有限公司,盒
166,14.00,6970631040123,16.00,286.40,西安丰泰永泽商贸有限公司,袋
167,14.00,6970631040130,5.00,89.50,西安丰泰永泽商贸有限公司,袋
168,5.80,4897082059974,7.00,52.50,西安丰泰永泽商贸有限公司,盒
169,5.80,4897082059998,10.00,75.00,西安丰泰永泽商贸有限公司,盒
170,10.80,4897076061167,2.00,27.80,西安丰泰永泽商贸有限公司,袋
171,10.80,4897076061181,9.00,125.10,西安丰泰永泽商贸有限公司,袋
172,11.00,4897076062379,2.00,27.60,西安丰泰永泽商贸有限公司,袋
173,11.00,4897076062393,4.00,55.20,西安丰泰永泽商贸有限公司,袋
174,78.80,6974432070853,4.00,394.00,西安丰泰永泽商贸有限公司,袋
175,18.33,6974432070938,1.00,23.50,西安丰泰永泽商贸有限公司,袋
176,54.91,6974432070952,2.00,139.00,西安丰泰永泽商贸有限公司,袋
177,21.50,6973768111179,8.00,222.40,西安丰泰永泽商贸有限公司,袋
178,25.00,4979365122718,2.00,59.60,西安丰泰永泽商贸有限公司,盒
179,25.00,4979365122725,6.00,178.80,西安丰泰永泽商贸有限公司,盒
180,25.00,4979365122732,4.00,119.20,西安丰泰永泽商贸有限公司,盒
181,46.00,6971062128855,4.00,196.00,西安丰泰永泽商贸有限公司,盒
182,33.00,6971062129289,8.00,310.40,西安丰泰永泽商贸有限公司,袋
183,33.00,6971062129296,2.00,77.60,西安丰泰永泽商贸有限公司,袋
184,5.30,6922621132783,16.00,104.00,西安丰泰永泽商贸有限公司,包
185,10.00,6971992140019,2.00,25.80,西安丰泰永泽商贸有限公司,瓶
186,19.00,8000380140565,1.00,24.00,西安丰泰永泽商贸有限公司,袋
187,13.00,6975287200020,23.00,386.40,西安丰泰永泽商贸有限公司,袋
188,46.00,8809022200885,14.00,819.00,西安丰泰永泽商贸有限公司,袋
189,18.57,6926507201143,1.00,23.50,西安丰泰永泽商贸有限公司,袋
190,7.50,6926507201327,5.00,49.50,西安丰泰永泽商贸有限公司,袋
191,37.50,6926507201594,3.00,144.00,西安丰泰永泽商贸有限公司,袋
192,62.00,6926507201884,3.00,234.00,西安丰泰永泽商贸有限公司,袋
193,28.00,6926507202300,12.00,420.00,西安丰泰永泽商贸有限公司,袋
194,22.00,6926507202379,3.00,82.50,西安丰泰永泽商贸有限公司,袋
195,47.00,6926507202423,4.00,232.00,西安丰泰永泽商贸有限公司,袋
196,12.00,6926507202430,13.00,202.80,西安丰泰永泽商贸有限公司,袋
197,23.00,6926507202591,10.00,290.00,西安丰泰永泽商贸有限公司,袋
198,4.50,6926507202836,35.00,189.00,西安丰泰永泽商贸有限公司,袋
199,33.00,6926507203116,1.00,42.00,西安丰泰永泽商贸有限公司,袋
200,6.50,6971791203557,1.00,9.00,西安丰泰永泽商贸有限公司,盒
201,6.50,6971791203571,2.00,18.00,西安丰泰永泽商贸有限公司,盒
202,6.50,6971791203588,6.00,54.00,西安丰泰永泽商贸有限公司,盒
203,6.50,6971791203595,3.00,27.00,西安丰泰永泽商贸有限公司,盒
204,9.00,6971791203618,26.00,312.00,西安丰泰永泽商贸有限公司,盒
205,23.00,6926507204182,3.00,89.70,西安丰泰永泽商贸有限公司,袋
206,23.00,6926507204342,1.00,29.90,西安丰泰永泽商贸有限公司,袋
207,47.00,6926507204991,2.00,117.60,西安丰泰永泽商贸有限公司,袋
208,10.50,6974176260176,7.00,94.50,西安丰泰永泽商贸有限公司,袋
209,10.80,6974176260183,10.00,145.00,西安丰泰永泽商贸有限公司,袋
210,14.00,6974176260367,10.00,180.00,西安丰泰永泽商贸有限公司,袋
211,10.50,6974176260541,4.00,54.00,西安丰泰永泽商贸有限公司,袋
212,17.50,6926507299881,13.00,286.00,西安丰泰永泽商贸有限公司,袋
213,15.50,6976488300250,3.00,59.40,西安丰泰永泽商贸有限公司,袋
214,15.50,6976488300267,10.00,198.00,西安丰泰永泽商贸有限公司,袋
215,6.50,6971426300477,35.00,290.50,西安丰泰永泽商贸有限公司,袋
216,6.50,6971426300491,8.00,66.40,西安丰泰永泽商贸有限公司,袋
217,22.50,9588552302854,12.00,348.00,西安丰泰永泽商贸有限公司,盒
218,22.50,9588552302861,3.00,87.00,西安丰泰永泽商贸有限公司,盒
219,11.50,8996001303481,4.00,60.00,西安丰泰永泽商贸有限公司,盒
220,19.80,9588552304506,18.00,464.40,西安丰泰永泽商贸有限公司,袋
221,19.00,9588552305312,7.00,174.30,西安丰泰永泽商贸有限公司,袋
222,16.00,9588552305725,5.00,100.00,西安丰泰永泽商贸有限公司,盒
223,13.00,6952675311315,11.00,178.20,西安丰泰永泽商贸有限公司,袋
224,19.00,9588552312259,3.00,73.50,西安丰泰永泽商贸有限公司,袋
225,19.00,9588552312266,3.00,73.50,西安丰泰永泽商贸有限公司,袋
226,12.00,9588552314123,5.00,79.50,西安丰泰永泽商贸有限公司,袋
227,12.00,9588552314338,3.00,47.70,西安丰泰永泽商贸有限公司,袋
228,13.00,6952675319915,16.00,259.20,西安丰泰永泽商贸有限公司,袋
229,64.00,6970480320292,23.00,"1,817.00",西安丰泰永泽商贸有限公司,盒
230,22.00,9588552320360,1.00,28.20,西安丰泰永泽商贸有限公司,袋
231,26.00,6952675321123,36.00,"1,144.80",西安丰泰永泽商贸有限公司,袋
232,10.00,9588552322692,11.00,148.50,西安丰泰永泽商贸有限公司,袋
233,10.00,9588552322708,15.00,202.50,西安丰泰永泽商贸有限公司,袋
234,12.00,9588552322821,9.00,144.00,西安丰泰永泽商贸有限公司,袋
235,14.50,9588552329103,2.00,36.00,西安丰泰永泽商贸有限公司,袋
236,19.00,6952675329921,35.00,822.50,西安丰泰永泽商贸有限公司,袋
237,12.80,6952675329938,24.00,396.00,西安丰泰永泽商贸有限公司,袋
238,12.00,9588552332912,15.00,247.50,西安丰泰永泽商贸有限公司,盒
239,10.50,9588552333896,2.00,29.00,西安丰泰永泽商贸有限公司,盒
240,10.50,9588552333902,2.00,29.00,西安丰泰永泽商贸有限公司,盒
241,11.00,9588552334244,2.00,30.00,西安丰泰永泽商贸有限公司,盒
242,11.00,9588552334251,2.00,30.00,西安丰泰永泽商贸有限公司,盒
243,11.00,9588552334268,5.00,75.00,西安丰泰永泽商贸有限公司,盒
244,15.21,9588552334954,3.00,58.50,西安丰泰永泽商贸有限公司,袋
245,15.21,9588552334961,1.00,19.50,西安丰泰永泽商贸有限公司,袋
246,15.21,9588552334978,2.00,39.00,西安丰泰永泽商贸有限公司,袋
247,14.04,9588552335128,25.00,450.00,西安丰泰永泽商贸有限公司,袋
248,14.04,9588552335135,24.00,432.00,西安丰泰永泽商贸有限公司,袋
249,9.36,9588552335555,7.00,84.00,西安丰泰永泽商贸有限公司,袋
250,11.31,9588552337450,24.00,348.00,西安丰泰永泽商贸有限公司,袋
251,11.31,9588552337474,2.00,29.00,西安丰泰永泽商贸有限公司,袋
252,31.00,9588552337498,13.00,513.50,西安丰泰永泽商贸有限公司,袋
253,14.04,9588552337528,32.00,576.00,西安丰泰永泽商贸有限公司,袋
254,14.04,9588552337542,2.00,36.00,西安丰泰永泽商贸有限公司,袋
255,10.50,6952675337735,23.00,303.60,西安丰泰永泽商贸有限公司,袋
256,14.63,9588552338389,3.00,57.00,西安丰泰永泽商贸有限公司,盒
257,20.00,6975035340015,1.00,25.00,西安丰泰永泽商贸有限公司,袋
258,14.00,6952675340735,13.00,234.00,西安丰泰永泽商贸有限公司,袋
259,28.00,4897031352385,14.00,511.00,西安丰泰永泽商贸有限公司,盒
260,29.00,4897031352422,10.00,365.00,西安丰泰永泽商贸有限公司,盒
261,28.00,4897031352446,9.00,328.50,西安丰泰永泽商贸有限公司,盒
262,29.00,4897031352477,2.00,73.00,西安丰泰永泽商贸有限公司,盒
263,22.00,4897031353597,6.00,168.00,西安丰泰永泽商贸有限公司,盒
264,22.00,4897031353603,5.00,140.00,西安丰泰永泽商贸有限公司,盒
265,22.00,4897031353610,1.00,28.00,西安丰泰永泽商贸有限公司,盒
266,15.00,8996001356500,4.00,79.60,西安丰泰永泽商贸有限公司,盒
267,11.50,6972508380417,4.00,60.00,西安丰泰永泽商贸有限公司,袋
268,11.50,6972508380615,1.00,15.00,西安丰泰永泽商贸有限公司,袋
269,11.50,6972508380738,2.00,30.00,西安丰泰永泽商贸有限公司,袋
270,12.00,6952675390211,36.00,540.00,西安丰泰永泽商贸有限公司,袋
271,13.60,4710484398970,1.00,17.00,西安丰泰永泽商贸有限公司,袋
272,21.73,4014400400007,2.00,55.00,西安丰泰永泽商贸有限公司,袋
273,56.00,6948042400027,21.00,"1,467.90",西安丰泰永泽商贸有限公司,袋
274,67.00,6948042400034,15.00,"1,260.00",西安丰泰永泽商贸有限公司,袋
275,9.40,6935036401306,13.00,169.00,西安丰泰永泽商贸有限公司,盒
276,17.50,6935036401580,10.00,240.00,西安丰泰永泽商贸有限公司,袋
277,18.80,6935036401597,6.00,153.00,西安丰泰永泽商贸有限公司,袋
278,16.50,6935036401603,7.00,157.50,西安丰泰永泽商贸有限公司,袋
279,10.20,6935036401832,6.00,81.00,西安丰泰永泽商贸有限公司,盒
280,10.20,6935036401849,5.00,67.50,西安丰泰永泽商贸有限公司,盒
281,67.00,6948042403929,16.00,"1,344.00",西安丰泰永泽商贸有限公司,袋
282,9.00,4897045427772,4.00,48.00,西安丰泰永泽商贸有限公司,袋
283,9.00,4897045427802,5.00,60.00,西安丰泰永泽商贸有限公司,袋
284,110.00,4014400470055,4.00,552.00,西安丰泰永泽商贸有限公司,袋
285,10.50,6971827490623,2.00,27.00,西安丰泰永泽商贸有限公司,袋
286,39.50,6941174497026,3.00,147.00,西安丰泰永泽商贸有限公司,袋
287,39.50,6941174497033,4.00,196.00,西安丰泰永泽商贸有限公司,袋
288,8.80,6941174497149,12.00,129.60,西安丰泰永泽商贸有限公司,袋
289,8.80,6941174497156,8.00,86.40,西安丰泰永泽商贸有限公司,袋
290,12.00,6941174499617,6.00,93.00,西安丰泰永泽商贸有限公司,袋
291,12.00,6941174499631,6.00,93.00,西安丰泰永泽商贸有限公司,袋
292,14.50,653314503486,8.00,142.40,西安丰泰永泽商贸有限公司,袋
293,14.50,653314503493,9.00,160.20,西安丰泰永泽商贸有限公司,袋
294,6.00,6972535520886,28.00,218.40,西安丰泰永泽商贸有限公司,袋
295,6.00,6972535520893,22.00,171.60,西安丰泰永泽商贸有限公司,袋
296,15.00,6972933561467,13.00,253.50,西安丰泰永泽商贸有限公司,袋
