,countingAmount,diffAmount,diffPrice,serialNum,stockAmount
3,44,0,44.0,6925723000028,44
4,7,0,7.0,6907592000033,7
5,42,0,42.0,6907592000040,42
6,25,0,25.0,6925723000080,25
7,12,0,12.0,8854761000111,12
8,18,0,18.0,8411342000115,18
9,19,0,19.0,8411342000177,19
10,48,0,48.0,8002270000225,48
11,12,0,12.0,8002650000296,12
12,55,0,55.0,6905014000401,55
13,82,0,82.0,6905014000548,82
14,650,0,650.0,6932816000599,650
15,5,0,5.0,6957666000667,5
16,21,0,21.0,4002652000717,21
17,666,0,666.0,6932816000742,666
18,34,0,34.0,4002652000748,34
19,14,0,14.0,6924546000802,14
20,23,0,23.0,8002650000807,23
21,9,0,9.0,6924546000819,9
22,1,0,1.0,6924546000826,1
23,23,0,23.0,6905014000876,23
24,25,0,25.0,6905014000890,25
25,9,0,9.0,8002650000906,9
26,258,0,258.0,6924750000995,258
27,7,0,7.0,6950327001041,7
28,2,0,2.0,6950327001058,2
29,12,0,12.0,6907592001245,12
30,5,0,5.0,6958770001403,5
31,9,0,9.0,6907592001429,9
32,45,0,45.0,6958770001816,45
41,1,0,1.0,9556121001859,1
42,11,0,11.0,6958770001878,11
43,17,0,17.0,6958770001922,17
44,77,0,77.0,6958770001939,77
45,66,0,66.0,6958770001946,66
46,38,0,38.0,6907592001948,38
47,140,0,140.0,6958770002028,140
48,88,0,88.0,6941541002068,88
49,52,0,52.0,6941541002099,52
50,85,0,85.0,6941541002129,85
51,8,0,8.0,8002650002177,8
52,9,0,9.0,5290074002245,9
53,6,0,6.0,7622200002290,6
54,32,0,32.0,6906303002434,32
55,2,0,2.0,5290074002450,2
56,36,0,36.0,6941541002655,36
57,3,0,3.0,4100290002756,3
58,20,0,20.0,9556121003884,20
59,9,0,9.0,9556121003976,9
60,1,0,1.0,6902538004045,1
61,47,0,47.0,6902538004052,47
62,33,0,33.0,6906303004469,33
63,116,0,116.0,6906303004476,116
64,42,0,42.0,6906303004612,42
65,83,0,83.0,6906303004643,83
66,8,0,8.0,6902538005141,8
67,74,0,74.0,6941541005175,74
68,3,0,3.0,6941541005236,3
69,20,0,20.0,9556854006008,20
70,3,0,3.0,9556854006039,3
79,8,0,8.0,6941541006349,8
80,39,0,39.0,8855044006684,39
81,28,0,28.0,7622400006753,28
82,70,0,70.0,6907592007056,70
83,15,0,15.0,4100290007072,15
84,58,0,58.0,4100290007089,58
85,2,0,2.0,4100290007096,2
86,15,0,15.0,8934683007235,15
87,52,0,52.0,6941044008031,52
88,24,0,24.0,8853969008035,24
89,8,0,8.0,8002650008087,8
90,5,0,5.0,4713507008337,5
91,28,0,28.0,6902538008425,28
92,9,0,9.0,8008620009320,9
93,4,0,4.0,8008620009337,4
94,9,0,9.0,9556121009688,9
95,1,0,1.0,6911569009943,1
96,36,0,36.0,3179730010041,36
97,130,0,130.0,8854761010110,130
98,111,0,111.0,7614500010310,111
99,124,0,124.0,3179730010560,124
100,36,0,36.0,7614500010617,36
101,6,0,6.0,4894375010995,6
102,15,0,15.0,4894375011008,15
103,1,0,1.0,6911569011229,1
104,1,0,1.0,4713507011528,1
105,1,0,1.0,4713507011535,1
106,51,0,51.0,6942022012149,51
107,88,0,88.0,6926198012233,88
108,16,0,16.0,8886001012295,16
117,106,0,106.0,6942022012316,106
118,16,0,16.0,5410291012753,16
119,31,0,31.0,5410291012760,31
120,8,0,8.0,7622400013935,8
121,4,0,4.0,6911569014145,4
122,4,0,4.0,6903473015103,4
123,54,0,54.0,8002270018459,54
124,641,0,641.0,6956064018670,641
125,2,0,2.0,6956064018861,2
126,3,0,3.0,4713507019128,3
127,7,0,7.0,4713507019135,7
128,1,0,1.0,4000417021007,1
129,4,0,4.0,4000417022004,4
130,2,0,2.0,9556121022496,2
131,10,0,10.0,4894375022530,10
132,8,0,8.0,4894375022547,8
133,8,0,8.0,4713507023538,8
134,20,0,20.0,9556121024025,20
135,4,0,4.0,9556121027149,4
136,4,0,4.0,9556121027156,4
137,6,0,6.0,9556121027163,6
138,6,0,6.0,6918598028105,6
139,197,0,197.0,6917878030623,197
140,480,0,480.0,6917878036847,480
141,21,0,21.0,4710199037010,21
142,13,0,13.0,8410376039375,13
143,2,0,2.0,6974856040098,2
144,35,0,35.0,6970631040109,35
145,10,0,10.0,6970631040123,10
146,17,0,17.0,6901845040685,17
155,55,0,55.0,6901845040692,55
156,1,0,1.0,6901754040936,1
157,37,0,37.0,6901845040951,37
158,12,0,12.0,6901845040968,12
159,582,0,582.0,6973669041100,582
160,14,0,14.0,6901845041248,14
161,40,0,40.0,6901845041712,40
162,300,0,300.0,6973669043081,300
163,24,0,24.0,5711953044366,24
164,5,0,5.0,8410376044775,5
165,15,0,15.0,6974622050009,15
166,2,0,2.0,6971881050054,2
167,243,0,243.0,80050278,243
168,93,0,93.0,6974622051075,93
169,370,0,370.0,6974622051433,370
170,10,0,10.0,8410376052893,10
171,48,0,48.0,6917878054766,48
172,74,0,74.0,6917878054780,74
173,450,0,450.0,6928710601017,450
174,45,0,45.0,8854761060115,45
175,75,0,75.0,4904910060320,75
176,66,0,66.0,4904910060344,66
177,6,0,6.0,4897076061167,6
178,3,0,3.0,4897076061181,3
179,5,0,5.0,4897076062393,5
180,769,0,769.0,6931299062605,769
181,2,0,2.0,4897076062850,2
182,3,0,3.0,7612100063835,3
183,5,0,5.0,6920238066019,5
184,2,0,2.0,8000500067567,2
193,2,0,2.0,1008862021070012,2
194,51,0,51.0,8854761070114,51
195,6,0,6.0,8008620080244,6
196,9,0,9.0,4710199080566,9
197,17,0,17.0,4710199080597,17
198,10,0,10.0,6905014081288,10
199,11,0,11.0,4710199085509,11
200,2,0,2.0,4710199085707,2
201,33,0,33.0,6924115086107,33
202,18,0,18.0,4710199086506,18
203,9,0,9.0,4710199087701,9
204,15,0,15.0,6970866090177,15
205,11,0,11.0,6970866090580,11
206,9,0,9.0,6970866090597,9
207,1,0,1.0,029173092957,1
208,1,0,1.0,029173092964,1
209,7,0,7.0,029173093145,7
