,countingAmount,diffAmount,diffPrice,serialNum,stockAmount
1,0,0,0.0,1010,0
2,0,0,0.0,6941871150002,0
3,6,0,6.0,6916168616554,6
4,1,0,1.0,6916168617322,1
5,951,-1,952.0,6938749816122,952
6,7,0,7.0,6971114920017,7
7,3003,-1,3004.0,6934230050129,3004
8,769,0,769.0,6931299062605,769
9,2831,-2,2833.0,6931299062681,2833
10,0,0,0.0,6958104100222,0
11,139,0,139.0,6958104100321,139
12,0,0,0.0,6958104100680,0
13,332,0,332.0,6958104100796,332
14,0,0,0.0,6958104101007,0
15,1998,0,1998.0,6958104101021,1998
16,0,0,0.0,6958104101847,0
17,4,0,4.0,6958104101861,4
18,0,0,0.0,6973141130148,0
19,0,0,0.0,6973141130179,0
20,0,0,0.0,6934126261844,0
21,92,0,92.0,6934126261899,92
22,230,0,230.0,6934126262346,230
23,645,0,645.0,6934126262933,645
24,2033,0,2033.0,6971114920178,2033
25,0,-1,1.0,6973141120088,1
26,0,0,0.0,6973141130070,0
27,0,0,0.0,6973141130087,0
28,0,0,0.0,6973141130094,0
29,0,0,0.0,6973141130124,0
30,0,0,0.0,6973141130155,0
31,0,0,0.0,6973141130186,0
32,0,0,0.0,6973141130193,0
33,0,0,0.0,6973141130209,0
34,0,0,0.0,6973141130216,0
35,67,0,67.0,6971938360006,67
36,24,0,24.0,6971938360044,24
37,4,0,4.0,6971938360075,4
38,4,0,4.0,6971938360150,4
40,0,0,0.0,6904007601755,0
41,0,0,0.0,6904007604992,0
42,0,0,0.0,6904007605746,0
43,0,0,0.0,6904007606255,0
44,0,0,0.0,6904007606354,0
45,0,0,0.0,6904007607511,0
46,0,0,0.0,6904007607566,0
47,0,0,0.0,6904007607573,0
48,0,0,0.0,6904007607580,0
49,0,0,0.0,6904007607603,0
50,0,0,0.0,6904007607627,0
51,0,0,0.0,6904007608488,0
52,0,0,0.0,6904007608754,0
53,0,0,0.0,6904007608792,0
54,0,0,0.0,6904007609737,0
55,0,0,0.0,6904007603445,0
56,0,0,0.0,6904007607030,0
57,0,0,0.0,6904007607382,0
58,0,0,0.0,6904007608815,0
60,0,0,0.0,6901209112478,0
61,0,0,0.0,6901209112614,0
62,0,0,0.0,6970339116038,0
64,0,0,0.0,6970339116274,0
65,0,0,0.0,6901209201745,0
66,0,0,0.0,6901209201820,0
67,0,0,0.0,6901209205316,0
68,0,0,0.0,6901209207143,0
69,0,0,0.0,6901209212215,0
70,0,0,0.0,6901209214967,0
71,0,0,0.0,6901209215124,0
72,0,0,0.0,7730901250947,0
73,0,0,0.0,6921098302019,0
74,0,0,0.0,6921098313381,0
75,0,0,0.0,6932833530574,0
76,0,0,0.0,6932833530796,0
77,0,0,0.0,6932833530970,0
78,0,0,0.0,6933154500048,0
79,0,0,0.0,6936667800063,0
80,0,0,0.0,6936667800087,0
81,0,0,0.0,6932010800148,0
82,0,0,0.0,6932010800162,0
83,0,0,0.0,6932010840960,0
84,0,0,0.0,9026,0
85,0,0,0.0,9504,0
86,0,0,0.0,5010029000023,0
87,0,0,0.0,6958354000075,0
88,0,0,0.0,9556771000097,0
89,0,0,0.0,9556771000189,0
90,0,0,0.0,4005292000277,0
91,0,0,0.0,9556771000875,0
92,0,0,0.0,9556771000929,0
93,0,0,0.0,4870066001510,0
94,0,0,0.0,4870066001541,0
95,0,0,0.0,5010029001808,0
96,0,0,0.0,6903155001851,0
97,0,0,0.0,6903155001950,0
98,0,0,0.0,6903155002001,0
99,0,0,0.0,6903155002049,0
100,0,0,0.0,4005292002059,0
101,0,0,0.0,4005292002523,0
102,0,0,0.0,4005292002554,0
103,0,0,0.0,4005292002585,0
