,amount,avgCost,importPrice,serialNum
0,-6,13.2,-79.2,6371251234
1,-3,13.2,-39.6,6371251235
2,-11,10.56,-116.16,6371251236
3,-9,11.26,-101.34,6371251237
4,-1,13.9,-13.9,6371251238
5,-3,11.26,-33.78,6371251239
6,6,12.14,72.84,6371251240
7,1,13.2,13.2,6371251241
8,-3,11.26,-33.78,6371251242
9,-2,7.04,-14.08,6371251244
10,-16,21.12,-337.92,6371251245
11,-1,16.54,-16.54,6371251246
12,-3,13.9,-41.7,6371251247
13,-10,12.14,-121.4,6371251248
14,-3,8.8,-26.4,6371251249
15,9,7.74,69.66,6371251250
16,10,8.8,88.0,6371251251
17,2,28.16,56.32,6371251252
18,5,17.6,88.0,6371251253
19,5,17.6,88.0,6371251254
20,0,0.0,0.0,6371251257
21,10,15.84,158.4,6371251258
22,4,15.84,63.36,6371251259
23,3,15.84,47.52,6371251260
24,3,15.84,47.52,6371251261
25,9,31.68,285.12,6371251269
26,8,25.52,204.16,6371251270
27,9,34.32,308.88,6371251271
28,10,28.16,281.6,6371251272
29,1,22.88,22.88,6371251273
30,10,10.56,105.6,6371251274
31,11,22.88,251.68,6371251275
32,4,8.62,34.48,6948942511069
33,3,8.62,25.86,6948942511618
34,-1,10.38,-10.38,6948942512691
