,amount,avgCost,categoryName,importPrice,serialNum
0,48,7.5,乳制品酸奶,360.0,6970618570070
1,36,7.5,乳制品酸奶,270.0,6970618570582
2,-2,22.0,乳制品酸奶,-44.0,6970618570414
3,8,9.3,乳制品酸奶,74.4,6970618570384
4,18,24.0,乳制品酸奶,432.0,6970618570193
5,-3,7.5,乳制品酸奶,-22.5,6970618570179
6,24,7.5,乳制品酸奶,180.0,6970618570162
7,36,7.5,乳制品酸奶,270.0,6970618570599
8,8,11.0,乳制品酸奶,88.0,6970618570032
9,-7,10.0,乳制品酸奶,-70.0,6970618570001
10,72,4.0,乳制品酸奶,288.0,6927797623530
11,12,28.0,乳制品酸奶,336.0,6970618570698
12,71,4.0,乳制品酸奶,284.0,6927797623370
13,72,4.0,乳制品酸奶,288.0,6927797622724
14,12,5.5,乳制品酸奶,66.0,6927797622304
15,-5,7.5,乳制品酸奶,-37.5,6932365575111
16,-10,7.5,乳制品酸奶,-75.0,6932365575104
17,96,3.5,乳制品酸奶,336.0,6970339117097
18,-4,5.8,乳制品酸奶,-23.2,6970339116588
19,48,3.0,乳制品酸奶,144.0,6970339116373
20,144,2.8,乳制品酸奶,403.2,6970339116144
21,48,3.8,乳制品酸奶,182.4,6970339116137
22,144,3.8,乳制品酸奶,547.2,6970339116120
23,18,5.8,乳制品酸奶,104.4,6970339117653
24,12,5.8,乳制品酸奶,69.6,6970339117646
25,-1,5.8,乳制品酸奶,-5.8,6970339117639
26,12,11.0,乳制品酸奶,132.0,6970339117554
27,48,3.0,乳制品酸奶,144.0,6970339117233
28,32,3.7,乳制品酸奶,118.4,6970339117844
39,60,50.0,乳制品纯奶,3000.0,6923644266318
40,-1,16.5,乳制品纯奶,-16.5,6970339116557
