,amount,avgCost,importPrice,serialNum
0,144,3.8,547.2,6970339116120
1,48,3.8,182.4,6970339116137
2,144,2.8,403.2,6970339116144
3,48,3.0,144.0,6970339116373
4,-1,16.5,-16.5,6970339116557
5,-4,5.8,-23.2,6970339116588
6,96,3.5,336.0,6970339117097
7,48,3.0,144.0,6970339117233
8,12,11.0,132.0,6970339117554
9,-1,5.8,-5.8,6970339117639
10,12,5.8,69.6,6970339117646
11,18,5.8,104.4,6970339117653
12,32,3.7,118.4,6970339117844
13,60,50.0,3000.0,6923644266318
14,-7,10.0,-70.0,6970618570001
15,8,11.0,88.0,6970618570032
16,48,7.5,360.0,6970618570070
17,24,7.5,180.0,6970618570162
18,-3,7.5,-22.5,6970618570179
19,18,24.0,432.0,6970618570193
20,8,9.3,74.4,6970618570384
21,-2,22.0,-44.0,6970618570414
22,36,7.5,270.0,6970618570582
23,36,7.5,270.0,6970618570599
24,12,28.0,336.0,6970618570698
25,-10,7.5,-75.0,6932365575104
26,-5,7.5,-37.5,6932365575111
27,12,5.5,66.0,6927797622304
28,72,4.0,288.0,6927797622724
29,71,4.0,284.0,6927797623370
30,72,4.0,288.0,6927797623530
