,amount,avgCost,categoryName,importPrice,serialNum
0,-120,2.3,饮料,-276.0,6921168598038
1,168,2.3,饮料,386.4,6921168595167
2,60,2.3,饮料,138.0,6921168595143
3,-10,6.6,饮料,-66.0,6921168595099
4,120,3.0,饮料,360.0,6921168594993
5,-1,5.0,饮料,-5.0,6974106601680
6,36,7.5,饮料,270.0,6921168559176
7,24,3.5,饮料,84.0,6926892567084
8,24,3.5,饮料,84.0,6926892566087
9,24,3.5,饮料,84.0,6926892565080
10,360,2.2,饮料,792.0,6903004568511
11,225,4.0,饮料,900.0,6921168558049
12,75,4.0,饮料,300.0,6921168558018
13,455,1.3,饮料,591.5,6921168509256
14,-10,6.6,饮料,-66.0,6921168593804
15,16,3.8,饮料,60.8,6921168593576
16,18,3.8,饮料,68.4,6921168593552
17,192,2.1,饮料,403.2,6936571950052
18,72,2.3,饮料,165.6,6938309700533
19,48,2.3,饮料,110.4,6938309700526
20,24,12.3,饮料,295.2,6901347880390
21,48,3.5,饮料,168.0,6974800840330
22,47,3.5,饮料,164.5,6974800840286
23,30,4.7,饮料,141.0,6972863230259
24,30,4.8,饮料,144.0,6972863230105
25,30,4.3,饮料,129.0,6902538008425
26,30,4.3,饮料,129.0,6902538005141
27,30,4.3,饮料,129.0,6902538004052
28,45,4.3,饮料,193.5,6902538004045
29,30,4.8,饮料,144.0,4904910060344
39,-3,4.8,饮料,-14.4,4904910060320
40,30,4.1,饮料,123.0,6921168500970
41,-241,2.1,饮料,-506.1,6954767430386
42,191,4.0,饮料,764.0,6954767422688
43,30,4.1,饮料,123.0,6921168500956
44,-36,10.5,饮料,-378.0,6935498309028
45,54,14.8,饮料,799.2,6935498309561
47,-1,10.0,副食,-10.0,6971284201244
48,-1,10.0,副食,-10.0,6971284201206
49,-1,4.6,副食,-4.6,6926410337250
50,-1,7.0,副食,-7.0,6947954100780
