,amount,avgCost,categoryName,importPrice,serialNum
0,-2,12.5,蛋糕,-25.0,1008861919370120
1,-2,12.3,蛋糕,-24.6,6924877502488
2,7,14.0,蛋糕,98.0,1008861919353361
3,2,14.0,蛋糕,28.0,1008861919353347
4,-1,8.0,蛋糕,-8.0,1008861919353323
5,-1,13.9,蛋糕,-13.9,1008861919353248
6,3,19.5,蛋糕,58.5,1008861919353231
7,1,25.8,蛋糕,25.8,6937419946190
8,-3,7.5,蛋糕,-22.5,6924877506202
9,6,15.0,蛋糕,90.0,1008861919350261
10,16,13.5,蛋糕,216.0,1008861919350056
11,2,15.0,蛋糕,30.0,1008861919350087
12,-13,15.0,蛋糕,-195.0,1008861919350322
13,2,16.9,蛋糕,33.8,1008861919350360
14,2,15.0,蛋糕,30.0,1008861919350384
15,-2,10.0,蛋糕,-20.0,1008861919350438
16,6,12.5,蛋糕,75.0,1008861919350452
17,9,12.5,蛋糕,112.5,1008862021070018
18,-3,9.8,蛋糕,-29.4,1008862021070012
19,-12,13.0,蛋糕,-156.0,1008862021070008
20,-2,11.0,蛋糕,-22.0,1008862021070005
21,-1,16.5,蛋糕,-16.5,1008861919353064
22,-7,11.6,蛋糕,-81.2,1008861919353057
23,5,11.5,蛋糕,57.5,1008861919352159
24,-14,12.5,蛋糕,-175.0,1008861919352135
25,10,12.0,蛋糕,120.0,1008861919352081
26,2,25.0,蛋糕,50.0,1008861919351350
27,1,20.5,蛋糕,20.5,1008861919351329
28,-1,10.0,蛋糕,-10.0,1008861919350469
29,11,12.0,蛋糕,132.0,1008861919350616
39,-7,12.0,蛋糕,-84.0,1008861919350614
