,amount,avgCost,importPrice,serialNum
0,-2,11.0,-22.0,1008862021070005
1,-12,13.0,-156.0,1008862021070008
2,-3,9.8,-29.4,1008862021070012
3,9,12.5,112.5,1008862021070018
4,16,13.5,216.0,1008861919350056
5,2,15.0,30.0,1008861919350087
6,6,15.0,90.0,1008861919350261
7,-13,15.0,-195.0,1008861919350322
8,2,16.9,33.8,1008861919350360
9,2,15.0,30.0,1008861919350384
10,-2,10.0,-20.0,1008861919350438
11,6,12.5,75.0,1008861919350452
12,-1,10.0,-10.0,1008861919350469
13,-7,12.0,-84.0,1008861919350614
14,11,12.0,132.0,1008861919350616
15,1,20.5,20.5,1008861919351329
16,2,25.0,50.0,1008861919351350
17,10,12.0,120.0,1008861919352081
18,-14,12.5,-175.0,1008861919352135
19,5,11.5,57.5,1008861919352159
20,-7,11.6,-81.2,1008861919353057
21,-1,16.5,-16.5,1008861919353064
22,3,19.5,58.5,1008861919353231
23,-1,13.9,-13.9,1008861919353248
24,-1,8.0,-8.0,1008861919353323
25,2,14.0,28.0,1008861919353347
26,7,14.0,98.0,1008861919353361
27,-2,12.5,-25.0,1008861919370120
28,-2,12.3,-24.6,6924877502488
29,-3,7.5,-22.5,6924877506202
30,1,25.8,25.8,6937419946190
