,importAmount,importPrice,postSaleAmount,postSalePrice,preSaleAmount,preSaleCost,preSalePrice,saleAmount,salePrice,serialNum
1,0.00,0.00,"5,172.00",739596.00,"5,260.00",143.00,752180.00,88.00,12584.00,6916168616554
2,0.00,0.00,145.00,1450.00,153.00,10.00,1530.00,8.00,80.00,6934230050129
3,0.00,0.00,108.00,756.00,114.00,7.00,798.00,6.00,42.00,6931299062605
4,0.00,0.00,"1,493.00",17169.50,"1,501.00",11.50,17261.50,8.00,92.00,6931299062681
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958104100222
6,0.00,0.00,17.00,204.00,21.00,12.00,252.00,4.00,48.00,6958104100321
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958104100680
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958104100796
9,0.00,0.00,24.00,115.20,25.00,4.80,120.00,1.00,4.80,6958104101007
10,0.00,0.00,88.00,1056.00,91.00,12.00,1092.00,3.00,36.00,6958104101021
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958104101847
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958104101861
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130148
14,0.00,0.00,24.00,216.00,26.00,9.00,234.00,2.00,18.00,6973141130179
15,0.00,0.00,38.00,266.00,41.00,7.00,287.00,3.00,21.00,6934126261844
16,0.00,0.00,42.00,252.00,54.00,6.00,324.00,12.00,72.00,6934126261899
17,0.00,0.00,7.00,77.00,7.00,11.00,77.00,0.00,0.00,6934126262346
18,0.00,0.00,21.00,147.00,23.00,7.00,161.00,2.00,14.00,6934126262933
19,0.00,0.00,130.00,3250.00,142.00,25.00,3550.00,12.00,300.00,6971114920178
20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1010
21,0.00,0.00,5.00,440.00,5.00,88.00,440.00,0.00,0.00,6941871150002
22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6916168617322
23,0.00,0.00,9.00,801.00,13.00,89.00,1157.00,4.00,356.00,6916168620773
24,0.00,0.00,12.00,780.00,13.00,65.00,845.00,1.00,65.00,6971114920017
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141120064
26,0.00,0.00,38.00,1501.00,62.00,39.50,2449.00,24.00,948.00,6973141120088
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130070
28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130087
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130094
30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130124
31,0.00,0.00,1.00,9.00,1.00,9.00,9.00,0.00,0.00,6973141130155
32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130186
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130193
34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130209
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130216
36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6971938360006
37,0.00,0.00,35.00,2275.00,35.00,65.00,2275.00,0.00,0.00,6971938360044
38,0.00,0.00,30.00,3360.00,30.00,112.00,3360.00,0.00,0.00,6971938360075
39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6971938360150
40,0.00,0.00,"3,972.00",345564.00,"3,996.00",87.00,347652.00,24.00,2088.00,6938749816122
42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007601755
43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007604992
44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007605746
45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007606255
46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007606354
47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607511
48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607566
49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607573
50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607580
51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607603
52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607627
53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007608488
54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007608754
55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007608792
56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007609737
57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007603445
58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607030
59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007608815
61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6970339116038
63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6970339116274
64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7730901250947
65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6921098302019
66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6921098313381
67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6932833530574
68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6933154500048
69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6936667800063
70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6936667800087
71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9026
72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9504
73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029000023
74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958354000075
75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9556771000097
76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9556771000189
77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292000277
78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9556771000875
79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9556771000929
80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066001510
81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066001541
82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029001808
83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155001851
84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155001950
85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155002001
86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155002049
87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292002059
88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292002523
89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292002554
90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292002585
91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066002777
92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292002998
93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292003049
94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292003162
95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155003213
96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155003268
97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155003275
98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066003569
99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066003576
100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155003817
101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155003985
102,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066004221
103,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155004258
104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066004269
105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155004777
106,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155004784
107,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500005026
108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029005554
109,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988006448
110,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988006455
111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988006462
112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878006604
113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988006790
114,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878006918
115,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988007193
116,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878009193
117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500009673
118,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500016787
119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988017147
120,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878018324
121,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9004584021896
122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878024929
123,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878024943
124,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878024967
125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878024981
126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69027086
127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878028606
128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69029097
129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69029110
130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878037103
131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878037127
132,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878037141
133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878037189
134,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878043456
135,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80050094
136,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80052487
137,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054012
138,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054029
139,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054043
140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054050
141,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054074
142,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054081
143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054098
144,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054104
145,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054159
146,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054166
147,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054302
148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054357
149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500066027
150,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958036100666
151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958036102066
152,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958036103025
153,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292123501
154,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500126325
155,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500126356
156,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80135906
157,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80177180
158,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80177609
159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80177616
160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500180730
161,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668200013
162,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668200303
163,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668200600
164,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668200624
165,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029201246
166,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029204704
167,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029204735
168,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500217511
169,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029218954
170,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029218985
171,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029219012
172,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029219043
173,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029219074
174,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029219104
175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8996001301890
176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8996001303634
177,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8996001303733
178,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8996001353011
179,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6954287500316
180,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6954287500323
181,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6954287500361
182,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6954287500538
183,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6954287500668
184,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839503207
185,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839503283
186,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839503788
187,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839503832
188,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839503948
189,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839504389
190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839504402
191,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839504426
192,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839504747
193,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839504778
194,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839504808
195,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973600010
196,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973600041
197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973600072
198,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973600164
199,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973601536
200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450601822
201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450601990
202,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450603550
203,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450603567
204,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450603574
205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973604032
206,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973604056
207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973604193
208,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973604216
209,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973604247
210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973604414
211,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450605226
212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450605295
213,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450605400
214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450605929
215,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450605950
216,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929612324
217,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929613369
218,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929613383
219,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929617220
220,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929617237
221,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929617244
222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929622088
223,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292652384
224,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292652414
225,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292652896
226,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292653138
227,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292653220
228,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292654913
229,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450657188
230,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450657607
231,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6927819657666
232,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6927819657680
233,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450657713
234,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450657829
235,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6927819657925
236,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6927819657963
237,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6927819657970
238,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6927819658212
239,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450670965
240,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700138
241,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700152
242,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700176
243,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700206
244,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700213
245,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700220
246,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700237
247,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700244
248,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700398
249,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700404
250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6940188802451
251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6940188803984
252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364807248
253,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364807255
