,importAmount,importPrice,postSaleAmount,postSalePrice,preSaleAmount,preSaleCost,preSalePrice,saleAmount,salePrice,serialNum
4,0,0.00,30,3360.00,30,112.00,3360.00,0,0.00,6971938360075
5,0,0.00,35,2275.00,35,65.00,2275.00,0,0.00,6971938360044
7,0,0.00,42,252.00,54,6.00,324.00,12,72.00,6934126261899
8,0,0.00,7,77.00,7,11.00,77.00,0,0.00,6934126262346
9,0,0.00,17,204.00,21,12.00,252.00,4,48.00,6958104100321
10,0,0.00,1493,17169.50,1501,11.50,17261.50,8,92.00,6931299062681
11,0,0.00,38,266.00,41,7.00,287.00,3,21.00,6934126261844
12,0,0.00,108,756.00,114,7.00,798.00,6,42.00,6931299062605
13,0,0.00,21,147.00,23,7.00,161.00,2,14.00,6934126262933
14,0,0.00,24,115.20,25,4.80,120.00,1,4.80,6958104101007
15,0,0.00,88,1056.00,91,12.00,1092.00,3,36.00,6958104101021
16,0,0.00,130,3250.00,142,25.00,3550.00,12,300.00,6971114920178
17,0,0.00,24,216.00,26,9.00,234.00,2,18.00,6973141130179
18,0,0.00,145,1450.00,153,10.00,1530.00,8,80.00,6934230050129
20,0,0.00,38,1501.00,62,39.50,2449.00,24,948.00,6973141120088
21,0,0.00,1,9.00,1,9.00,9.00,0,0.00,6973141130155
23,0,0.00,12,780.00,13,65.00,845.00,1,65.00,6971114920017
24,0,0.00,5,440.00,5,88.00,440.00,0,0.00,6941871150002
25,0,0.00,9,801.00,13,89.00,1157.00,4,356.00,6916168620773
27,0,0.00,5172,739596.00,5260,143.00,752180.00,88,12584.00,6916168616554
29,0,0.00,3972,345564.00,3996,87.00,347652.00,24,2088.00,6938749816122
32,12,198.00,6,99.00,0,16.50,0.00,6,99.00,6970339116557
33,0,0.00,25,1300.00,34,52.00,1768.00,9,468.00,6923644232658
43,12,696.00,33,1914.00,28,58.00,1624.00,7,406.00,6923644297251
44,8,440.00,12,660.00,6,55.00,330.00,2,110.00,6923644299804
45,18,900.00,103,5150.00,103,50.00,5150.00,18,900.00,6923644266318
46,18,1089.00,48,2904.00,32,60.50,1936.00,2,121.00,6923644295844
48,0,0.00,1,11.00,5,11.00,55.00,4,44.00,6970339117554
49,24,264.00,19,209.00,0,11.00,0.00,5,55.00,6970339117523
50,0,0.00,26,78.00,70,3.00,210.00,44,132.00,6970339116373
51,0,0.00,26,1456.00,35,56.00,1960.00,9,504.00,6970339116151
52,0,0.00,9,52.20,10,5.80,58.00,1,5.80,6970339117646
53,0,0.00,0,0.00,2,10.50,21.00,2,21.00,6970339117998
54,0,0.00,4,34.00,6,8.50,51.00,2,17.00,6970339116915
55,0,0.00,20,70.00,36,3.50,126.00,16,56.00,6970339117097
56,48,177.60,44,162.80,20,3.70,74.00,24,88.80,6970339117844
57,0,0.00,49,186.20,53,3.80,201.40,4,15.20,6970339116137
58,12,134.40,23,257.60,15,11.20,168.00,4,44.80,6970339118186
59,48,134.40,36,100.80,20,2.80,56.00,32,89.60,6970339116144
60,48,182.40,28,106.40,28,3.80,106.40,48,182.40,6970339116120
61,20,116.00,31,179.80,11,5.80,63.80,0,0.00,6970339117639
62,0,0.00,60,180.00,90,3.00,270.00,30,90.00,6970339117233
63,30,174.00,22,127.60,10,5.80,58.00,18,104.40,6970339116588
64,24,480.00,16,320.00,0,20.00,0.00,8,160.00,6970339117677
65,0,0.00,-1,-28.00,-1,28.00,-28.00,0,0.00,6970618570698
66,24,180.00,12,90.00,8,7.50,60.00,20,150.00,6970618570070
67,0,0.00,3,66.00,8,22.00,176.00,5,110.00,6970618570414
68,0,0.00,0,0.00,1,30.50,30.50,1,30.50,6970618570056
69,0,0.00,6,45.00,6,7.50,45.00,0,0.00,6970618570179
70,0,0.00,0,0.00,3,9.50,28.50,3,28.50,6970618570209
71,36,270.00,38,285.00,22,7.50,165.00,20,150.00,6970618570599
72,16,160.00,23,230.00,10,10.00,100.00,3,30.00,6970618570001
82,16,148.80,11,102.30,0,9.30,0.00,5,46.50,6970618570384
83,0,0.00,48,192.00,72,4.00,288.00,24,96.00,6927797622700
84,0,0.00,24,96.00,72,4.00,288.00,48,192.00,6927797623530
85,0,0.00,22,121.00,24,5.50,132.00,2,11.00,6927797622304
86,0,0.00,36,144.00,66,4.00,264.00,30,120.00,6927797622724
87,0,0.00,35,140.00,77,4.00,308.00,42,168.00,6927797623370
90,0,0.00,23,138.00,25,6.00,150.00,2,12.00,6926213559019
91,0,0.00,17,153.00,18,9.00,162.00,1,9.00,6926213560831
92,0,0.00,14,98.00,14,7.00,98.00,0,0.00,6926213558302
93,0,0.00,15,105.00,16,7.00,112.00,1,7.00,6926213558272
94,0,0.00,12,144.00,12,12.00,144.00,0,0.00,6920267909844
95,0,0.00,14,161.00,14,11.50,161.00,0,0.00,6920267907420
96,0,0.00,41,188.60,49,4.60,225.40,8,36.80,6902265610014
97,0,0.00,26,218.40,26,8.40,218.40,0,0.00,6902265210504
98,0,0.00,3,22.50,5,7.50,37.50,2,15.00,6902265440291
99,0,0.00,21,168.00,23,8.00,184.00,2,16.00,6902265107057
100,0,0.00,13,71.50,18,5.50,99.00,5,27.50,6902265470236
101,12,76.80,18,115.20,6,6.40,38.40,0,0.00,6902265240501
102,0,0.00,45,292.50,54,6.50,351.00,9,58.50,6902265360018
103,12,117.60,22,215.60,11,9.80,107.80,1,9.80,6902265114369
104,0,0.00,17,141.10,19,8.30,157.70,2,16.60,6902265114321
105,0,0.00,21,168.00,25,8.00,200.00,4,32.00,6902265114888
106,0,0.00,21,207.90,27,9.90,267.30,6,59.40,6902265150015
107,0,0.00,27,172.80,35,6.40,224.00,8,51.20,6902265170501
108,0,0.00,32,176.00,35,5.50,192.50,3,16.50,6902265115496
109,0,0.00,13,110.50,13,8.50,110.50,0,0.00,6902265111719
110,180,234.00,255,331.50,120,1.30,156.00,45,58.50,6926198012233
