,importAmount,importPrice,postSaleAmount,postSalePrice,preSaleAmount,preSaleCost,preSalePrice,saleAmount,salePrice,serialNum
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1010
2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6941871150002
3,0.00,0.00,6.00,900.00,41.00,150.00,6150.00,35.00,5250.00,6916168616554
4,0.00,0.00,1.00,72.00,1.00,72.00,72.00,0.00,0.00,6916168617322
5,0.00,0.00,952.00,93296.00,"1,001.00",98.00,98098.00,49.00,4802.00,6938749816122
6,0.00,0.00,7.00,455.00,9.00,65.00,585.00,2.00,130.00,6971114920017
7,0.00,0.00,"3,004.00",30040.00,"3,041.00",10.00,30410.00,37.00,370.00,6934230050129
8,0.00,0.00,769.00,5536.80,789.00,7.20,5680.80,20.00,144.00,6931299062605
9,0.00,0.00,"2,833.00",32579.50,"2,841.00",11.50,32671.50,8.00,92.00,6931299062681
10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958104100222
11,0.00,0.00,139.00,1598.50,141.00,11.50,1621.50,2.00,23.00,6958104100321
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958104100680
13,0.00,0.00,332.00,3652.00,341.00,11.00,3751.00,9.00,99.00,6958104100796
14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958104101007
15,0.00,0.00,"1,998.00",21978.00,"2,012.00",11.00,22132.00,14.00,154.00,6958104101021
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958104101847
17,0.00,0.00,4.00,48.00,6.00,12.00,72.00,2.00,24.00,6958104101861
18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130148
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130179
20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934126261844
21,0.00,0.00,92.00,552.00,110.00,6.00,660.00,18.00,108.00,6934126261899
22,0.00,0.00,230.00,2530.00,237.00,11.00,2607.00,7.00,77.00,6934126262346
23,0.00,0.00,645.00,4515.00,649.00,7.00,4543.00,4.00,28.00,6934126262933
24,0.00,0.00,"2,033.00",50825.00,"2,058.00",25.00,51450.00,25.00,625.00,6971114920178
25,0.00,0.00,1.00,39.00,1.00,39.00,39.00,0.00,0.00,6973141120088
26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130070
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130087
28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130094
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130124
30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130155
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130186
32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130193
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130209
34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6973141130216
35,0.00,0.00,67.00,4154.00,69.00,62.00,4278.00,2.00,124.00,6971938360006
36,0.00,0.00,24.00,1560.00,24.00,65.00,1560.00,0.00,0.00,6971938360044
37,0.00,0.00,4.00,448.00,7.00,112.00,784.00,3.00,336.00,6971938360075
38,0.00,0.00,4.00,248.00,4.00,62.00,248.00,0.00,0.00,6971938360150
40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007601755
41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007604992
42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007605746
43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007606255
44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007606354
45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607511
46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607566
47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607573
48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607580
49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607603
50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607627
51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007608488
52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007608754
53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007608792
54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007609737
55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007603445
56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607030
57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007607382
58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6904007608815
60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6970339116038
62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6970339116274
63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7730901250947
64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6921098302019
65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6921098313381
66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6932833530574
67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6933154500048
68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6936667800063
69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6936667800087
70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9026
71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9504
72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029000023
73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958354000075
74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9556771000097
75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9556771000189
76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292000277
77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9556771000875
78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9556771000929
79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066001510
80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066001541
81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029001808
82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155001851
83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155001950
84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155002001
85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155002049
86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292002059
87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292002523
88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292002554
89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292002585
90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066002777
91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292002998
92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292003049
93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292003162
94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155003213
95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155003268
96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155003275
97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066003569
98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066003576
99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155003817
100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155003985
101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066004221
102,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155004258
103,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870066004269
104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155004777
105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6903155004784
106,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500005026
107,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029005554
108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988006448
109,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988006455
110,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988006462
111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878006604
112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988006790
113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878006918
114,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988007193
115,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878009193
116,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500009673
117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500016787
118,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988017147
119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878018324
120,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9004584021896
121,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878024929
122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878024943
123,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878024967
124,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878024981
125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69027086
126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878028606
127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69029097
128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69029110
129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878037103
130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878037127
131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878037141
132,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878037189
133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878043456
134,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80050094
135,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80052487
136,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054012
137,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054029
138,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054043
139,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054050
140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054074
141,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054081
142,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054098
143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054104
144,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054159
145,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054166
146,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054302
147,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054357
148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500066027
149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958036100666
150,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958036102066
151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958036103025
