,cost,refundAmount,refundPrice,saleAmount,salePrice,saleTotal,serialNum
4,22.80,0,0.00,137.00,27.00,3699.00,6933276212058
5,21.00,0,0.00,44.00,25.00,1100.00,6933276212119
6,7.70,0,0.00,1.00,9.90,9.90,6923450662106
7,55.00,0,0.00,30.00,68.00,2040.00,6970037311148
8,13.50,0,0.00,4.00,18.80,75.20,4894375022547
9,10.00,0,0.00,7.00,13.50,94.50,4713507008337
10,13.50,0,0.00,2.00,18.80,37.60,4894375022530
11,10.00,0,0.00,5.00,13.50,67.50,4713507008344
12,9.50,0,0.00,1.00,13.00,13.00,029173092964
13,9.50,0,0.00,1.00,13.00,13.00,029173094241
14,9.50,0,0.00,1.00,13.00,13.00,029173092957
15,8.00,0,0.00,1.00,11.50,11.50,029173093343
16,8.00,0,0.00,1.00,11.50,11.50,029173093329
17,8.00,0,0.00,1.00,11.50,11.50,029173093336
18,9.50,0,0.00,2.00,13.00,26.00,029173093145
19,40.00,0,0.00,1.00,51.00,51.00,8935024149669
20,10.00,0,0.00,19.00,14.00,266.00,8935024140147
21,10.00,0,0.00,1.00,14.00,14.00,8935024141854
22,10.00,0,0.00,2.00,14.00,28.00,8935024141342
23,10.00,0,0.00,3.00,14.00,42.00,8935024141847
24,13.00,0,0.00,3.00,16.90,50.70,6914973601567
25,39.00,0,0.00,2.00,52.00,104.00,8807920893475
26,39.00,0,0.00,1.00,51.00,51.00,8809420330696
27,27.00,0,0.00,1.00,35.00,35.00,8809420330740
28,10.92,0,0.00,1.00,14.90,14.90,8809420330641
29,10.92,0,0.00,6.00,14.90,89.40,8804007413540
30,44.00,0,0.00,1.00,55.00,55.00,6913405662855
31,44.00,0,0.00,1.00,55.00,55.00,6913405662831
32,12.00,0,0.00,2.00,15.50,31.00,6913405660530
33,12.00,0,0.00,3.00,15.60,46.80,6913405760681
42,18.00,0,0.00,3.00,22.80,68.40,6913405662817
43,20.00,0,0.00,1.00,25.00,25.00,6913405663524
44,20.00,0,0.00,3.00,25.80,77.40,6913405663517
45,19.00,0,0.00,1.00,24.50,24.50,6913405663500
46,3.70,0,0.00,3.00,4.50,13.50,6906791583613
47,3.70,0,0.00,5.00,4.50,22.50,6906791584191
48,17.00,0,0.00,4.00,23.00,92.00,4600648566720
49,4.60,0,0.00,3.00,6.00,18.00,6926410337250
50,4.60,0,0.00,11.00,6.00,66.00,6926410337090
51,4.60,0,0.00,2.00,6.00,12.00,6926410320214
52,4.60,0,0.00,11.00,6.00,66.00,6926410321501
53,4.60,0,0.00,6.00,6.00,36.00,6926410330954
54,6.00,0,0.00,3.00,7.70,23.10,6926213559019
55,15.00,0,0.00,5.00,19.90,99.50,8996001356326
56,13.00,0,0.00,10.00,16.00,160.00,9415262003972
57,13.00,0,0.00,2.00,15.80,31.60,6971738655388
58,18.00,0,0.00,2.00,21.50,43.00,6971738655333
59,13.00,0,0.00,6.00,15.80,94.80,6971738655395
60,13.00,0,0.00,1.00,15.80,15.80,6971738655371
61,13.00,0,0.00,1.00,15.80,15.80,6971738655326
62,19.00,0,0.00,3.00,21.80,65.40,6971738656095
63,72.00,0,0.00,1.00,88.00,88.00,6907992515533
64,15.84,0,0.00,5.00,18.00,90.00,6371251261
65,1.50,0,0.00,20.00,1.90,38.00,6917790975323
66,20.00,0,0.00,3.00,25.00,75.00,6901668937032
67,95.00,0,0.00,1.00,126.00,126.00,9315090201758
68,20.00,0,0.00,4.00,27.00,108.00,9315090201062
69,95.00,0,0.00,4.00,126.00,504.00,9315090210507
70,12.30,0,0.00,2.00,15.60,31.20,8854761800339
71,13.80,0,0.00,1.00,19.50,19.50,8854761000111
80,13.80,0,0.00,1.00,19.50,19.50,8854761010110
81,13.80,0,0.00,5.00,19.50,97.50,8854761330119
82,13.80,0,0.00,3.00,19.50,58.50,8854761150113
83,13.80,0,0.00,1.00,19.50,19.50,8854761070114
84,12.50,0,0.00,14.00,14.90,208.60,1008861919350452
85,30.00,0,0.00,3.00,37.00,111.00,6971893820010
86,8.00,0,0.00,12.00,9.70,116.40,6974197980084
87,8.50,0,0.00,6.00,11.80,70.80,6948939602572
88,9.50,0,0.00,1.00,12.90,12.90,6948939602381
89,9.80,0,0.00,1.00,12.90,12.90,6948939608208
90,6.40,0,0.00,2.00,7.90,15.80,6901845041248
91,6.40,0,0.00,8.00,7.90,63.20,6901845040968
92,6.40,0,0.00,9.00,7.90,71.10,6901845040692
93,6.40,0,0.00,9.00,7.90,71.10,6901845040685
94,6.40,0,0.00,2.00,7.90,15.80,6901845040951
95,6.40,0,0.00,3.00,7.90,23.70,6901845041712
96,10.50,0,0.00,2.00,13.70,27.40,8006222600037
97,10.50,0,0.00,1.00,14.50,14.50,4718287594247
98,10.50,0,0.00,4.00,14.50,58.00,4718287594308
99,10.50,0,0.00,4.00,14.50,58.00,4718287594209
100,12.00,0,0.00,2.00,16.50,33.00,4718287594568
101,10.50,0,0.00,5.00,14.50,72.50,4718287594520
102,14.00,0,0.00,5.00,17.50,87.50,6922477411575
103,14.00,0,0.00,4.00,17.50,70.00,6922477411568
104,14.00,0,0.00,1.00,17.50,17.50,6922477411599
105,14.00,0,0.00,6.00,17.50,105.00,6922477411544
106,12.50,0,0.00,1.00,15.80,15.80,6922477400333
107,12.50,0,0.00,1.00,15.80,15.80,6922477400524
108,12.50,0,0.00,1.00,15.80,15.80,6922477400777
109,16.50,0,0.00,2.00,21.80,43.60,6922477411063
118,8.40,0,0.00,4.00,10.80,43.20,6922477410547
119,8.40,0,0.00,2.00,10.80,21.60,6922477410530
120,8.40,0,0.00,3.00,10.80,32.40,6922477410523
121,11.50,0,0.00,9.00,13.90,125.10,6922477400227
122,19.00,0,0.00,1.00,23.90,23.90,6922477400685
123,10.20,0,0.00,15.00,12.70,190.50,6923668390181
124,10.20,0,0.00,7.00,12.70,88.90,6923668390075
125,8.50,0,0.00,11.00,11.80,129.80,6936749501109
126,22.00,0,0.00,1.00,28.20,28.20,6939730799882
127,22.00,0,0.00,2.00,28.20,56.40,6939730799967
128,22.00,0,0.00,3.00,28.20,84.60,6939730775640
129,15.50,0,0.00,12.00,19.80,237.60,6972500148121
130,2.10,0,0.00,182.00,2.50,455.00,6936571950052
131,0.00,-2,-138.00,2.00,NAN,138.00,6942632000741
132,70.00,0,0.00,7.00,90.00,630.00,6943890900333
133,4.50,0,0.00,3.00,5.70,17.10,6935616500016
134,22.00,0,0.00,1.00,27.90,27.90,4897038895465
135,8.00,0,0.00,4.00,9.90,39.60,4897038895731
136,26.00,0,0.00,1.00,32.80,32.80,4897038895908
137,19.50,0,0.00,1.00,24.50,24.50,4897038895762
138,34.32,0,0.00,12.00,39.00,468.00,6371251271
139,3.30,0,0.00,78.00,4.20,327.60,6903004568658
140,2.20,0,0.00,284.00,2.40,681.60,6903004568511
141,17.00,0,0.00,5.00,24.50,122.50,6918598028105
142,10.00,0,0.00,3.00,13.80,41.40,6937451831256
143,7.80,0,0.00,8.00,9.50,76.00,6973230890342
144,13.90,0,0.00,3.00,16.80,50.40,1008861919353248
145,28.00,0,0.00,5.00,35.80,179.00,6943890900620
146,54.00,0,0.00,2.00,66.50,133.00,6943890900613
147,3.80,0,0.00,1.00,4.60,4.60,6921168593576
156,15.00,0,0.00,9.00,17.80,160.20,1008861919350322
157,6.00,0,0.00,4.00,7.80,31.20,6922665300797
158,8.00,0,0.00,5.00,10.50,52.50,6922507821695
159,8.00,0,0.00,3.00,10.50,31.50,6922507821688
160,8.00,0,0.00,4.00,10.50,42.00,6922507821701
161,11.00,0,0.00,3.00,13.80,41.40,6922507805022
162,6.00,0,0.00,4.00,7.50,30.00,6922507823903
163,10.00,0,0.00,5.00,12.80,64.00,6922507804087
