,refundAmount,refundPrice,saleAmount,salePrice,serialNum
4,0,0.00,137.00,3699.00,6933276212058
5,0,0.00,44.00,1100.00,6933276212119
6,0,0.00,1.00,9.90,6923450662106
7,0,0.00,30.00,2040.00,6970037311148
8,0,0.00,4.00,75.20,4894375022547
9,0,0.00,7.00,94.50,4713507008337
10,0,0.00,2.00,37.60,4894375022530
11,0,0.00,5.00,67.50,4713507008344
12,0,0.00,1.00,13.00,029173092964
13,0,0.00,1.00,13.00,029173094241
14,0,0.00,1.00,13.00,029173092957
15,0,0.00,1.00,11.50,029173093343
16,0,0.00,1.00,11.50,029173093329
17,0,0.00,1.00,11.50,029173093336
18,0,0.00,2.00,26.00,029173093145
19,0,0.00,1.00,51.00,8935024149669
20,0,0.00,19.00,266.00,8935024140147
21,0,0.00,1.00,14.00,8935024141854
22,0,0.00,2.00,28.00,8935024141342
23,0,0.00,3.00,42.00,8935024141847
24,0,0.00,3.00,50.70,6914973601567
25,0,0.00,2.00,104.00,8807920893475
26,0,0.00,1.00,51.00,8809420330696
27,0,0.00,1.00,35.00,8809420330740
28,0,0.00,1.00,14.90,8809420330641
29,0,0.00,6.00,89.40,8804007413540
30,0,0.00,1.00,55.00,6913405662855
31,0,0.00,1.00,55.00,6913405662831
32,0,0.00,2.00,31.00,6913405660530
33,0,0.00,3.00,46.80,6913405760681
42,0,0.00,3.00,68.40,6913405662817
43,0,0.00,1.00,25.00,6913405663524
44,0,0.00,3.00,77.40,6913405663517
45,0,0.00,1.00,24.50,6913405663500
46,0,0.00,3.00,13.50,6906791583613
47,0,0.00,5.00,22.50,6906791584191
48,0,0.00,4.00,92.00,4600648566720
49,0,0.00,3.00,18.00,6926410337250
50,0,0.00,11.00,66.00,6926410337090
51,0,0.00,2.00,12.00,6926410320214
52,0,0.00,11.00,66.00,6926410321501
53,0,0.00,6.00,36.00,6926410330954
54,0,0.00,3.00,23.10,6926213559019
55,0,0.00,5.00,99.50,8996001356326
56,0,0.00,10.00,160.00,9415262003972
57,0,0.00,2.00,31.60,6971738655388
58,0,0.00,2.00,43.00,6971738655333
59,0,0.00,6.00,94.80,6971738655395
60,0,0.00,1.00,15.80,6971738655371
61,0,0.00,1.00,15.80,6971738655326
62,0,0.00,3.00,65.40,6971738656095
63,0,0.00,1.00,88.00,6907992515533
64,0,0.00,5.00,90.00,6371251261
65,0,0.00,20.00,38.00,6917790975323
66,0,0.00,3.00,75.00,6901668937032
67,0,0.00,1.00,126.00,9315090201758
68,0,0.00,4.00,108.00,9315090201062
69,0,0.00,4.00,504.00,9315090210507
70,0,0.00,2.00,31.20,8854761800339
71,0,0.00,1.00,19.50,8854761000111
80,0,0.00,1.00,19.50,8854761010110
81,0,0.00,5.00,97.50,8854761330119
82,0,0.00,3.00,58.50,8854761150113
83,0,0.00,1.00,19.50,8854761070114
84,0,0.00,14.00,208.60,1008861919350452
85,0,0.00,3.00,111.00,6971893820010
86,0,0.00,12.00,116.40,6974197980084
87,0,0.00,6.00,70.80,6948939602572
88,0,0.00,1.00,12.90,6948939602381
89,0,0.00,1.00,12.90,6948939608208
90,0,0.00,2.00,15.80,6901845041248
91,0,0.00,8.00,63.20,6901845040968
92,0,0.00,9.00,71.10,6901845040692
93,0,0.00,9.00,71.10,6901845040685
94,0,0.00,2.00,15.80,6901845040951
95,0,0.00,3.00,23.70,6901845041712
96,0,0.00,2.00,27.40,8006222600037
97,0,0.00,1.00,14.50,4718287594247
98,0,0.00,4.00,58.00,4718287594308
99,0,0.00,4.00,58.00,4718287594209
100,0,0.00,2.00,33.00,4718287594568
101,0,0.00,5.00,72.50,4718287594520
102,0,0.00,5.00,87.50,6922477411575
103,0,0.00,4.00,70.00,6922477411568
104,0,0.00,1.00,17.50,6922477411599
105,0,0.00,6.00,105.00,6922477411544
106,0,0.00,1.00,15.80,6922477400333
107,0,0.00,1.00,15.80,6922477400524
108,0,0.00,1.00,15.80,6922477400777
109,0,0.00,2.00,43.60,6922477411063
118,0,0.00,4.00,43.20,6922477410547
119,0,0.00,2.00,21.60,6922477410530
120,0,0.00,3.00,32.40,6922477410523
121,0,0.00,9.00,125.10,6922477400227
122,0,0.00,1.00,23.90,6922477400685
123,0,0.00,15.00,190.50,6923668390181
124,0,0.00,7.00,88.90,6923668390075
125,0,0.00,11.00,129.80,6936749501109
126,0,0.00,1.00,28.20,6939730799882
127,0,0.00,2.00,56.40,6939730799967
128,0,0.00,3.00,84.60,6939730775640
129,0,0.00,12.00,237.60,6972500148121
130,0,0.00,182.00,455.00,6936571950052
131,-2,-138.00,2.00,138.00,6942632000741
132,0,0.00,7.00,630.00,6943890900333
133,0,0.00,3.00,17.10,6935616500016
134,0,0.00,1.00,27.90,4897038895465
135,0,0.00,4.00,39.60,4897038895731
136,0,0.00,1.00,32.80,4897038895908
137,0,0.00,1.00,24.50,4897038895762
138,0,0.00,12.00,468.00,6371251271
139,0,0.00,78.00,327.60,6903004568658
140,0,0.00,284.00,681.60,6903004568511
141,0,0.00,5.00,122.50,6918598028105
142,0,0.00,3.00,41.40,6937451831256
143,0,0.00,8.00,76.00,6973230890342
144,0,0.00,3.00,50.40,1008861919353248
145,0,0.00,5.00,179.00,6943890900620
146,0,0.00,2.00,133.00,6943890900613
147,0,0.00,1.00,4.60,6921168593576
156,0,0.00,9.00,160.20,1008861919350322
157,0,0.00,4.00,31.20,6922665300797
158,0,0.00,5.00,52.50,6922507821695
159,0,0.00,3.00,31.50,6922507821688
160,0,0.00,4.00,42.00,6922507821701
161,0,0.00,3.00,41.40,6922507805022
162,0,0.00,4.00,30.00,6922507823903
163,0,0.00,5.00,64.00,6922507804087
164,0,0.00,8.00,102.40,6922507800638
165,0,0.00,11.00,137.50,6972698570100
166,0,0.00,6.00,59.40,6972698570216
167,0,0.00,28.00,33.60,6915993302229
168,0,0.00,11.00,132.00,6371251274
169,0,0.00,3.00,234.00,6942022012149
170,0,0.00,4.00,312.00,6923644284947
171,0,0.00,1.00,9.00,6937439914575
172,0,0.00,4.00,51.20,6937439916555
173,0,0.00,3.00,38.40,6937439915084
174,0,0.00,6.00,76.80,6937439915121
175,0,0.00,1.00,12.80,6937439915145
176,0,0.00,4.00,36.00,6937439913981
177,0,0.00,4.00,51.20,6937439914476
178,0,0.00,6.00,76.80,6937439914988
179,0,0.00,4.00,67.60,6914973200685
180,0,0.00,26.00,221.00,6971550820001
181,0,0.00,4.00,131.20,6971550820094
182,0,0.00,8.00,262.40,6971550820087
183,0,0.00,4.00,39.60,6971550820810
184,0,0.00,4.00,47.20,6971550820155
185,0,0.00,11.00,162.80,6971550820643
194,0,0.00,10.00,148.00,6971550820650
195,0,0.00,8.00,86.40,6971550820148
196,0,0.00,3.00,96.00,6970373120695
197,0,0.00,2.00,36.00,6970373125041
198,0,0.00,1.00,26.00,6970373127564
199,0,0.00,54.00,243.00,6974800840286
200,0,0.00,120.00,540.00,6974800840330
201,0,0.00,3.00,55.50,6973669043081
202,0,0.00,2.00,35.00,6973669041100
203,0,0.00,3.00,52.50,6924750000995
204,0,0.00,2.00,27.60,6371251248
205,0,0.00,9.00,115.20,6371251242
206,0,0.00,7.00,224.00,6371251252
207,0,0.00,5.00,120.00,6371251245
208,0,0.00,6.00,124.80,6971885311816
209,0,0.00,4.00,83.20,6971885311830
210,0,0.00,7.00,145.60,6971885311892
211,0,0.00,2.00,74.00,6914973206106
212,0,0.00,1.00,36.50,6914973604278
213,0,0.00,6.00,219.00,6914973604230
214,0,0.00,1.00,46.00,6914973300828
215,0,0.00,2.00,33.80,6931802400078
216,0,0.00,15.00,418.50,6931802400085
