,importAmount,importPrice,postSaleAmount,postSalePrice,preSaleAmount,preSaleCost,preSalePrice,saleAmount,salePrice,serialNum
7,0,0.00,11,126.50,16,11.50,184.00,3,34.50,6916323200222
8,0,0.00,0,0.00,8,38.50,308.00,8,308.00,6916323943525
9,0,0.00,15,675.00,22,45.00,990.00,7,315.00,6916323937043
10,0,0.00,12,138.00,20,11.50,230.00,8,92.00,6916323963226
11,0,0.00,8,428.00,13,53.50,695.50,5,267.50,6916323180128
12,0,0.00,14,749.00,16,53.50,856.00,2,107.00,6916323180111
13,0,0.00,15,735.00,16,49.00,784.00,1,49.00,6916323180104
14,0,0.00,10,385.00,42,38.50,1617.00,31,1193.50,6916323936039
15,0,0.00,6,564.00,6,94.00,564.00,0,0.00,6916323935025
16,0,0.00,1,76.00,1,76.00,76.00,0,0.00,6916323935018
17,0,0.00,5,180.00,7,36.00,252.00,2,72.00,6916323200413
18,0,0.00,5,235.00,7,47.00,329.00,2,94.00,6916323200611
19,0,0.00,10,470.00,18,47.00,846.00,8,376.00,6916323200628
20,0,0.00,23,966.00,44,42.00,1848.00,19,798.00,6916323200635
21,0,0.00,42,1764.00,67,42.00,2814.00,24,1008.00,6916323200659
22,0,0.00,23,1725.00,26,75.00,1950.00,3,225.00,6916323942313
24,-10,-280.00,0,0.00,12,28.00,336.00,2,56.00,2010314031598
25,1,17.80,0,0.00,5,17.80,89.00,6,106.80,2010319242255
26,-31,-1078.80,0,0.00,31,34.80,1078.80,0,0.00,2302127954082
27,1,33.60,0,0.00,3,33.60,100.80,4,134.40,2010305181708
28,4,102.80,0,0.00,0,25.70,0.00,4,102.80,2010312235607
29,-22,-765.60,0,0.00,23,34.80,800.40,0,0.00,2302126180537
30,-1,-15.60,0,0.00,1,15.60,15.60,0,0.00,2301229871234
31,1,33.60,0,0.00,1,33.60,33.60,3,100.80,2010311951431
32,-29,-1009.20,0,0.00,29,34.80,1009.20,0,0.00,2302123079794
33,-1,-20.10,0,0.00,6,20.10,120.60,5,100.50,2010317194674
43,-4,-139.20,0,0.00,5,34.80,174.00,0,0.00,2302122953946
44,-28,-907.20,0,0.00,28,32.40,907.20,0,0.00,2302122979120
45,-18,-583.20,0,0.00,18,32.40,583.20,0,0.00,2302128712597
46,-21,-730.80,0,0.00,19,34.80,661.20,0,0.00,2302129018543
47,-1,-14.00,14,196.00,20,14.00,280.00,5,70.00,2302122979222
48,-5,-98.00,0,0.00,14,19.60,274.40,9,176.40,2302122979121
49,-38,-1322.40,0,0.00,38,34.80,1322.40,0,0.00,2302124568167
51,0,0.00,0,0.00,5,14.50,72.50,5,72.50,6941704425017
52,0,0.00,9,1125.00,10,125.00,1250.00,1,125.00,6970866090597
53,0,0.00,11,1100.00,11,100.00,1100.00,0,0.00,6970866090580
54,0,0.00,2,19.60,10,9.80,98.00,8,78.40,6928494805267
55,0,0.00,0,0.00,8,9.80,78.40,7,68.60,6928494805250
56,0,0.00,15,810.00,15,54.00,810.00,0,0.00,6970866090177
57,0,0.00,30,330.00,33,11.00,363.00,3,33.00,6922507805022
58,0,0.00,17,212.50,18,12.50,225.00,1,12.50,6922477400777
59,0,0.00,15,1020.00,23,68.00,1564.00,8,544.00,6944910358360
60,0,0.00,106,4028.00,106,38.00,4028.00,0,0.00,6942022012316
61,0,0.00,51,3162.00,54,62.00,3348.00,3,186.00,6942022012149
62,0,0.00,0,0.00,-1,13.00,-13.00,0,0.00,6922577730378
63,0,0.00,5,320.00,18,64.00,1152.00,10,640.00,6947475900913
64,0,0.00,6,408.00,32,68.00,2176.00,26,1768.00,6947475902405
65,59,2183.00,33,1221.00,2,37.00,74.00,27,999.00,6944910355765
66,0,0.00,0,0.00,4,114.00,456.00,4,456.00,6947475903242
67,0,0.00,0,0.00,9,11.50,103.50,9,103.50,6928494806455
68,0,0.00,0,0.00,8,25.00,200.00,8,200.00,6971550820087
69,0,0.00,2,50.00,8,25.00,200.00,4,100.00,6971550820094
70,0,0.00,0,0.00,8,8.00,64.00,8,64.00,6971550820148
71,0,0.00,3,27.00,7,9.00,63.00,4,36.00,6971550820155
72,0,0.00,0,0.00,23,6.50,149.50,26,169.00,6971550820001
82,0,0.00,0,0.00,11,11.60,127.60,11,127.60,6971550820643
83,0,0.00,0,0.00,11,11.60,127.60,10,116.00,6971550820650
84,0,0.00,24,300.00,25,12.50,312.50,1,12.50,6922477400524
85,0,0.00,0,0.00,3,10.50,31.50,3,31.50,6924810802248
86,0,0.00,21,262.50,22,12.50,275.00,1,12.50,6922477400333
87,0,0.00,31,3069.00,33,99.00,3267.00,2,198.00,6941499122627
88,18,192.60,0,0.00,18,10.70,192.60,35,374.50,6924810810007
89,12,372.00,0,0.00,1,31.00,31.00,15,465.00,6924810810014
90,0,0.00,12,1188.00,25,99.00,2475.00,13,1287.00,6941499119399
91,8,152.00,0,0.00,3,19.00,57.00,13,247.00,6924810812216
92,8,152.00,5,95.00,2,19.00,38.00,3,57.00,6924810812223
93,0,0.00,0,0.00,7,11.50,80.50,8,92.00,6928494806448
94,0,0.00,4,62.00,4,15.50,62.00,0,0.00,6922477411384
95,0,0.00,6,60.00,11,10.00,110.00,5,50.00,6922507804087
96,0,0.00,1,16.50,3,16.50,49.50,2,33.00,6922477411063
97,0,0.00,0,0.00,-1,16.50,-16.50,0,0.00,6922477411117
98,0,0.00,10,84.00,14,8.40,117.60,4,33.60,6922477410547
99,0,0.00,4,56.00,10,14.00,140.00,6,84.00,6922477411544
100,0,0.00,8,112.00,12,14.00,168.00,4,56.00,6922477411568
101,0,0.00,7,98.00,12,14.00,168.00,5,70.00,6922477411575
102,0,0.00,1,14.00,2,14.00,28.00,1,14.00,6922477411599
103,0,0.00,0,0.00,5,7.50,37.50,4,30.00,6971550820810
104,0,0.00,2,53.40,2,26.70,53.40,0,0.00,6924810822376
105,8,92.00,0,0.00,5,11.50,57.50,11,126.50,6924810821027
106,0,0.00,15,120.00,18,8.00,144.00,3,24.00,6922507821688
107,0,0.00,29,232.00,34,8.00,272.00,5,40.00,6922507821695
108,0,0.00,25,200.00,29,8.00,232.00,4,32.00,6922507821701
109,0,0.00,52,598.00,61,11.50,701.50,9,103.50,6922477400227
110,12,344.40,0,0.00,4,28.70,114.80,16,459.20,6924810822222
111,0,0.00,20,168.00,22,8.40,184.80,2,16.80,6922477410530
121,0,0.00,0,0.00,3,27.00,81.00,3,81.00,6924810822406
122,0,0.00,23,138.00,27,6.00,162.00,4,24.00,6922507823903
123,0,0.00,38,380.00,46,10.00,460.00,8,80.00,6922507800638
124,0,0.00,30,180.00,30,6.00,180.00,0,0.00,6922507823910
125,18,126.00,18,126.00,20,7.00,140.00,19,133.00,6924810824608
126,0,0.00,26,218.40,29,8.40,243.60,3,25.20,6922477410523
127,0,0.00,49,931.00,50,19.00,950.00,1,19.00,6922477400685
128,0,0.00,5,275.00,8,55.00,440.00,3,165.00,6907992512761
129,0,0.00,22,1452.00,32,66.00,2112.00,10,660.00,6907992514178
130,0,0.00,0,0.00,2,66.00,132.00,2,132.00,6907992514604
131,0,0.00,8,520.00,14,65.00,910.00,6,390.00,6907992516691
132,0,0.00,3,255.00,14,85.00,1190.00,11,935.00,6937191310844
133,0,0.00,14,770.00,44,55.00,2420.00,30,1650.00,6970037311148
134,0,0.00,34,1938.00,45,57.00,2565.00,11,627.00,6907992513829
135,12,636.00,13,689.00,8,53.00,424.00,7,371.00,6907992513157
136,0,0.00,147,10290.00,182,70.00,12740.00,35,2450.00,6935739919337
137,6,420.00,4,280.00,3,70.00,210.00,5,350.00,6907992518930
138,0,0.00,1,72.00,10,72.00,720.00,9,648.00,6907992518077
139,8,432.00,5,270.00,3,54.00,162.00,6,324.00,6907992518992
140,0,0.00,1,39.00,10,39.00,390.00,9,351.00,6970037313272
141,0,0.00,31,1240.00,57,40.00,2280.00,26,1040.00,6970037312640
142,0,0.00,14,1008.00,15,72.00,1080.00,1,72.00,6907992515533
143,0,0.00,6,378.00,16,63.00,1008.00,10,630.00,6970037311421
144,0,0.00,24,2544.00,29,106.00,3074.00,5,530.00,8853969008035
145,0,0.00,13,819.00,20,63.00,1260.00,7,441.00,6970037311247
146,0,0.00,19,1957.00,20,103.00,2060.00,1,103.00,8411342000177
147,0,0.00,18,1134.00,24,63.00,1512.00,6,378.00,8411342000115
149,0,0.00,0,0.00,4,17.00,68.00,6,102.00,6972399750009
150,0,0.00,7,68.60,9,9.80,88.20,2,19.60,6954665300330
160,0,0.00,1,11.00,1,11.00,11.00,0,0.00,6972399750016
161,0,0.00,0,0.00,1,38.00,38.00,1,38.00,6951047862059
162,0,0.00,5,115.00,10,23.00,230.00,5,115.00,6920238066019
163,0,0.00,0,0.00,8,23.00,184.00,0,0.00,6920238012115
165,176,2816.00,0,0.00,83,16.00,1328.00,261,4176.00,6954113701504
167,0,0.00,13,120.90,18,9.30,167.40,5,46.50,6933211432459
168,0,0.00,45,243.00,53,5.40,286.20,8,43.20,6956405213610
169,0,0.00,24,355.20,29,14.80,429.20,5,74.00,6933211412246
