productId,amount,salePrice
000599,6,222.0
010055,1,98.0
011447,2,15.0
011546,2,15.0
012109,1,14.5
203145,3,11.399999999999999
212058,5,135.0
212774,3,20.1
212842,3,20.1
230105,2,11.8
266318,1,59.0
297251,2,136.0
310158,1,49.0
329921,2,47.0
335128,3,54.0
335135,1,18.0
337735,3,39.599999999999994
340706,3,61.800000000000004
390211,3,45.0
411010,1,18.7
490005,6,45.0
511280,36,57.599999999999994
558032,15,72.0
562051,3,27.0
591133,1,14.5
591140,1,13.0
591164,1,13.0
595006,1,3.69
656236,1,79.0
657935,2,25.0
682951,1,10.6
735001,2,25.0
783238,18,95.39999999999999
783733,1,5.0
801130,1,16.5
808612,1,6.0
842010,1,18.5
881559,1,4.4
893362,2,23.0
900913,6,454.8
911296,1,14.5
911302,1,14.5
919337,1,88.0
941812,1,25.5
978085,2,48.0
978986,2,48.0
